oktmo,name,year,outflow
24601000,Вичугский муниципальный район,2011,266.0
24602000,Верхнеландеховский муниципальный район,2011,49.0
24602000,Верхнеландеховский муниципальный район,2011,67.0
24602000,Верхнеландеховский муниципальный район,2011,18.0
24603000,Гаврилово-Посадский муниципальный район,2011,100.0
24603000,Гаврилово-Посадский муниципальный район,2011,215.0
24603000,Гаврилово-Посадский муниципальный район,2011,115.0
24605000,Заволжский муниципальный район,2011,148.0
24605000,Заволжский муниципальный район,2011,259.0
24605000,Заволжский муниципальный район,2011,111.0
24607000,Ивановский муниципальный район,2011,236.0
24609000,Ильинский муниципальный район,2011,152.0
24609000,Ильинский муниципальный район,2011,45.0
24609000,Ильинский муниципальный район,2011,107.0
24611000,Кинешемский муниципальный район,2011,154.0
24611000,Кинешемский муниципальный район,2011,296.0
24611000,Кинешемский муниципальный район,2011,142.0
24613000,Комсомольский муниципальный район,2011,92.0
24613000,Комсомольский муниципальный район,2011,121.0
24613000,Комсомольский муниципальный район,2011,213.0
24614000,Лежневский муниципальный район,2011,108.0
24614000,Лежневский муниципальный район,2011,44.0
24614000,Лежневский муниципальный район,2011,152.0
24615000,Лухский муниципальный район,2011,14.0
24615000,Лухский муниципальный район,2011,54.0
24615000,Лухский муниципальный район,2011,68.0
24617000,Палехский муниципальный район,2011,93.0
24617000,Палехский муниципальный район,2011,60.0
24617000,Палехский муниципальный район,2011,33.0
24619000,Пестяковский муниципальный район,2011,80.0
24619000,Пестяковский муниципальный район,2011,40.0
24619000,Пестяковский муниципальный район,2011,120.0
24620000,Приволжский муниципальный район,2011,204.0
24620000,Приволжский муниципальный район,2011,309.0
24620000,Приволжский муниципальный район,2011,105.0
24621000,Пучежский муниципальный район,2011,176.0
24621000,Пучежский муниципальный район,2011,296.0
24621000,Пучежский муниципальный район,2011,120.0
24623000,Родниковский муниципальный район,2011,78.0
24623000,Родниковский муниципальный район,2011,286.0
24623000,Родниковский муниципальный район,2011,208.0
24625000,Савинский муниципальный район,2011,37.0
24625000,Савинский муниципальный район,2011,74.0
24625000,Савинский муниципальный район,2011,111.0
24629000,Тейковский муниципальный район,2011,113.0
24629000,Тейковский муниципальный район,2011,33.0
24629000,Тейковский муниципальный район,2011,146.0
24631000,Фурмановский муниципальный район,2011,44.0
24631000,Фурмановский муниципальный район,2011,353.0
24631000,Фурмановский муниципальный район,2011,309.0
24633000,Шуйский муниципальный район,2011,118.0
24633000,Шуйский муниципальный район,2011,29.0
24633000,Шуйский муниципальный район,2011,147.0
24635000,Южский муниципальный район,2011,128.0
24635000,Южский муниципальный район,2011,201.0
24635000,Южский муниципальный район,2011,73.0
24637000,Юрьевецкий муниципальный район,2011,189.0
24637000,Юрьевецкий муниципальный район,2011,280.0
24637000,Юрьевецкий муниципальный район,2011,91.0
24701000,Иваново,2011,2891.0
24703000,Вичуга,2011,286.0
24705000,Кинешма,2011,822.0
24706000,Кохма,2011,215.0
24707000,Тейково,2011,549.0
24711000,Шуя,2011,475.0
26605000,Назрановский муниципальный район,2011,504.0
26610000,Сунженский муниципальный район,2011,646.0
26615000,Малгобекский муниципальный район,2011,434.0
26620000,Джейрахский муниципальный район,2011,40.0
26701000,город Магас,2011,84.0
26706000,город Назрань,2011,722.0
26710000,город Карабулак,2011,197.0
26715000,город Малгобек,2011,396.0
41603000,Бокситогорский муниципальный район,2011,1064.0
41603101,Бокситогорское,2011,381.0
41603102,Пикалёвское,2011,211.0
41603155,Ефимовское,2011,186.0
41603408,Анисимовское,2011,41.0
41603412,Большедворское,2011,67.0
41603416,Борское,2011,45.0
41603432,Заборьевское,2011,31.0
41603434,Климовское,2011,28.0
41603460,Лидское,2011,23.0
41603472,Радогощинское,2011,31.0
41603476,Самойловское,2011,19.0
41606000,Волосовский муниципальный район,2011,671.0
41606101,Волосовское,2011,223.0
41606404,Бегуницкое,2011,56.0
41606406,Беседское,2011,9.0
41606408,Рабитицкое,2011,17.0
41606412,Большеврудское,2011,30.0
41606416,Губаницкое,2011,35.0
41606418,Изварское,2011,58.0
41606420,Калитинское,2011,38.0
41606424,Каложицкое,2011,21.0
41606425,Кикеринское,2011,45.0
41606428,Сельцовское,2011,37.0
41606430,Клопицкое,2011,20.0
41606432,Курское,2011,18.0
41606436,Сабское,2011,30.0
41606444,Терпилицкое,2011,14.0
41606452,Зимитицкое,2011,20.0
41609000,Волховский муниципальный район,2011,1037.0
41609101,Волховское,2011,518.0
41609104,Новоладожское,2011,94.0
41609108,Сясьстройское,2011,100.0
41609403,Вындиноостровское,2011,23.0
41609418,Иссадское,2011,9.0
41609427,Колчановское,2011,62.0
41609444,Пашское,2011,45.0
41609450,Потанинское,2011,19.0
41609453,Бережковское,2011,23.0
41609461,Селивановское,2011,30.0
41609462,Староладожское,2011,26.0
41609465,Усадищенское,2011,3.0
41609468,Хваловское,2011,51.0
41609471,Кисельнинское,2011,29.0
41609480,Свирицкое,2011,5.0
41612000,Всеволожский муниципальный район,2011,3798.0
41612101,Всеволожское,2011,1288.0
41612102,Сертоловское,2011,748.0
41612154,Дубровское,2011,51.0
41612158,Кузьмоловское,2011,97.0
41612163,Морозовское,2011,79.0
41612167,Рахьинское,2011,78.0
41612168,Свердловское,2011,93.0
41612175,Токсовское,2011,103.0
41612402,Бугровское,2011,191.0
41612408,Агалатовское,2011,90.0
41612412,Заневское,2011,74.0
41612416,Колтушское,2011,208.0
41612420,Куйвозовское,2011,211.0
41612424,Лесколовское,2011,78.0
41612428,Муринское,2011,121.0
41612439,Разметелевское,2011,43.0
41612442,Романовское,2011,70.0
41612448,Щегловское,2011,32.0
41612456,Юкковское,2011,20.0
41612458,Новодевяткинское,2011,123.0
41615000,Выборгский муниципальный район,2011,2241.0
41615101,Выборгское,2011,803.0
41615104,Высоцкое,2011,35.0
41615106,Каменногорское,2011,96.0
41615108,Приморское,2011,148.0
41615114,Светогорское,2011,125.0
41615158,Рощинское,2011,160.0
41615163,Советское,2011,164.0
41615436,Красносельское,2011,83.0
41615460,Первомайское,2011,122.0
41615464,Полянское,2011,319.0
41615476,Селезнёвское,2011,107.0
41615492,Гончаровское,2011,79.0
41618000,Гатчинский муниципальный район,2011,2524.0
41618101,Гатчинское,2011,1002.0
41618105,Коммунарское,2011,246.0
41618154,Вырицкое,2011,137.0
41618156,Дружногорское,2011,53.0
41618169,Сиверское,2011,294.0
41618176,Таицкое,2011,82.0
41618404,Пудомягское,2011,88.0
41618408,Большеколпанское,2011,63.0
41618416,Веревское,2011,40.0
41618418,Войсковицкое,2011,86.0
41618424,Елизаветинское,2011,47.0
41618426,Кобринское,2011,45.0
41618444,Новосветское,2011,77.0
41618448,Пудостьское,2011,87.0
41618452,Рождественское,2011,41.0
41618460,Сусанинское,2011,85.0
41618461,Сяськелевское,2011,51.0
41621000,Кингисеппский муниципальный район,2011,898.0
41621101,Кингисеппское,2011,563.0
41621102,Ивангородское,2011,123.0
41621404,Большелуцкое,2011,37.0
41621412,Фалилеевское,2011,7.0
41621420,Котельское,2011,35.0
41621428,Усть-Лужское,2011,39.0
41621432,Кузёмкинское,2011,16.0
41621440,Нежновское,2011,4.0
41621444,Опольевское,2011,46.0
41621448,Пустомержское,2011,15.0
41621452,Вистинское,2011,13.0
41624000,Киришский муниципальный район,2011,674.0
