oktmo,name,year,saldo
7602000,Александровский муниципальный район,2009,-7.0
7605000,Апанасенковский муниципальный район,2009,-176.0
7607000,Арзгирский муниципальный район,2009,-222.0
7610000,Благодарненский муниципальный район,2009,-83.0
7610101,город Благодарный,2009,-83.0
7612000,Будённовский муниципальный район,2009,351.0
7615000,Георгиевский муниципальный район,2009,575.0
7617000,Грачёвский муниципальный район,2009,192.0
7620000,Изобильненский муниципальный район,2009,118.0
7620101,город Изобильный,2009,124.0
7620153,посёлок Рыздвяный,2009,38.0
7620155,посёлок Солнечнодольск,2009,-44.0
7622000,Ипатовский муниципальный район,2009,-26.0
7622101,город Ипатово,2009,-26.0
7625000,Кировский муниципальный район,2009,8.0
7625101,город Новопавловск,2009,8.0
7628000,Кочубеевский муниципальный район,2009,55.0
7630000,Красногвардейский муниципальный район,2009,-55.0
7632000,Андроповский муниципальный район,2009,41.0
7633000,Курский муниципальный район,2009,48.0
7636000,Левокумский муниципальный район,2009,-131.0
7639000,Минераловодский муниципальный район,2009,-52.0
7639101,город Минеральные Воды,2009,-61.0
7639152,посёлок Анджиевский,2009,22.0
7641000,Нефтекумский муниципальный район,2009,148.0
7641101,город Нефтекумск,2009,66.0
7641153,поселок Затеречный,2009,82.0
7643000,Новоалександровский муниципальный район,2009,-24.0
7643101,город Новоалександровск,2009,-24.0
7644000,Новоселицкий муниципальный район,2009,-78.0
7646000,Петровский муниципальный район,2009,145.0
7646101,город Светлоград,2009,145.0
7648000,Предгорный муниципальный район,2009,315.0
7650000,Советский муниципальный район,2009,124.0
7650101,город Зеленокумск,2009,124.0
7652000,Степновский муниципальный район,2009,-21.0
7654000,Труновский муниципальный район,2009,-58.0
7656000,Туркменский муниципальный район,2009,-110.0
7658000,Шпаковский муниципальный район,2009,653.0
7658101,город Михайловск,2009,653.0
7701000,город Ставрополь,2009,2090.0
7702000,Город Буденновск (до 2015 года),2009,-695.0
7707000,город Георгиевск,2009,116.0
7710000,город-курорт Ессентуки,2009,1116.0
7712000,город-курорт Железноводск,2009,-2.0
7715000,город-курорт Кисловодск,2009,416.0
7718000,город Лермонтов,2009,104.0
7724000,город Невинномысск,2009,-315.0
7727000,город-курорт Пятигорск,2009,1845.0
11605000,Вельский муниципальный район,2009,-326.0
11608000,Верхнетоемский муниципальный район,2009,-239.0
11611000,Вилегодский муниципальный район,2009,-119.0
11614000,Виноградовский муниципальный район,2009,-128.0
11627000,Котласский муниципальный район,2009,-39.0
11630000,Красноборский муниципальный район,2009,-97.0
11635000,Ленский муниципальный район,2009,-58.0
11642000,Мезенский муниципальный район,2009,-128.0
11644000,Няндомский муниципальный район,2009,-128.0
11648000,Пинежский муниципальный район,2009,-279.0
11650000,Плесецкий муниципальный район,2009,-437.0
11654000,Устьянский муниципальный район,2009,-240.0
11656000,Холмогорский муниципальный район,2009,-318.0
11658000,Шенкурский муниципальный район,2009,-105.0
11701000,город Архангельск,2009,428.0
11710000,Котлас,2009,-131.0
11712000,Новая Земля,2009,45.0
11851000,город Нарьян-Мар,2009,270.0
27606000,Гвардейский муниципальный район,2009,-257.0
27615000,Зеленоградский муниципальный район,2009,66.0
27633000,Правдинский муниципальный район,2009,201.0
27701000,город Калининград,2009,222.0
27705000,Балтийский,2009,457.0
27707000,Гурьевский г.о.,2009,1058.0
27709000,Гусевский,2009,198.0
27713000,Краснознаменский г.о.,2009,10.0
27714000,Неманский г.о.,2009,84.0
27715000,Нестеровский г.о.,2009,-5.0
27716000,Озерский г.о.,2009,-2.0
27717000,Пионерский,2009,343.0
27718000,Полесский г.о.,2009,87.0
27725000,Светловский,2009,284.0
27727000,Славский г.о.,2009,215.0
27730000,Советский,2009,352.0
27739000,Черняховский г.о.,2009,-431.0
29602000,Бабынинский муниципальный район,2009,15.0
29604000,Барятинский муниципальный район,2009,-40.0
29606000,Боровский муниципальный район,2009,394.0
29606101,город Боровск,2009,9.0
29606105,город Балабаново,2009,155.0
29606157,город Ермолино,2009,118.0
29608000,Дзержинский муниципальный район,2009,298.0
29608101,город Кондрово,2009,46.0
29608155,ГП поселок Куровской,2009,54.0
29608157,поселок Полотняный Завод,2009,41.0
29608160,поселок Пятовский,2009,27.0
29608164,поселок Товарково,2009,13.0
29610000,Думиничский муниципальный район,2009,-32.0
