name,lat,lon
Абинский муниципальный район,44.867305888362694,38.283738603709985
Амурский муниципальный район,49.680293165851005,135.61050054459335
Апшеронский муниципальный район,40.34827934463156,49.34532538402707
Арамильский,56.69631751640503,60.87646013230631
Арсеньевский,53.65427647128957,36.611398508955034
Артемовский,57.3394433170151,61.89234020094165
Асбестовский,57.754204175681494,61.397222825484576
Ашинский муниципальный район,55.05033311502467,57.57262606188749
Бавлинский муниципальный район,54.2748315363623,53.25302277068899
Балахнинский муниципальный район,56.4673354035494,43.401512697283145
Барабинский муниципальный район,55.0897107424598,78.14779497175651
Белогорский муниципальный район,45.0628580783784,34.556500932678034
Березовский,55.61722920406935,86.23335958012825
Бирский муниципальный район,55.355680159336345,55.53112132094294
Благовещенский муниципальный район,55.20663784088594,56.217238345883445
Богданович,56.7773053912964,62.04789164826588
Богородицкий муниципальный район,53.70996531557393,38.19951289496505
Богучанский муниципальный район,58.6764109436926,97.47014758418149
Бокситогорский муниципальный район,59.54018445745486,34.61577442514343
Боровичский муниципальный район,58.42129278659927,34.03191473216463
Боровский муниципальный район,55.183978961680744,36.424729935529754
Брянский муниципальный район,53.30591823254249,34.34171487217399
Валуйский,53.1481885,36.3185713
Великоустюгский муниципальный район,60.67523676737017,46.045812479074606
Вельский муниципальный район,61.310947486776215,42.09301555010879
Верхнесалдинский,58.16376016136324,60.75305989471663
Волоколамский,56.172111945226135,36.09923545471926
Волосовский муниципальный район,59.35079195208139,29.349630972693827
Высокогорский муниципальный район,56.05183654936617,49.28027128911343
Вышневолоцкий,57.54533569195996,34.502478742161216
Вяземский муниципальный район,55.195191472620955,34.26530385977516
Гагаринский муниципальный район,55.69838364278781,37.55865708811904
Город Кимры (с 2023 г. объединен с Кимрским муниципальным районом и преобразован в Кимрский муниципальный округ),56.86480919911356,37.34563713511364
Город Ржев (с 2023 г. объединен с Ржевским муниципальным районом и преобразован в Ржевский муниципальный округ),56.262310167870254,34.34293682115464
Городской округ город Кунгур,57.39411282713535,56.984805338138514
Гусевский,55.65914953279753,40.56746349242382
Дальнегорский,44.73988500396749,135.5875151644231
Дзержинский муниципальный район,53.701941952243054,27.137579393692988
Добрянский,58.487663,56.370962
Добрянский муниципальный район,58.62468817847781,56.67172061774787
Дубна,56.74227108910204,37.17217937145618
Дюртюлинский муниципальный район,55.502716418576135,54.89293511534335
Дятьковский муниципальный район,53.66745003493507,34.202821948236384
Елизовский муниципальный район,53.633323189565125,159.03854903651037
Жигулевск,53.40732517526093,49.48205104296593
Заводоуковский,56.511337146339,66.79895047164814
Зарайск,54.76491462395073,38.886702224235286
Заречный,53.18542622330063,45.17078172569852
Зеленоградский г.о.,55.98761347433726,37.19450305342001
Ивановский муниципальный район,46.95238509908797,30.52200314416636
Иглинский муниципальный район,54.80583379979652,56.7092110354329
Каменский муниципальный район,49.04240510607558,32.04960646637351
Кандалакшский муниципальный район,66.9645078977058,31.203947386989597
Карасукский муниципальный район,53.74516984214948,78.0936514281261
Качканарский,58.70845943810572,59.46797246281504
Кинель,53.21558067281363,50.62256906558456
Киреевский муниципальный район,53.990035178874045,37.87481435756063
Киржачский муниципальный район,56.1380573276771,38.869009388710815
Киришский муниципальный район,59.458545567203004,32.269288213341504
Кировский муниципальный район,59.871102650014656,30.23993063384907
Когалым,62.25662552832712,74.49883521482636
Козельский муниципальный район,54.03533148615077,35.823176076859816
Кольский муниципальный район,68.65538971866418,32.02414475263522
Кольчугинский муниципальный район,56.29099275507384,39.40576211305629
Коркинский муниципальный район,54.89209345732222,61.32180718483343
Костомукшский,64.46509571317263,30.301774018404323
Коченевский муниципальный район,55.0757430876255,81.97361739092938
Краснокамский муниципальный район,55.94964751074949,54.24455192079443
Красносулинский муниципальный район,47.967897295187285,40.19658802761867
Краснотурьинск,59.764631,60.1936117
Красноуфимск,56.61568157475482,57.76334923500382
Красноярский муниципальный район,46.88398698248416,48.39919432591857
Куйбышевский муниципальный район,47.32851985368634,36.689381648965224
Курский муниципальный район,51.7363610855258,36.272644335361676
Кыштымский,55.71806053987028,60.41113928329114
Лангепас,61.25680749635115,75.18083650671062
Ленинградский муниципальный район,46.231561872415405,39.379143542910725
Лужский муниципальный район,58.85327087847504,29.809521490288738
Лысковский муниципальный район,56.15375678378113,45.157611664338916
Лыткарино,55.57797084607229,37.91462970519184
Майкопский муниципальный район,44.244545287917894,40.16802269921639
Майминский муниципальный район,51.84850551792308,86.0174786049505
Мариинский муниципальный округ,53.63492226584097,55.86625144354322
Мариинский муниципальный район,53.63492226584097,55.86625144354322
