name,lat,lon
Абзелиловский муниципальный район,53.39579166106479,58.548120937707736
Азнакаевский муниципальный район,54.90806921145604,53.08123449359975
Александровский муниципальный район,48.8807602095711,32.260500885498985
Амурский муниципальный район,49.680293165851005,135.61050054459335
Анжеро-Судженский,56.051318961064766,86.09220695539287
Апшеронский муниципальный район,40.34827934463156,49.34532538402707
Арсеньевский,53.65427647128957,36.611398508955034
Асбестовский,57.754204175681494,61.397222825484576
Ашинский муниципальный район,55.05033311502467,57.57262606188749
Бавлинский муниципальный район,54.2748315363623,53.25302277068899
Баймакский муниципальный район,52.68223189795276,58.24489608627569
Балахнинский муниципальный округ,58.00856466332689,114.28035420100882
Балашовский муниципальный район,51.530890326432946,43.21694899764775
Барабинский муниципальный район,55.0897107424598,78.14779497175651
Белебеевский муниципальный район,54.13240880561048,54.19795935146666
Белокалитвинский муниципальный район,48.221686905537496,40.89734909666936
Белорецкий муниципальный район,54.06088485531341,57.892912020427445
Березовский,55.61722920406935,86.23335958012825
Бирский муниципальный район,55.355680159336345,55.53112132094294
Благовещенский муниципальный район,55.20663784088594,56.217238345883445
Благодарненский городской округ (с 2018 года),45.10184650156745,43.561495716474
Большой Камень,43.098644637262495,132.3444832283119
Борисоглебский,69.65092997651077,30.144711057786303
Боровичский муниципальный район,58.42129278659927,34.03191473216463
Валуйский,53.1481885,36.3185713
Великоустюгский муниципальный район,60.67523676737017,46.045812479074606
Вельский муниципальный район,61.310947486776215,42.09301555010879
Верхнесалдинский,58.16376016136324,60.75305989471663
Волоколамский (до 2020 г.),56.172111945226135,36.09923545471926
Волховский муниципальный район,60.246099182811996,32.41577869752233
Вольский муниципальный район,52.26338520354885,47.29061513025503
Воркута,67.49940298120447,64.04408487483434
Вяземский муниципальный район,55.195191472620955,34.26530385977516
Вязниковский муниципальный район,56.21867304039047,42.04018817592267
Гагаринский муниципальный район,55.69838364278781,37.55865708811904
Город Кимры (с 2023 г. объединен с Кимрским муниципальным районом и преобразован в Кимрский муниципальный округ),56.86480919911356,37.34563713511364
Город Ржев (с 2023 г. объединен с Ржевским муниципальным районом и преобразован в Ржевский муниципальный округ),56.262310167870254,34.34293682115464
Городецкий муниципальный район,56.71226837323398,43.623343475421336
Городской округ город Кунгур,57.39411282713535,56.984805338138514
Добрянский муниципальный район,58.62468817847781,56.67172061774787
Дубна,56.74227108910204,37.17217937145618
Дюртюлинский муниципальный район,55.502716418576135,54.89293511534335
Дятьковский муниципальный район,53.66745003493507,34.202821948236384
Елизовский муниципальный район,53.633323189565125,159.03854903651037
Жигулевск,53.40732517526093,49.48205104296593
Заинский муниципальный район,55.27156354464102,52.076958282177145
Кавказский муниципальный район,45.52283121245673,40.591567329871026
Каменский муниципальный район,49.04240510607558,32.04960646637351
Кандалакшский муниципальный район,66.9645078977058,31.203947386989597
Карасукский муниципальный район,53.74516984214948,78.0936514281261
Карталинский муниципальный район,53.04251874602695,60.398290036936416
Кинель,53.21558067281363,50.62256906558456
Кинешма,57.43788673484133,42.1424850846174
Киселевский,66.74687233896108,86.49918297393592
Кольчугинский муниципальный район,56.29099275507384,39.40576211305629
Конаковский муниципальный район,56.64746410645745,36.59893870442799
Коркинский муниципальный район,54.89209345732222,61.32180718483343
Кочубеевский муниципальный район,44.63550336411454,41.88769689662727
Краснокамский,58.16857481666156,55.89887653662898
Краснотурьинск,59.764631,60.1936117
Куйбышевский муниципальный район,47.32851985368634,36.689381648965224
Кущевский муниципальный район,46.603886273492236,39.64935133282833
Лабинский муниципальный район,44.47577729314001,40.96201390057063
Лениногорский муниципальный район,54.586200011927346,52.18890878713761
Лужский муниципальный район,58.85327087847504,29.809521490288738
Лысьвенский,57.90583524505802,57.999701923252175
Малоярославецкий муниципальный район,54.887756773091986,36.392537357485665
Мариинский муниципальный район,53.63492226584097,55.86625144354322
Мегион,61.04517923652213,76.08173208862158
Мелеузовский муниципальный район,53.09067041487621,56.17320431424081
Моздокский муниципальный район,43.688996350511694,44.576995576374365
Мостовский муниципальный район,53.404651372761926,24.594854527822232
Муниципальный район Город Краснокаменск и Краснокаменский район,50.09099710311159,118.08446857906428
Муниципальный район Печора,65.02895560280432,57.174342302272684
Нижнеудинский муниципальный район,54.360811394313636,98.3432870009056
Новоалександровский городской округ (с 2018 года),49.0513411,39.956919
Нурлатский муниципальный район,54.591928055550994,50.561601022317475
Нягань,62.11099652662206,65.57216412776658
Отрадненский муниципальный район,44.30678789320893,41.41470688069469
Петровский городской округ (с 2018 года),53.10165598383438,56.32583408835432
Петушинский муниципальный район,55.96572282257853,39.41678758168093
Полевской,56.46959372380171,60.21597476971284
Пригородный муниципальный район,42.96749497131497,44.62597926827342
Приморско-Ахтарский муниципальный район,46.006691230946274,38.34550784917577
Промышленновский муниципальный район,54.9125985546033,85.44739004473838
Пугачевский муниципальный район,51.95780061952311,49.05492282708402
Пыть-Ях,60.724553353315805,72.81741408400956
Радужный,62.11909952526751,77.47483068836165
Рославльский муниципальный район,54.04246867144855,33.11110387290961
Россошанский муниципальный район,50.100814055918875,39.67071080867056
