popsize,avgemployers,unemployed,avgsalary,livarea,beforeschool,docsperpop,bedsperpop,cliniccap,invests,funds,companies,factoriescap,conscap,consnewareas,consnewapt,retailturnover,foodservturnover,lat,lon,dollar,saldo
0.15434301181102364,0.11034047919293821,0.028345493270494404,0.20146072178998647,0.2945402298850575,0.0001915481832543444,0.26351813826146475,0.45476190476190476,0.18661362850224836,0.012828796961026012,0.4794215795328142,0.06858728248619946,0.08009753660568773,0.01051154616582978,0.002485786063731324,0.0029204925118571996,0.008075257273270405,0.02452134484347945,0.8111061649989398,0.24501779083600617,0.42024965325936203,-0.001752581247380653
0.1533587598425197,0.10886927280369903,0.025603842842253137,0.23384129435393924,0.317528735632184,0.00020734597156398104,0.2539356605065024,0.45714285714285713,0.1856624005534417,0.022864728886185223,0.48275862068965514,0.06697323935591083,0.08997405722458611,0.007779734445873148,0.00255189739521354,0.005397070161912105,0.03407034082171568,0.02539045585377354,0.8111061649989398,0.24501779083600617,0.4063800277392511,-0.009982093191602849
0.15255905511811024,0.10403530895334173,0.016925726197489464,0.25354466012772187,0.32040229885057475,0.0002349921011058452,0.2518822724161533,0.4797619047619048,0.1789173296437219,0.02262592675939109,0.41935483870967744,0.06739346360284988,0.0916822402658427,0.0039977483475181425,0.004455903741901362,0.007079273848741852,0.046058724334688814,0.018281639339914578,0.8111061649989398,0.24501779083600617,0.4299583911234397,-0.002247875947727359
0.1513902559055118,0.10130306851618327,0.012892554493134544,0.2840800657402524,0.32471264367816094,0.00023696682464454977,0.25804243668720056,0.45714285714285713,0.18107921134555516,0.02022000404383237,0.37374860956618466,0.06050751628368957,0.09105376002210132,0.00485170063555387,0.004508792807087135,0.008013831452536155,0.05066828987194229,0.015020573810351469,0.8111061649989398,0.24501779083600617,0.44105409153952846,-0.025488627271688193
0.15046751968503938,0.09815048339638503,0.013232428513164453,0.26184972649111404,0.3290229885057471,0.00024289099526066352,0.23477070499657768,0.36904761904761907,0.17848495330335523,0.022658054392005737,0.37486095661846497,0.060493190457089376,0.08106393599757791,0.003151940486618045,0.0065185772841465026,0.013667904955491694,0.06905697447900502,0.011726292244353925,0.8111061649989398,0.24501779083600617,0.5325936199722607,-0.01055358707661828
0.14972933070866143,0.09457755359394704,0.019304844337698825,0.17504615828738448,0.3347701149425288,0.00024881516587677726,0.23956194387405888,0.3273809523809524,0.21177793151158766,0.006890065816732747,0.40155728587319245,0.06237942429278169,0.059864704935541545,0.00021188135801575707,0.006650799947110935,0.01605102684516717,0.046221351022509315,0.007759585636703358,0.8111061649989398,0.24501779083600617,0.8446601941747574,-0.0023240751323960833
0.14886811023622049,0.09436738125262716,0.01839851361761907,0.17495815173088966,0.339080459770115,0.00024881516587677726,0.2566735112936345,0.3353174603174603,0.19214804565894153,0.009457459730652729,0.43826473859844267,0.06564093748209272,0.05801528655988073,0.0013208383554415342,0.005751685838952796,0.016121118665451743,0.03896608358759842,0.010779662359379156,0.8111061649989398,0.24501779083600617,0.9292649098474342,-0.0161542271497695
0.14806840551181102,0.09394703656998739,0.012484705669098654,0.22738857551264796,0.3419540229885058,0.0002527646129541864,0.26420260095824777,0.33015873015873015,0.1946558284330681,0.01084970611183802,0.45939933259176857,0.06284262601952133,0.06711967544321441,0.001328855054788455,0.00432368107893693,0.009649307259176187,0.048848226706443634,0.015974971823013075,0.8111061649989398,0.24501779083600617,0.8085991678224688,-0.0016763820627119289
0.1472687007874016,0.09625893232450608,0.009221915076811528,0.23010359441743047,0.3448275862068966,0.0002567140600315956,0.26488706365503084,0.33134920634920634,0.19811483915600137,0.013228085344417915,0.474972191323693,0.06222661547571295,0.06928962596178975,0.002253657149834761,0.004945127594869761,0.011705333987523657,0.05285503620907419,0.016094005367658502,0.8111061649989398,0.24501779083600617,0.8696255201109571,0.003809959233436202
0.14689960629921262,0.10256410256410256,0.009131282004803553,0.23452204549182548,0.34770114942528735,0.0002567140600315956,0.26351813826146475,0.3277777777777778,0.20036319612590797,0.00783021647969728,0.5406006674082313,0.06024487612935266,0.06925541502274794,0.00022691849050208263,0.004178236149676055,0.008224106913389874,0.06422211842356079,0.02061352713062551,0.8111061649989398,0.24501779083600617,0.8973647711511791,0.03844248866537128
0.14585383858267717,0.10235393022278269,0.08227217111523995,0.21770652397700901,0.35488505747126436,0.0002606635071090047,0.2600958247775496,0.330952380952381,0.20805949498443443,0.007243951218971634,0.5828698553948831,0.05373140030179741,0.06639455617978716,7.222123729476011e-05,0.00650535501785006,0.011074507604962501,0.0643345803894946,0.012294384576897638,0.8111061649989398,0.24501779083600617,1.0,0.02125957252257401
0.07523375984251969,0.07797393862967633,0.008700774912765668,0.17192557517559856,0.32758620689655177,0.0001066350710900474,0.26967830253251196,0.2567460317460318,0.23114839156001382,0.008416790969851942,0.5150166852057841,0.01255419937730407,0.02572697413995355,0.0030422203553549937,0.00609546476266032,0.008294198733674447,0.014630052528146658,0.004116994905140949,0.781406043168481,0.2794422465458049,0.42024965325936203,-0.03459442983960072
0.07474163385826772,0.07860445565363598,0.009833688312865364,0.20340195173804496,0.3347701149425288,9.873617693522907e-05,0.2546201232032855,0.25436507936507935,0.2327914216534071,0.014863292217471302,0.5305895439377085,0.012902794491242145,0.032613432979783724,0.0034607421337113447,0.007034245669707788,0.01119132730543679,0.028302388560825,0.004695495260629354,0.781406043168481,0.2794422465458049,0.4063800277392511,-0.014744542233398102
0.07381889763779528,0.07650273224043716,0.00854216703675171,0.22480602550402112,0.339080459770115,0.00011453396524486572,0.2587268993839836,0.25436507936507935,0.23564510549982703,0.0351459625579509,0.46273637374860954,0.013428074799915955,0.033569588779771585,0.009814517258981824,0.007497024990083301,0.012406252190369385,0.03033356811010116,0.004754565542615146,0.781406043168481,0.2794422465458049,0.4299583911234397,-0.04728159408694327
0.07289616141732284,0.07398066414459857,0.006095074092536366,0.25548060294604635,0.3505747126436782,0.00012045813586097945,0.25598904859685145,0.2571428571428571,0.24264960221376686,0.028911301433171242,0.3870967741935483,0.014120489752258705,0.031316796642886315,0.005386074643651588,0.007801137114901494,0.01703231232915119,0.02861841399376015,0.005976182468203844,0.781406043168481,0.2794422465458049,0.44105409153952846,-0.0437383319998476
