popsize,avgemployers,unemployed,avgsalary,livarea,beforeschool,docsperpop,bedsperpop,cliniccap,invests,funds,companies,factoriescap,conscap,consnewareas,consnewapt,retailturnover,foodservturnover,saldo
0.6999876968503937,0.5853299705758722,0.0625368196855032,0.3733832737417678,0.4022988505747126,0.0007424960505529,0.509240246406571,0.4396825396825397,0.2641819439640263,0.345005149330587,0.5428253615127919,0.2066166217790766,0.2133646910635974,0.190018001748554,0.1664947772048129,0.5072545033994533,0.3115592216060597,0.1325508228460793,0.2319957681553691
0.6998646653543308,0.5970996216897857,0.6985317442334708,0.3909521582852743,0.4123563218390805,0.0007523696682464,0.5598904859685148,0.4325396825396825,0.2710134901418194,0.3367662203913492,0.5650723025583981,0.1842683322827727,0.2342161870335932,0.2174409658179815,0.1716779055930186,0.5471367491413752,0.3449057084947609,0.1280856727976766,0.195042696289579
0.6980191929133859,0.5958385876418664,0.0886164861557982,0.4379082652005724,0.4281609195402299,0.0008274091627172,0.5735797399041752,0.4285714285714285,0.2894327222414389,0.4552008238928939,0.5639599555061179,0.1711124481882604,0.2708096012496114,0.389181907792045,0.190096522543964,0.557510338543492,0.4490424698860893,0.1896448451113262,0.2162019194438147
0.0786786417322834,0.0403530895334174,0.0092672316128155,0.2732875493775554,0.3376436781609195,0.0001165086887835,0.216974674880219,0.2361111111111111,0.2012279488066412,0.5509783728115345,0.7308120133481646,0.009832292323267,0.0043389938000218,0.0048302370380445,0.0205077350257834,0.0496483727015723,0.0206152856174874,0.0026016456921587,3.778432706113504e-05
0.078371062992126,0.0397225725094577,0.0993791634567453,0.2806062123223077,0.3577586206896552,0.0001145339652448,0.2203969883641341,0.2321428571428571,0.1983742649602213,0.3748712667353244,0.7452725250278086,0.0096938093327985,0.0044652468338565,0.0031988541809204,0.0222001851117281,0.0535735146375084,0.0246395110351127,0.0050308567279767,-0.0119020630242575
0.078001968503937,0.0386717108028583,0.0087460914487696,0.3060550383605943,0.3735632183908046,0.0001481042654028,0.2286105407255304,0.2333333333333333,0.2148045658941542,0.2471678681771369,0.675194660734149,0.0094550455561285,0.0046641687650728,0.0013101864332202,0.0167526113975935,0.0314011354874886,0.0292002574792577,0.0123366408518877,-0.0003400589435502
0.1054379921259842,0.0748213535098781,0.0122354647210767,0.3131808356044254,0.3520114942528736,0.0001777251184834,0.2354551676933607,0.2603174603174603,0.2034763057765479,0.0617919670442842,0.3103448275862068,0.0130078505529769,0.084409328484336,0.0080061486172575,0.0106703689012296,0.0169154926286769,0.0280501156813891,0.0027196272991287,-0.0022670596236681
0.1045767716535433,0.073139974779319,0.0928762405401731,0.3348006870742194,0.3591954022988506,0.0001658767772511,0.2272416153319644,0.2515873015873016,0.2040816326530612,0.2070030895983522,0.3503893214682981,0.0122581322942333,0.0828727850208115,0.0141555852534788,0.0084225836308343,0.012125884909231,0.0328832529822668,0.0025925701839303,-0.0186654575682007
0.1035310039370078,0.0737704918032786,0.0122128064530747,0.370513904436226,0.367816091954023,0.0001777251184834,0.2313483915126625,0.2543650793650793,0.2308889657557938,0.2749742533470649,0.3882091212458287,0.0116755486791587,0.0970995200549641,0.0570729992617398,0.007787914848605,0.0136211770753019,0.038347167865843,0.0090422313649564,-0.0115620040807073
0.1033464566929134,0.0777637662883564,0.0064122898445642,0.286006451948101,0.3577586206896552,0.0001461295418641,0.2306639288158795,0.4523809523809524,0.2365963334486337,0.1925849639546858,0.3414905450500556,0.017530036483105,0.0683456118078884,0.0061101064618657,0.013367711225704,0.0302095745426508,0.0262211148665464,0.0097864230396902,0.0578100204035366
