oktmo,name,year,harvest
1609000,Егорьевский муниципальный район,2009,29633.19
1609000,Егорьевский муниципальный район,2010,14847.26
1609000,Егорьевский муниципальный район,2011,14426.33
1609000,Егорьевский муниципальный район,2012,12071.36
1609000,Егорьевский муниципальный район,2013,12984.72
1609000,Егорьевский муниципальный район,2014,10266.48
1609000,Егорьевский муниципальный район,2015,8912.33
1609000,Егорьевский муниципальный район,2016,8247.77
1609000,Егорьевский муниципальный район,2017,7177.62
1609000,Егорьевский муниципальный район,2018,6740.4
1609000,Егорьевский муниципальный район,2019,7175.61
1609000,Егорьевский муниципальный район,2020,6438.08
1609000,Егорьевский муниципальный район,2021,7367.35
1609000,Егорьевский муниципальный район,2022,7403.06
1610000,Ельцовский муниципальный район,2007,8193.12
1610000,Ельцовский муниципальный район,2008,8233.88
1610000,Ельцовский муниципальный район,2009,8089.38
1610000,Ельцовский муниципальный район,2010,7869.96
1610000,Ельцовский муниципальный район,2011,6906.06
1610000,Ельцовский муниципальный район,2012,6591.26
1610000,Ельцовский муниципальный район,2013,6742.41
1610000,Ельцовский муниципальный район,2014,5598.57
1610000,Ельцовский муниципальный район,2015,5121.43
1610000,Ельцовский муниципальный район,2016,5404.01
1610000,Ельцовский муниципальный район,2017,5577.45
1610000,Ельцовский муниципальный район,2018,5113.4
1610000,Ельцовский муниципальный район,2019,5430.62
1610000,Ельцовский муниципальный район,2020,4878.22
1610000,Ельцовский муниципальный район,2021,5269.9
1610000,Ельцовский муниципальный район,2022,5450.64
1611000,Завьяловский муниципальный район,2007,19921.89
1611000,Завьяловский муниципальный район,2008,19493.91
1611000,Завьяловский муниципальный район,2009,18717.54
1611000,Завьяловский муниципальный район,2010,17775.43
1611000,Завьяловский муниципальный район,2011,20048.99
1611000,Завьяловский муниципальный район,2012,20228.48
1611000,Завьяловский муниципальный район,2013,20259.75
1611000,Завьяловский муниципальный район,2014,18472.08
1611000,Завьяловский муниципальный район,2015,17794.74
1611000,Завьяловский муниципальный район,2016,15710.4
1611000,Завьяловский муниципальный район,2017,14516.1
1611000,Завьяловский муниципальный район,2018,12995.6
1611000,Завьяловский муниципальный район,2019,12615.4
1611000,Завьяловский муниципальный район,2020,11255.73
1611000,Завьяловский муниципальный район,2021,10693.26
1611000,Завьяловский муниципальный район,2022,10002.08
1612000,Залесовский муниципальный район,2007,16786.47
1612000,Залесовский муниципальный район,2008,16731.0
1612000,Залесовский муниципальный район,2009,16265.41
1612000,Залесовский муниципальный район,2010,15657.94
1612000,Залесовский муниципальный район,2011,14961.36
1612000,Залесовский муниципальный район,2012,14178.52
1612000,Залесовский муниципальный район,2013,12708.94
1612000,Залесовский муниципальный район,2014,12165.33
1612000,Залесовский муниципальный район,2015,11452.75
1612000,Залесовский муниципальный район,2016,11981.38
1612000,Залесовский муниципальный район,2018,9535.51
1612000,Залесовский муниципальный район,2019,10086.1
1612000,Залесовский муниципальный район,2020,9116.48
1612000,Залесовский муниципальный район,2021,9612.82
1613000,Заринский муниципальный район,2007,27004.32
1613000,Заринский муниципальный район,2008,28114.2
1613000,Заринский муниципальный район,2009,27447.38
1613000,Заринский муниципальный район,2010,26976.95
1613000,Заринский муниципальный район,2011,25828.96
1613000,Заринский муниципальный район,2012,25458.3
1613000,Заринский муниципальный район,2013,23169.82
1613000,Заринский муниципальный район,2014,21604.43
1613000,Заринский муниципальный район,2015,20722.21
1613000,Заринский муниципальный район,2016,24170.35
1613000,Заринский муниципальный район,2017,21835.09
1613000,Заринский муниципальный район,2018,20579.1
1613000,Заринский муниципальный район,2019,22238.91
1613000,Заринский муниципальный район,2020,19809.81
1613000,Заринский муниципальный район,2021,20890.73
1613000,Заринский муниципальный район,2022,20146.14
1614000,Змеиногорский муниципальный район,2007,10146.68
1614000,Змеиногорский муниципальный район,2008,8307.42
1614000,Змеиногорский муниципальный район,2009,14531.93
1614000,Змеиногорский муниципальный район,2010,13916.35
1614000,Змеиногорский муниципальный район,2011,13575.88
1614000,Змеиногорский муниципальный район,2012,12704.52
1614000,Змеиногорский муниципальный район,2013,12040.28
1614000,Змеиногорский муниципальный район,2014,11326.44
1614000,Змеиногорский муниципальный район,2015,9780.28
1614000,Змеиногорский муниципальный район,2016,9895.19
1614000,Змеиногорский муниципальный район,2017,8939.63
1614000,Змеиногорский муниципальный район,2018,7798.4
1614000,Змеиногорский муниципальный район,2019,8654.24
1614000,Змеиногорский муниципальный район,2020,7471.77
1614000,Змеиногорский муниципальный район,2021,8235.19
1614000,Змеиногорский муниципальный район,2022,7692.82
1615000,Калманский муниципальный район,2007,19267.42
1615000,Калманский муниципальный район,2008,19104.1
1615000,Калманский муниципальный район,2009,18583.25
1615000,Калманский муниципальный район,2010,17857.76
1615000,Калманский муниципальный район,2011,18711.51
1615000,Калманский муниципальный район,2012,17005.85
1615000,Калманский муниципальный район,2013,18822.32
1615000,Калманский муниципальный район,2014,13878.97
1615000,Калманский муниципальный район,2015,12757.6
1615000,Калманский муниципальный район,2016,16280.27
1615000,Калманский муниципальный район,2017,11963.28
1615000,Калманский муниципальный район,2018,11039.8
1615000,Калманский муниципальный район,2019,11699.26
1615000,Калманский муниципальный район,2020,10431.95
1615000,Калманский муниципальный район,2021,12581.97
1615000,Калманский муниципальный район,2022,11796.84
1616000,Каменский муниципальный район,2007,21235.4
1616000,Каменский муниципальный район,2008,21783.06
1616000,Каменский муниципальный район,2009,20431.81
1616000,Каменский муниципальный район,2010,19405.27
1616000,Каменский муниципальный район,2011,19787.21
1616000,Каменский муниципальный район,2012,19463.71
1616000,Каменский муниципальный район,2013,18370.53
1616000,Каменский муниципальный район,2014,16852.65
1616000,Каменский муниципальный район,2015,16064.13
1616000,Каменский муниципальный район,2016,30755.45
1616000,Каменский муниципальный район,2017,26238.12
1616000,Каменский муниципальный район,2018,29225.8
1616000,Каменский муниципальный район,2019,31328.85
1616000,Каменский муниципальный район,2020,26166.73
1616000,Каменский муниципальный район,2021,25739.8
1616000,Каменский муниципальный район,2022,24529.89
1617000,Ключевский муниципальный район,2007,18966.13
1617000,Ключевский муниципальный район,2008,18457.85
1617000,Ключевский муниципальный район,2009,17545.3
1617000,Ключевский муниципальный район,2010,16567.79
1617000,Ключевский муниципальный район,2011,16055.83
1617000,Ключевский муниципальный район,2012,14451.63
1617000,Ключевский муниципальный район,2013,13177.04
1617000,Ключевский муниципальный район,2014,11434.4
1617000,Ключевский муниципальный район,2015,10038.14
1617000,Ключевский муниципальный район,2016,10322.85
1617000,Ключевский муниципальный район,2017,9390.22
1617000,Ключевский муниципальный район,2018,8034.7
1617000,Ключевский муниципальный район,2019,8317.73
1617000,Ключевский муниципальный район,2020,7391.89
1617000,Ключевский муниципальный район,2021,8279.32
1617000,Ключевский муниципальный район,2022,7684.48
1618000,Косихинский муниципальный район,2007,29227.71
1618000,Косихинский муниципальный район,2008,27198.19
1618000,Косихинский муниципальный район,2009,27200.59
1618000,Косихинский муниципальный район,2010,29638.89
1618000,Косихинский муниципальный район,2011,54572.93
1618000,Косихинский муниципальный район,2012,84047.12
1618000,Косихинский муниципальный район,2013,54693.35
1618000,Косихинский муниципальный район,2014,67248.45
1618000,Косихинский муниципальный район,2015,82087.43
1618000,Косихинский муниципальный район,2016,18351.05
1618000,Косихинский муниципальный район,2017,19208.76
1618000,Косихинский муниципальный район,2018,15901.4
1618000,Косихинский муниципальный район,2019,19142.07
1618000,Косихинский муниципальный район,2020,16270.92
1618000,Косихинский муниципальный район,2021,14628.6
1618000,Косихинский муниципальный район,2022,13177.83
1619000,Красногорский муниципальный район,2007,19010.09
1619000,Красногорский муниципальный район,2008,19776.99
1619000,Красногорский муниципальный район,2009,19944.49
1619000,Красногорский муниципальный район,2010,19935.73
1619000,Красногорский муниципальный район,2011,20396.23
1619000,Красногорский муниципальный район,2012,20242.04
1619000,Красногорский муниципальный район,2013,18629.87
1619000,Красногорский муниципальный район,2014,18197.48
1619000,Красногорский муниципальный район,2015,19701.69
1619000,Красногорский муниципальный район,2016,20338.97
1619000,Красногорский муниципальный район,2017,19512.87
1619000,Красногорский муниципальный район,2018,16451.7
1619000,Красногорский муниципальный район,2019,17354.72
1619000,Красногорский муниципальный район,2020,15517.47
1619000,Красногорский муниципальный район,2021,15853.95
1619000,Красногорский муниципальный район,2022,15000.87
1620000,Краснощёковский муниципальный район,2007,17888.93
1620000,Краснощёковский муниципальный район,2008,18023.46
1620000,Краснощёковский муниципальный район,2009,17696.55
1620000,Краснощёковский муниципальный район,2010,17188.2
1620000,Краснощёковский муниципальный район,2011,13285.25
1620000,Краснощёковский муниципальный район,2012,12668.48
1620000,Краснощёковский муниципальный район,2013,11116.51
1620000,Краснощёковский муниципальный район,2014,9360.34
1620000,Краснощёковский муниципальный район,2015,8722.7
1620000,Краснощёковский муниципальный район,2016,10301.43
1620000,Краснощёковский муниципальный район,2017,9986.27
1620000,Краснощёковский муниципальный район,2018,9244.6
1620000,Краснощёковский муниципальный район,2019,10135.67
1620000,Краснощёковский муниципальный район,2020,9081.77
1620000,Краснощёковский муниципальный район,2021,10210.38
1620000,Краснощёковский муниципальный район,2022,10124.55
1621000,Крутихинский муниципальный район,2007,17786.83
1621000,Крутихинский муниципальный район,2008,16998.13
1621000,Крутихинский муниципальный район,2009,16320.17
1621000,Крутихинский муниципальный район,2010,15335.56
1621000,Крутихинский муниципальный район,2011,14519.2
1621000,Крутихинский муниципальный район,2012,11043.58
1621000,Крутихинский муниципальный район,2013,10143.47
1621000,Крутихинский муниципальный район,2014,8017.81
1621000,Крутихинский муниципальный район,2015,7531.8
1621000,Крутихинский муниципальный район,2016,22004.56
1621000,Крутихинский муниципальный район,2017,10456.56
1621000,Крутихинский муниципальный район,2018,5282.2
1621000,Крутихинский муниципальный район,2019,5673.35
1621000,Крутихинский муниципальный район,2020,5082.04
1621000,Крутихинский муниципальный район,2021,7137.47
1621000,Крутихинский муниципальный район,2022,6706.25
1622000,Кулундинский муниципальный район,2007,26271.73
1622000,Кулундинский муниципальный район,2008,17879.17
1622000,Кулундинский муниципальный район,2009,17957.23
1622000,Кулундинский муниципальный район,2010,17362.52
1622000,Кулундинский муниципальный район,2011,14927.02
1622000,Кулундинский муниципальный район,2012,14120.75
1622000,Кулундинский муниципальный район,2013,12915.9
