oktmo,name,year,naturesecure
01618000,Косихинский муниципальный район,2008,297.2
01618000,Косихинский муниципальный район,2009,227.6
01618000,Косихинский муниципальный район,2010,52.3
01618000,Косихинский муниципальный район,2011,201.1
01619000,Красногорский муниципальный район,2008,68.2
01619000,Красногорский муниципальный район,2009,0.0
01619000,Красногорский муниципальный район,2010,108.3
01619000,Красногорский муниципальный район,2011,58.4
01619000,Красногорский муниципальный район,2012,1.0
01619000,Красногорский муниципальный район,2013,12.0
01619000,Красногорский муниципальный район,2014,0.0
01620000,Краснощёковский муниципальный район,2008,182.0
01620000,Краснощёковский муниципальный район,2009,10.6
01620000,Краснощёковский муниципальный район,2010,251.7
01620000,Краснощёковский муниципальный район,2011,102.7
01620000,Краснощёковский муниципальный район,2012,40.0
01620000,Краснощёковский муниципальный район,2013,745.0
01620000,Краснощёковский муниципальный район,2014,921.0
01620000,Краснощёковский муниципальный район,2015,1363.0
01621000,Крутихинский муниципальный район,2008,0.0
01621000,Крутихинский муниципальный район,2009,0.0
01622000,Кулундинский муниципальный район,2008,724.4
01622000,Кулундинский муниципальный район,2009,1464.3
01622000,Кулундинский муниципальный район,2010,418.2
01622000,Кулундинский муниципальный район,2011,623.4
01622000,Кулундинский муниципальный район,2012,482.0
01622000,Кулундинский муниципальный район,2013,591.0
01622000,Кулундинский муниципальный район,2014,707.0
01622000,Кулундинский муниципальный район,2015,792.0
01622000,Кулундинский муниципальный район,2016,494.0
01622000,Кулундинский муниципальный район,2017,5401.0
01622000,Кулундинский муниципальный район,2018,2434.0
01622000,Кулундинский муниципальный район,2019,813.0
01622000,Кулундинский муниципальный район,2020,613.0
01622000,Кулундинский муниципальный район,2021,590.0
01622000,Кулундинский муниципальный район,2022,2528.0
01623000,Курьинский муниципальный район,2008,0.0
01623000,Курьинский муниципальный район,2009,0.0
01623000,Курьинский муниципальный район,2010,0.0
01623000,Курьинский муниципальный район,2013,1069.0
01623000,Курьинский муниципальный район,2014,8.0
01624000,Кытмановский муниципальный район,2008,60.0
01624000,Кытмановский муниципальный район,2009,0.0
01624000,Кытмановский муниципальный район,2010,50.0
01624000,Кытмановский муниципальный район,2011,10.0
01624000,Кытмановский муниципальный район,2013,10.0
01624000,Кытмановский муниципальный район,2014,10.0
01625000,Локтевский муниципальный район,2008,930.8
01625000,Локтевский муниципальный район,2009,2049.6
01625000,Локтевский муниципальный район,2010,5129.1
01625000,Локтевский муниципальный район,2011,4680.9
01625000,Локтевский муниципальный район,2012,4361.0
01625000,Локтевский муниципальный район,2013,3463.0
01625000,Локтевский муниципальный район,2014,3741.0
01625000,Локтевский муниципальный район,2015,1737.0
01625000,Локтевский муниципальный район,2016,370.0
01625000,Локтевский муниципальный район,2017,1892.0
01625000,Локтевский муниципальный район,2018,247.0
01626000,Мамонтовский муниципальный район,2008,169.1
01626000,Мамонтовский муниципальный район,2009,129.7
01626000,Мамонтовский муниципальный район,2010,132.5
01626000,Мамонтовский муниципальный район,2011,176.3
01626000,Мамонтовский муниципальный район,2012,328.0
01626000,Мамонтовский муниципальный район,2013,288.0
01626000,Мамонтовский муниципальный район,2014,428.0
01626000,Мамонтовский муниципальный район,2021,2724.0
01626000,Мамонтовский муниципальный район,2022,5398.0
01627000,Михайловский муниципальный район,2008,639.5
01627000,Михайловский муниципальный район,2009,351.0
01627000,Михайловский муниципальный район,2010,171.1
01627000,Михайловский муниципальный район,2011,1583.5
01627000,Михайловский муниципальный район,2012,2327.0
01627000,Михайловский муниципальный район,2013,1732.0
01627000,Михайловский муниципальный район,2014,1357.0
01627000,Михайловский муниципальный район,2016,1574.0
01627000,Михайловский муниципальный район,2020,2176.0
01628000,Новичихинский муниципальный район,2008,0.0
01628000,Новичихинский муниципальный район,2009,0.0
01628000,Новичихинский муниципальный район,2010,0.0
01628000,Новичихинский муниципальный район,2011,522.4
01628000,Новичихинский муниципальный район,2012,272.0
01628000,Новичихинский муниципальный район,2013,102.0
01628000,Новичихинский муниципальный район,2014,177.0
01629000,Зональный муниципальный район,2008,844.0
