oktmo,name,year,museums
oktmo,municipality,year,indicator_value
01618000,Косихинский муниципальный район,2014,2.0
01618000,Косихинский муниципальный район,2015,2.0
01618000,Косихинский муниципальный район,2016,2.0
01618000,Косихинский муниципальный район,2017,2.0
01618434,Косихинский сельсовет,2007,1.0
01618434,Косихинский сельсовет,2008,1.0
01618434,Косихинский сельсовет,2009,1.0
01618434,Косихинский сельсовет,2010,1.0
01618434,Косихинский сельсовет,2011,1.0
01618434,Косихинский сельсовет,2012,1.0
01618434,Косихинский сельсовет,2013,1.0
01618434,Косихинский сельсовет,2014,1.0
01618434,Косихинский сельсовет,2015,1.0
01618434,Косихинский сельсовет,2016,1.0
01618434,Косихинский сельсовет,2017,1.0
01618468,Полковниковский сельсовет,2007,1.0
01618468,Полковниковский сельсовет,2008,1.0
01618468,Полковниковский сельсовет,2009,1.0
01618468,Полковниковский сельсовет,2010,1.0
01618468,Полковниковский сельсовет,2011,1.0
01618468,Полковниковский сельсовет,2012,1.0
01618468,Полковниковский сельсовет,2013,1.0
01618468,Полковниковский сельсовет,2014,1.0
01618468,Полковниковский сельсовет,2015,1.0
01618468,Полковниковский сельсовет,2016,1.0
01618468,Полковниковский сельсовет,2017,1.0
01619000,Красногорский муниципальный район,2007,1.0
01619000,Красногорский муниципальный район,2008,1.0
01619000,Красногорский муниципальный район,2009,1.0
01619000,Красногорский муниципальный район,2010,1.0
01619000,Красногорский муниципальный район,2011,1.0
01619000,Красногорский муниципальный район,2012,1.0
01619000,Красногорский муниципальный район,2013,1.0
01619000,Красногорский муниципальный район,2014,1.0
01619000,Красногорский муниципальный район,2015,1.0
01619000,Красногорский муниципальный район,2016,1.0
01619423,Красногорский сельсовет,2007,1.0
01619423,Красногорский сельсовет,2008,1.0
01619423,Красногорский сельсовет,2009,1.0
01619423,Красногорский сельсовет,2010,1.0
01619423,Красногорский сельсовет,2011,1.0
01619423,Красногорский сельсовет,2012,1.0
01619423,Красногорский сельсовет,2013,1.0
01619423,Красногорский сельсовет,2014,1.0
01619423,Красногорский сельсовет,2015,1.0
01619423,Красногорский сельсовет,2016,1.0
01620000,Краснощёковский муниципальный район,2007,1.0
01620000,Краснощёковский муниципальный район,2008,1.0
01620000,Краснощёковский муниципальный район,2009,1.0
01620000,Краснощёковский муниципальный район,2010,1.0
01620000,Краснощёковский муниципальный район,2011,1.0
01620000,Краснощёковский муниципальный район,2012,1.0
01620000,Краснощёковский муниципальный район,2013,1.0
01620000,Краснощёковский муниципальный район,2014,1.0
01620000,Краснощёковский муниципальный район,2015,1.0
01620000,Краснощёковский муниципальный район,2016,1.0
01620430,Краснощёковский сельсовет,2007,1.0
01620430,Краснощёковский сельсовет,2008,1.0
01620430,Краснощёковский сельсовет,2009,1.0
01620430,Краснощёковский сельсовет,2010,1.0
01620430,Краснощёковский сельсовет,2011,1.0
01620430,Краснощёковский сельсовет,2012,1.0
01620430,Краснощёковский сельсовет,2013,1.0
01620430,Краснощёковский сельсовет,2014,1.0
01620430,Краснощёковский сельсовет,2015,1.0
01620430,Краснощёковский сельсовет,2016,1.0
01622000,Кулундинский муниципальный район,2007,1.0
01622000,Кулундинский муниципальный район,2013,1.0
01622000,Кулундинский муниципальный район,2014,1.0
01622000,Кулундинский муниципальный район,2015,1.0
01622000,Кулундинский муниципальный район,2016,1.0
01622460,Кулундинский сельсовет,2007,1.0
01622460,Кулундинский сельсовет,2013,1.0
01622460,Кулундинский сельсовет,2014,1.0
01622460,Кулундинский сельсовет,2015,1.0
01622460,Кулундинский сельсовет,2016,1.0
01623000,Курьинский муниципальный район,2007,2.0
01623000,Курьинский муниципальный район,2008,2.0
01623000,Курьинский муниципальный район,2009,2.0
01623000,Курьинский муниципальный район,2010,2.0
01623000,Курьинский муниципальный район,2011,2.0
01623000,Курьинский муниципальный район,2012,2.0
01623000,Курьинский муниципальный район,2013,3.0
01623000,Курьинский муниципальный район,2014,3.0
01623000,Курьинский муниципальный район,2015,3.0
01623000,Курьинский муниципальный район,2016,2.0
01623000,Курьинский муниципальный район,2017,2.0
01623438,Колыванский сельсовет,2007,1.0
01623438,Колыванский сельсовет,2008,1.0
01623438,Колыванский сельсовет,2009,1.0
01623438,Колыванский сельсовет,2010,1.0
01623438,Колыванский сельсовет,2011,1.0
01623438,Колыванский сельсовет,2012,1.0
01623438,Колыванский сельсовет,2013,1.0
01623438,Колыванский сельсовет,2014,1.0
01623438,Колыванский сельсовет,2015,1.0
01623438,Колыванский сельсовет,2016,1.0
01623466,Курьинский сельсовет,2007,1.0
01623466,Курьинский сельсовет,2008,1.0
01623466,Курьинский сельсовет,2009,1.0
01623466,Курьинский сельсовет,2010,1.0
01623466,Курьинский сельсовет,2011,1.0
01623466,Курьинский сельсовет,2012,1.0
01623466,Курьинский сельсовет,2013,2.0
01623466,Курьинский сельсовет,2014,2.0
01623466,Курьинский сельсовет,2015,2.0
01623466,Курьинский сельсовет,2016,1.0
01623466,Курьинский сельсовет,2017,2.0
01624423,Кытмановский сельсовет,2009,1.0
01625000,Локтевский муниципальный район,2007,1.0
01625000,Локтевский муниципальный район,2008,1.0
01625000,Локтевский муниципальный район,2009,1.0
01625000,Локтевский муниципальный район,2010,1.0
01625000,Локтевский муниципальный район,2011,1.0
01625000,Локтевский муниципальный район,2012,1.0
01625000,Локтевский муниципальный район,2013,1.0
01625000,Локтевский муниципальный район,2014,1.0
01625000,Локтевский муниципальный район,2015,1.0
01625101,город Горняк,2007,1.0
01625101,город Горняк,2008,1.0
01625101,город Горняк,2009,1.0
01625101,город Горняк,2010,1.0
