oktmo,name,year,consnewapt
oktmo,municipality,year,indicator_value
01634000,Поспелихинский муниципальный район,2011,1.829
01635000,Ребрихинский муниципальный район,2008,0.64
01635000,Ребрихинский муниципальный район,2009,1.089
01635000,Ребрихинский муниципальный район,2010,0.892
01635000,Ребрихинский муниципальный район,2011,1.107
01636000,Родинский муниципальный район,2008,0.34
01636000,Родинский муниципальный район,2009,0.576
01636000,Родинский муниципальный район,2010,0.674
01636000,Родинский муниципальный район,2011,1.026
01637000,Романовский муниципальный район,2008,0.91
01637000,Романовский муниципальный район,2009,0.978
01637000,Романовский муниципальный район,2010,1.134
01637000,Романовский муниципальный район,2011,1.15
01638000,Рубцовский муниципальный район,2008,0.75
01638000,Рубцовский муниципальный район,2009,0.933
01638000,Рубцовский муниципальный район,2010,0.611
01638000,Рубцовский муниципальный район,2011,0.695
01639000,Славгородский муниципальный район,2008,0.44
01639000,Славгородский муниципальный район,2009,0.982
01639000,Славгородский муниципальный район,2010,0.688
01639000,Славгородский муниципальный район,2011,0.688
01640000,Смоленский муниципальный район,2008,1.98
01640000,Смоленский муниципальный район,2009,2.038
01640000,Смоленский муниципальный район,2010,2.463
01640000,Смоленский муниципальный район,2011,1.218
01641000,Суетский муниципальный район,2008,0.18
01641000,Суетский муниципальный район,2009,0.194
01641000,Суетский муниципальный район,2010,0.888
01641000,Суетский муниципальный район,2011,0.599
01642000,Советский муниципальный район,2008,2.12
01642000,Советский муниципальный район,2009,1.392
01642000,Советский муниципальный район,2010,1.336
01642000,Советский муниципальный район,2011,1.222
01643000,Солонешенский муниципальный район,2008,0.87
01643000,Солонешенский муниципальный район,2009,1.107
01643000,Солонешенский муниципальный район,2010,1.769
01643000,Солонешенский муниципальный район,2011,1.244
01644000,Солтонский муниципальный район,2008,1.25
01644000,Солтонский муниципальный район,2009,1.034
01644000,Солтонский муниципальный район,2010,1.042
01644000,Солтонский муниципальный район,2011,1.422
01645000,Шелаболихинский муниципальный район,2008,0.6
01645000,Шелаболихинский муниципальный район,2009,0.435
01645000,Шелаболихинский муниципальный район,2010,0.584
01645000,Шелаболихинский муниципальный район,2011,1.109
01646000,Табунский муниципальный район,2008,0.26
01646000,Табунский муниципальный район,2009,0.197
01646000,Табунский муниципальный район,2010,0.199
01646000,Табунский муниципальный район,2011,0.304
