oktmo,name,year,factoriescap
1622000,Кулундинский муниципальный район,2019,721396.4
1622000,Кулундинский муниципальный район,2020,776980.0
1622000,Кулундинский муниципальный район,2021,1007799.4
1622000,Кулундинский муниципальный район,2022,850199.5
1623000,Курьинский муниципальный район,2017,742724.9
1623000,Курьинский муниципальный район,2018,586073.0
1623000,Курьинский муниципальный район,2019,412290.6
1623000,Курьинский муниципальный район,2020,1295944.9
1623000,Курьинский муниципальный район,2021,1271722.5
1623000,Курьинский муниципальный район,2022,1139691.6
1624000,Кытмановский муниципальный район,2017,622830.7
1624000,Кытмановский муниципальный район,2018,583412.2
1624000,Кытмановский муниципальный район,2019,732893.3
1624000,Кытмановский муниципальный район,2020,683502.2
1624000,Кытмановский муниципальный район,2021,964597.1
1624000,Кытмановский муниципальный район,2022,897542.4
1625000,Локтевский муниципальный район,2017,626034.1
1625000,Локтевский муниципальный район,2018,762379.4
1625000,Локтевский муниципальный район,2019,795172.1
1625000,Локтевский муниципальный район,2020,1201366.4
1625000,Локтевский муниципальный район,2021,1413719.0
1625000,Локтевский муниципальный район,2022,1947356.6
1626000,Мамонтовский муниципальный район,2017,887678.1
1626000,Мамонтовский муниципальный район,2018,942446.8
1626000,Мамонтовский муниципальный район,2019,1093149.8
1626000,Мамонтовский муниципальный район,2020,1121385.4
1626000,Мамонтовский муниципальный район,2021,1800823.4
1626000,Мамонтовский муниципальный район,2022,1347164.4
1627000,Михайловский муниципальный район,2017,1068317.4
1627000,Михайловский муниципальный район,2018,1424734.1
1627000,Михайловский муниципальный район,2019,1631954.9
1627000,Михайловский муниципальный район,2020,1648148.1
1627000,Михайловский муниципальный район,2021,1954055.6
1627000,Михайловский муниципальный район,2022,1515420.2
1628000,Новичихинский муниципальный район,2017,937240.6
1628000,Новичихинский муниципальный район,2018,986347.3
1628000,Новичихинский муниципальный район,2019,1165014.7
1628000,Новичихинский муниципальный район,2020,1446740.5
1628000,Новичихинский муниципальный район,2021,2032981.9
1628000,Новичихинский муниципальный район,2022,1878790.7
1629000,Зональный муниципальный район,2017,5423966.8
1629000,Зональный муниципальный район,2018,5325500.4
1629000,Зональный муниципальный район,2019,5440765.4
1629000,Зональный муниципальный район,2020,7672687.2
1629000,Зональный муниципальный район,2021,9074609.2
1629000,Зональный муниципальный район,2022,11197822.9
1630000,Павловский муниципальный район,2017,11238032.5
1630000,Павловский муниципальный район,2018,12888671.3
1630000,Павловский муниципальный район,2019,14376256.0
1630000,Павловский муниципальный район,2020,18962825.3
1630000,Павловский муниципальный район,2021,26286114.3
1630000,Павловский муниципальный район,2022,28056669.2
1631000,Панкрушихинский муниципальный район,2017,415535.6
1631000,Панкрушихинский муниципальный район,2018,457063.2
