oktmo,name,year,parks
3605000,Апшеронский муниципальный район,2008,2.0
3605000,Апшеронский муниципальный район,2009,2.0
3605000,Апшеронский муниципальный район,2010,2.0
3605000,Апшеронский муниципальный район,2011,2.0
3605000,Апшеронский муниципальный район,2012,2.0
3605000,Апшеронский муниципальный район,2013,2.0
3605000,Апшеронский муниципальный район,2014,2.0
3605000,Апшеронский муниципальный район,2015,2.0
3605000,Апшеронский муниципальный район,2016,2.0
3605000,Апшеронский муниципальный район,2017,2.0
3605101,Апшеронское,2007,1.0
3605101,Апшеронское,2008,1.0
3605101,Апшеронское,2009,1.0
3605101,Апшеронское,2010,1.0
3605101,Апшеронское,2011,1.0
3605101,Апшеронское,2012,1.0
3605101,Апшеронское,2013,1.0
3605101,Апшеронское,2014,1.0
3605101,Апшеронское,2015,1.0
3605101,Апшеронское,2016,1.0
3605101,Апшеронское,2017,1.0
3605157,Нефтегорское,2008,1.0
3605157,Нефтегорское,2009,1.0
3605157,Нефтегорское,2010,1.0
3605157,Нефтегорское,2011,1.0
3605157,Нефтегорское,2012,1.0
3605157,Нефтегорское,2013,1.0
3605157,Нефтегорское,2014,1.0
3605157,Нефтегорское,2015,1.0
3605157,Нефтегорское,2016,1.0
3605157,Нефтегорское,2017,1.0
3607000,Белоглинский муниципальный район,2007,1.0
3607000,Белоглинский муниципальный район,2008,1.0
3607000,Белоглинский муниципальный район,2009,1.0
3607000,Белоглинский муниципальный район,2010,1.0
3607000,Белоглинский муниципальный район,2011,1.0
3607000,Белоглинский муниципальный район,2012,1.0
3607000,Белоглинский муниципальный район,2013,1.0
3607000,Белоглинский муниципальный район,2014,1.0
3607000,Белоглинский муниципальный район,2015,1.0
3607000,Белоглинский муниципальный район,2016,1.0
3607000,Белоглинский муниципальный район,2017,1.0
3607402,Белоглинское,2007,1.0
3607402,Белоглинское,2008,1.0
3607402,Белоглинское,2009,1.0
3607402,Белоглинское,2010,1.0
3607402,Белоглинское,2011,1.0
3607402,Белоглинское,2012,1.0
3607402,Белоглинское,2013,1.0
3607402,Белоглинское,2014,1.0
3607402,Белоглинское,2015,1.0
3607402,Белоглинское,2016,1.0
3607402,Белоглинское,2017,1.0
3608000,Белореченский муниципальный район,2007,1.0
3608000,Белореченский муниципальный район,2008,1.0
3608000,Белореченский муниципальный район,2009,1.0
3608000,Белореченский муниципальный район,2010,1.0
3608000,Белореченский муниципальный район,2011,1.0
3608000,Белореченский муниципальный район,2012,1.0
3608000,Белореченский муниципальный район,2013,1.0
3608000,Белореченский муниципальный район,2014,1.0
3608000,Белореченский муниципальный район,2015,1.0
3608000,Белореченский муниципальный район,2016,1.0
3608000,Белореченский муниципальный район,2017,1.0
3608101,Белореченское,2007,1.0
