oktmo,name,year,livarea
oktmo,municipality,year,indicator_value
01609000,Егорьевский муниципальный район,2022,33.4
01610000,Ельцовский муниципальный район,2008,24.56
01610000,Ельцовский муниципальный район,2009,27.3
01610000,Ельцовский муниципальный район,2010,27.48
01610000,Ельцовский муниципальный район,2011,27.9
01610000,Ельцовский муниципальный район,2012,28.6
01610000,Ельцовский муниципальный район,2013,28.9
01610000,Ельцовский муниципальный район,2014,29.1
01610000,Ельцовский муниципальный район,2015,29.3
01610000,Ельцовский муниципальный район,2016,29.2
01610000,Ельцовский муниципальный район,2017,29.3
01610000,Ельцовский муниципальный район,2018,29.8
01610000,Ельцовский муниципальный район,2019,30.4
01610000,Ельцовский муниципальный район,2020,30.7
01610000,Ельцовский муниципальный район,2021,31.3
01610000,Ельцовский муниципальный район,2022,38.3
01611000,Завьяловский муниципальный район,2008,20.47
01611000,Завьяловский муниципальный район,2009,22.4
01611000,Завьяловский муниципальный район,2010,22.64
01611000,Завьяловский муниципальный район,2011,23.1
01611000,Завьяловский муниципальный район,2012,23.5
01611000,Завьяловский муниципальный район,2013,23.9
01611000,Завьяловский муниципальный район,2014,24.1
01611000,Завьяловский муниципальный район,2015,24.3
01611000,Завьяловский муниципальный район,2016,24.4
01611000,Завьяловский муниципальный район,2017,24.9
01611000,Завьяловский муниципальный район,2018,25.6
01611000,Завьяловский муниципальный район,2019,26.1
01611000,Завьяловский муниципальный район,2020,26.6
01611000,Завьяловский муниципальный район,2021,27.2
01611000,Завьяловский муниципальный район,2022,29.0
01612000,Залесовский муниципальный район,2008,18.39
01612000,Залесовский муниципальный район,2009,20.6
01612000,Залесовский муниципальный район,2010,20.89
01612000,Залесовский муниципальный район,2011,21.1
01612000,Залесовский муниципальный район,2012,21.5
01612000,Залесовский муниципальный район,2013,21.8
01612000,Залесовский муниципальный район,2014,22.3
01612000,Залесовский муниципальный район,2015,22.6
01612000,Залесовский муниципальный район,2016,22.8
01612000,Залесовский муниципальный район,2017,22.9
01612000,Залесовский муниципальный район,2018,23.2
01612000,Залесовский муниципальный район,2019,23.8
01612000,Залесовский муниципальный район,2020,24.4
01612000,Залесовский муниципальный район,2021,25.1
01613000,Заринский муниципальный район,2008,18.65
01613000,Заринский муниципальный район,2009,18.9
01613000,Заринский муниципальный район,2010,19.25
01613000,Заринский муниципальный район,2011,19.7
01613000,Заринский муниципальный район,2012,20.2
01613000,Заринский муниципальный район,2013,20.6
01613000,Заринский муниципальный район,2014,20.9
01613000,Заринский муниципальный район,2015,21.3
01613000,Заринский муниципальный район,2016,21.9
01613000,Заринский муниципальный район,2017,22.3
01613000,Заринский муниципальный район,2018,22.8
01613000,Заринский муниципальный район,2019,23.6
01613000,Заринский муниципальный район,2020,24.2
01613000,Заринский муниципальный район,2021,24.7
01613000,Заринский муниципальный район,2022,29.2
01614000,Змеиногорский муниципальный район,2008,20.34
01614000,Змеиногорский муниципальный район,2009,21.9
01614000,Змеиногорский муниципальный район,2010,22.39
01614000,Змеиногорский муниципальный район,2011,22.7
01614000,Змеиногорский муниципальный район,2012,23.2
01614000,Змеиногорский муниципальный район,2013,23.6
01614000,Змеиногорский муниципальный район,2014,24.1
01614000,Змеиногорский муниципальный район,2015,24.4
01614000,Змеиногорский муниципальный район,2016,24.7
01614000,Змеиногорский муниципальный район,2017,25.1
01614000,Змеиногорский муниципальный район,2018,25.7
01614000,Змеиногорский муниципальный район,2019,26.2
01614000,Змеиногорский муниципальный район,2020,26.6
01614000,Змеиногорский муниципальный район,2021,27.2
01614000,Змеиногорский муниципальный район,2022,30.4
01615000,Калманский муниципальный район,2008,22.18
01615000,Калманский муниципальный район,2009,23.0
01615000,Калманский муниципальный район,2010,23.84
01615000,Калманский муниципальный район,2011,24.7
01615000,Калманский муниципальный район,2012,25.2
01615000,Калманский муниципальный район,2013,21.5
01615000,Калманский муниципальный район,2014,21.9
01615000,Калманский муниципальный район,2015,22.4
01615000,Калманский муниципальный район,2016,23.0
01615000,Калманский муниципальный район,2017,23.7
01615000,Калманский муниципальный район,2018,24.2
01615000,Калманский муниципальный район,2019,24.7
01615000,Калманский муниципальный район,2020,25.0
01615000,Калманский муниципальный район,2021,25.6
01615000,Калманский муниципальный район,2022,26.9
01616000,Каменский муниципальный район,2008,26.84
01616000,Каменский муниципальный район,2009,29.7
01616000,Каменский муниципальный район,2010,30.26
01616000,Каменский муниципальный район,2011,31.4
01616000,Каменский муниципальный район,2012,32.2
01616000,Каменский муниципальный район,2013,26.1
01616000,Каменский муниципальный район,2014,27.1
01616000,Каменский муниципальный район,2015,28.0
01616000,Каменский муниципальный район,2016,21.2
01616000,Каменский муниципальный район,2017,21.6
01616000,Каменский муниципальный район,2018,21.9
01616000,Каменский муниципальный район,2019,22.2
01616000,Каменский муниципальный район,2020,22.6
01616000,Каменский муниципальный район,2021,22.9
01616000,Каменский муниципальный район,2022,28.1
01617000,Ключевский муниципальный район,2008,24.36
01617000,Ключевский муниципальный район,2009,25.2
01617000,Ключевский муниципальный район,2010,25.6
01617000,Ключевский муниципальный район,2011,26.7
01617000,Ключевский муниципальный район,2012,28.5
01617000,Ключевский муниципальный район,2013,29.1
01617000,Ключевский муниципальный район,2014,29.5
01617000,Ключевский муниципальный район,2015,29.9
01617000,Ключевский муниципальный район,2016,30.5
01617000,Ключевский муниципальный район,2017,31.2
01617000,Ключевский муниципальный район,2018,31.9
01617000,Ключевский муниципальный район,2019,32.6
01617000,Ключевский муниципальный район,2020,33.2
01617000,Ключевский муниципальный район,2021,34.2
01617000,Ключевский муниципальный район,2022,41.4
01618000,Косихинский муниципальный район,2008,20.87
01618000,Косихинский муниципальный район,2009,21.7
01618000,Косихинский муниципальный район,2010,22.69
01618000,Косихинский муниципальный район,2011,23.4
01618000,Косихинский муниципальный район,2012,23.3
01618000,Косихинский муниципальный район,2013,24.1
01618000,Косихинский муниципальный район,2014,24.5
01618000,Косихинский муниципальный район,2015,24.9
01618000,Косихинский муниципальный район,2016,25.1
01618000,Косихинский муниципальный район,2017,25.7
01618000,Косихинский муниципальный район,2018,26.2
01618000,Косихинский муниципальный район,2019,26.7
01618000,Косихинский муниципальный район,2020,27.3
01618000,Косихинский муниципальный район,2021,28.0
01618000,Косихинский муниципальный район,2022,30.7
01619000,Красногорский муниципальный район,2008,19.08
01619000,Красногорский муниципальный район,2009,21.2
01619000,Красногорский муниципальный район,2010,21.27
01619000,Красногорский муниципальный район,2011,21.4
01619000,Красногорский муниципальный район,2012,21.8
01619000,Красногорский муниципальный район,2013,22.2
01619000,Красногорский муниципальный район,2014,22.5
01619000,Красногорский муниципальный район,2015,22.9
01619000,Красногорский муниципальный район,2016,23.2
01619000,Красногорский муниципальный район,2017,23.5
01619000,Красногорский муниципальный район,2018,23.8
01619000,Красногорский муниципальный район,2019,24.3
01619000,Красногорский муниципальный район,2020,24.9
01619000,Красногорский муниципальный район,2021,25.5
01619000,Красногорский муниципальный район,2022,28.3
01620000,Краснощёковский муниципальный район,2008,21.98
01620000,Краснощёковский муниципальный район,2009,22.3
01620000,Краснощёковский муниципальный район,2010,22.62
01620000,Краснощёковский муниципальный район,2011,23.3
01620000,Краснощёковский муниципальный район,2012,23.8
01620000,Краснощёковский муниципальный район,2013,24.4
01620000,Краснощёковский муниципальный район,2014,24.7
01620000,Краснощёковский муниципальный район,2015,25.2
01620000,Краснощёковский муниципальный район,2016,25.6
01620000,Краснощёковский муниципальный район,2017,26.0
01620000,Краснощёковский муниципальный район,2018,26.4
01620000,Краснощёковский муниципальный район,2019,27.0
01620000,Краснощёковский муниципальный район,2020,27.6
01620000,Краснощёковский муниципальный район,2021,28.3
01620000,Краснощёковский муниципальный район,2022,31.7
01621000,Крутихинский муниципальный район,2008,22.99
01621000,Крутихинский муниципальный район,2009,24.5
01621000,Крутихинский муниципальный район,2010,24.99
01621000,Крутихинский муниципальный район,2011,26.0
01621000,Крутихинский муниципальный район,2012,26.8
01621000,Крутихинский муниципальный район,2013,27.0
01621000,Крутихинский муниципальный район,2014,27.0
01621000,Крутихинский муниципальный район,2015,27.0
01621000,Крутихинский муниципальный район,2016,26.9
01621000,Крутихинский муниципальный район,2017,26.8
01621000,Крутихинский муниципальный район,2018,27.1
01621000,Крутихинский муниципальный район,2019,27.3
01621000,Крутихинский муниципальный район,2020,27.6
01621000,Крутихинский муниципальный район,2021,28.1
01621000,Крутихинский муниципальный район,2022,36.1
01622000,Кулундинский муниципальный район,2008,20.82
01622000,Кулундинский муниципальный район,2009,22.2
01622000,Кулундинский муниципальный район,2010,22.49
01622000,Кулундинский муниципальный район,2011,22.8
01622000,Кулундинский муниципальный район,2012,23.0
01622000,Кулундинский муниципальный район,2013,23.5
01622000,Кулундинский муниципальный район,2014,23.7
01622000,Кулундинский муниципальный район,2015,23.9
01622000,Кулундинский муниципальный район,2016,24.1
01622000,Кулундинский муниципальный район,2017,24.3
01622000,Кулундинский муниципальный район,2018,24.4
01622000,Кулундинский муниципальный район,2019,24.7
01622000,Кулундинский муниципальный район,2020,25.0
01622000,Кулундинский муниципальный район,2021,25.4
01622000,Кулундинский муниципальный район,2022,26.7
01623000,Курьинский муниципальный район,2008,24.76
01623000,Курьинский муниципальный район,2009,25.5
01623000,Курьинский муниципальный район,2010,26.02
01623000,Курьинский муниципальный район,2011,26.9
01623000,Курьинский муниципальный район,2012,27.6
01623000,Курьинский муниципальный район,2013,28.4
01623000,Курьинский муниципальный район,2014,29.3
01623000,Курьинский муниципальный район,2015,30.5
01623000,Курьинский муниципальный район,2016,31.0
01623000,Курьинский муниципальный район,2017,32.0
01623000,Курьинский муниципальный район,2018,32.9
01623000,Курьинский муниципальный район,2019,33.7
01623000,Курьинский муниципальный район,2020,34.6
01623000,Курьинский муниципальный район,2021,35.7
01623000,Курьинский муниципальный район,2022,36.5
01624000,Кытмановский муниципальный район,2008,22.88
01624000,Кытмановский муниципальный район,2009,25.2
01624000,Кытмановский муниципальный район,2010,25.47
01624000,Кытмановский муниципальный район,2011,26.3
01624000,Кытмановский муниципальный район,2012,26.8
01624000,Кытмановский муниципальный район,2013,27.4
