oktmo,name,year,cliniccap
1605151,Благовещенский поссовет,2010,181.0
1605151,Благовещенский поссовет,2011,181.0
1605151,Благовещенский поссовет,2012,181.0
1605151,Благовещенский поссовет,2013,181.0
1605157,Степноозёрский поссовет,2008,173.0
1605157,Степноозёрский поссовет,2009,173.0
1605157,Степноозёрский поссовет,2010,173.0
1605157,Степноозёрский поссовет,2011,173.0
1605157,Степноозёрский поссовет,2012,173.0
1605157,Степноозёрский поссовет,2013,173.0
1605420,Гляденьский сельсовет,2008,27.0
1605420,Гляденьский сельсовет,2009,27.0
1605420,Гляденьский сельсовет,2010,27.0
1605420,Гляденьский сельсовет,2011,27.0
1605420,Гляденьский сельсовет,2012,27.0
1605420,Гляденьский сельсовет,2013,27.0
1605436,Леньковский сельсовет,2008,72.0
1605436,Леньковский сельсовет,2009,72.0
1605436,Леньковский сельсовет,2010,72.0
1605436,Леньковский сельсовет,2011,72.0
1605436,Леньковский сельсовет,2012,72.0
1605436,Леньковский сельсовет,2013,72.0
1605452,Николаевский сельсовет,2008,32.0
1605452,Николаевский сельсовет,2009,32.0
1605452,Николаевский сельсовет,2010,32.0
1605452,Николаевский сельсовет,2011,32.0
1605456,Новокулундинский сельсовет,2008,42.0
1605456,Новокулундинский сельсовет,2009,42.0
1605456,Новокулундинский сельсовет,2010,42.0
1605456,Новокулундинский сельсовет,2011,42.0
1605456,Новокулундинский сельсовет,2012,42.0
1605456,Новокулундинский сельсовет,2013,42.0
1605494,Яготинский сельсовет,2008,24.0
1605494,Яготинский сельсовет,2009,24.0
1605494,Яготинский сельсовет,2010,24.0
1605494,Яготинский сельсовет,2011,24.0
1605494,Яготинский сельсовет,2012,24.0
1605494,Яготинский сельсовет,2013,24.0
1606000,Бурлинский муниципальный район,2008,311.0
1606000,Бурлинский муниципальный район,2009,311.0
1606000,Бурлинский муниципальный район,2010,311.0
1606000,Бурлинский муниципальный район,2011,287.0
1606000,Бурлинский муниципальный район,2012,267.0
1606000,Бурлинский муниципальный район,2013,267.0
1606411,Бурлинский сельсовет,2008,287.0
1606411,Бурлинский сельсовет,2009,287.0
1606411,Бурлинский сельсовет,2010,287.0
1606411,Бурлинский сельсовет,2011,267.0
1606411,Бурлинский сельсовет,2012,247.0
1606411,Бурлинский сельсовет,2013,247.0
1606477,Устьянский сельсовет,2008,24.0
1606477,Устьянский сельсовет,2009,24.0
1606477,Устьянский сельсовет,2010,24.0
1606477,Устьянский сельсовет,2011,20.0
1606477,Устьянский сельсовет,2012,20.0
1606477,Устьянский сельсовет,2013,20.0
1607000,Быстроистокский муниципальный район,2008,388.0
1607000,Быстроистокский муниципальный район,2009,296.0
1607000,Быстроистокский муниципальный район,2010,296.0
1607000,Быстроистокский муниципальный район,2011,296.0
1607000,Быстроистокский муниципальный район,2012,296.0
1607000,Быстроистокский муниципальный район,2013,296.0
1607403,Акутихинский сельсовет,2008,30.0
1607403,Акутихинский сельсовет,2009,30.0
1607403,Акутихинский сельсовет,2010,30.0
1607403,Акутихинский сельсовет,2011,30.0
1607403,Акутихинский сельсовет,2012,30.0
1607403,Акутихинский сельсовет,2013,30.0
1607405,Быстроистокский сельсовет,2008,262.0
1607405,Быстроистокский сельсовет,2009,170.0
1607405,Быстроистокский сельсовет,2010,170.0
1607405,Быстроистокский сельсовет,2011,170.0
