oktmo,name,year,inflow
01612459,Пещерский сельсовет,2013,22.0
01612470,Тундрихинский сельсовет,2013,4.0
01612481,Черёмушкинский сельсовет,2013,43.0
01612492,Шатуновский сельсовет,2013,40.0
01613000,Заринский муниципальный район,2013,827.0
01613406,Аламбайский сельсовет,2013,18.0
01613420,Верх-Камышенский сельсовет,2013,29.0
01613425,Воскресенский сельсовет,2013,15.0
01613428,Голухинский сельсовет,2013,57.0
01613430,Гоношихинский сельсовет,2013,53.0
01613434,Гришинский сельсовет,2013,25.0
01613436,Жуланихинский сельсовет,2013,35.0
01613438,Зыряновский сельсовет,2013,12.0
01613450,Комарский сельсовет,2013,23.0
01613460,Новодраченинский сельсовет,2013,88.0
01613461,Новозыряновский сельсовет,2013,45.0
01613464,Новокопыловский сельсовет,2013,67.0
01613468,Новомоношкинский сельсовет,2013,39.0
01613474,Смазневский сельсовет,2013,86.0
01613478,Сосновский сельсовет,2013,26.0
01613487,Стародраченинский сельсовет,2013,52.0
01613488,Тягунский сельсовет,2013,46.0
01613492,Хмелевский сельсовет,2013,57.0
01613494,Шпагинский сельсовет,2013,27.0
01613496,Яновский сельсовет,2013,27.0
01614000,Змеиногорский муниципальный район,2013,543.0
01614101,город Змеиногорск,2013,245.0
01614422,Барановский сельсовет,2013,69.0
01614433,Карамышевский сельсовет,2013,59.0
01614444,Кузьминский сельсовет,2013,28.0
01614450,Никольский сельсовет,2013,10.0
01614455,Октябрьский сельсовет,2013,33.0
01614466,Саввушинский сельсовет,2013,37.0
01614477,Таловский сельсовет,2013,25.0
01614488,Черепановский сельсовет,2013,37.0
01615000,Калманский муниципальный район,2013,675.0
01615409,Бурановский сельсовет,2013,72.0
01615414,Зимарёвский сельсовет,2013,56.0
01615425,Калистратихинский сельсовет,2013,2.0
01615427,Калманский сельсовет,2013,31.0
01615435,Кубанский сельсовет,2013,26.0
01615450,Шиловский сельсовет,2013,44.0
01615457,Новоромановский сельсовет,2013,311.0
01615468,Обской сельсовет,2013,84.0
01615480,Усть-Алейский сельсовет,2013,28.0
01615485,Шадринский сельсовет,2013,21.0
01616000,Каменский муниципальный район,2013,269.0
01616404,Аллакский сельсовет,2013,12.0
01616413,Верх-Аллакский сельсовет,2013,16.0
01616417,Гоноховский сельсовет,2013,25.0
01616437,Корниловский сельсовет,2013,21.0
01616461,Новоярковский сельсовет,2013,37.0
01616468,Плотниковский сельсовет,2013,20.0
01616473,Попереченский сельсовет,2013,27.0
01616475,Пригородный сельсовет,2013,12.0
01616482,Рыбинский сельсовет,2013,20.0
01616486,Столбовский сельсовет,2013,24.0
01616494,Толстовский сельсовет,2013,37.0
