name,popsize,avgemployers,unemployed,avgsalary,livarea,beforeschool,docsperpop,bedsperpop,cliniccap,invests,funds,companies,factoriescap,conscap,consnewareas,consnewapt,retailturnover,foodservturnover,saldo
Сочи1),532.7,102.5,965,52605.5,22,20.2,61.2,69.6,204.1,19.4,38.4,17178,27959.9,13575.8,607.5,6090,150647.7,12218.2,2019
Астрахань,529.8,115.9,1906,39924.8,25.5,28.2,92.6,128.1,294.8,5.8,38.3,10241,363257.00000000006,4171.9,119,1794,44601.6,920,-4403
Астрахань,524.4,114.8,14684,42070.6,26.1,28.4,95.2,129.1,295,8.7,42.9,9360,273406.2,4701,141.56),1744,51497.1,834.4,-3796
Астрахань,518.7,110.5,2834,45697,25.5,28.5,92,126.9,305.7,10,47.8,8854,413882.4,6352.8,242.26),2539,60826.9,1048.8,-2401
Волгоград1),1009.0,238.2,2247,38841.6,25,45.7,74,119,333,22,58,21885,691462.2999999999,15339.9,411.7,6659,130888.2,3919.3,-530
Волгоград1),1004.8,236.6,13269,41203.0,25.1,46.2,75,117,341,24.7,59.6,20062,551195.0,14951.3,442.8,7562,147201.8,3428.1,3391
Волгоград1),1001.2,234.2,1706,44800.7,25.7,47.6,76,116,344,19.9,62.3,18899,344637.6,19636.6,450.1,7638,180962.0,5641.9,7033
Волжский1),323.9,59.3,861,36638.7,20.2,14.7,38,65,208,6,40,5036,199016.0,1007.4,67.9,1258,27576.3,206.8,1619
Волжский1),323.9,59.1,4029,39235.7,20.5,15.2,38,62,201,9.9,42,4691,185619.6,1101.7,42.8,699,31315.1,217.8,2075
Волжский1),321.4,57.2,926,42953.0,20.8,15.3,36,70,200,8.5,42.6,4521,205556.80000000002,1403.9,64.6,1080,36448.8,321,746
Камышин1),109.9,17.9,…,28795.5,25.6,6,33,103,337,23.7,57.8,1038,14916.099999999999,42.5,8.2,102,8707.7,186.9,327
Камышин1),108.7,17.7,…,31832.1,26.1,6.1,33,105,342,17,59.5,982,15447.400000000001,36.7,11.4,67,9593.2,206.6,-57
Камышин1),106.9,17.8,…,33684.3,26.6,5.7,31,107,339,15.5,53.5,966,18591.3,30,9.9,136,11131.1,329.3,-394
Белгород,394.1,104.7,1243,40032.3,25.3,17.4,79.4,142.7,331.4,25.7,57.8,17737,99159.5,9836.2,128.8,1940,45773.7,999.1,2444
Белгород,391.7,104.2,3018,43109.9,25.8,17.7,79.4,134.3,335.3,20,56.4,16188,104711.5,9850.8,142.9,2300,50249.8,727.6,-618
Белгород,391.8,103.3,1006,47452.4,26.2,17.25),83.2,139.2,351.8,34.5,57.8,14243,122665.0,10219.9,133.4,1363,62330.4,1551.1,2828
СтарыйОскол,223.9,63.9,5223),40902.7,28.3,11.9,38.83),50.53),219.73),6.03),50.7,5178,255577.0,5477.43),126.6,1255,24468.7,745.7,672
СтарыйОскол,223.7,62.2,14283),44351.8,28.9,12.2,38.13),58.33),213.53),6.63),52.6,4537,262957.7,5806.73),124.5,1137,27138.2,738.5,964
СтарыйОскол,222.6,61.5,7693),48849.9,30,12.35),38.33),58.13),240.83),8.63),54.6,4125,416880.8,4932.43),131.4,1270,32525.9,1297.7,808
Брянск,420.4,117.1,1075,36447.5,30.4,20.2,70,131.6,354.5,32.3,53,10745,119251.2,3041.9,216.3,3621,48233.3,1039.0,-877
Брянск,417.1,115.2,4258,38825.6,31.1,20.9,72.4,131.6,368.6,40.3,53.7,9810,116332.6,3354.4,187.2,3109,53833.5,961,54
Брянск,413.4,114.3,1127,42430.2,32,22.4,69.9,127.7,359.1,39.1,56.7,9181,152890.7,3496.1,241.9,3643,67878.4,1257.2,1120
Владимир1),359.4,101.5,1640,39432.8,26.8,19.3,63.6,143.8,353,33.1,51.9,12685,109968.9,2695.3,187,3155,49360.9,1503.3,313
Владимир1),354.7,102.9,6637,41743.4,28.3,19.9,66.1,147.6,354,40.8,58.6,11412,119702.59999999999,1944.9,200.7,3516,56706.4,1356.9,-2209
Владимир1),350.9,99.5,1419,46453.2,28.5,20.1,68.4,147.1,369.3,21.4,59.5,10644,139400.7,3135.6,157.8,2213,65199.3,2048.6,-526
Ковров,135.7,41.1,343,41369.3,27.1,8.8,42.8,75.7,508,25.2,49,2634,65664.6,859.3,39.9,413,10648.3,154.3,627
Ковров,134.1,40.9,1698,42681.1,27.6,8.4,42.4,76.2,509.9,17,50,2472,63122.3,640.5,25.3,190,11940.7,155.6,-215
Ковров,132.4,41.6,358,46467.1,28.2,8,41.9,81.3,515.8,7.6,49.6,2284,80683.09999999999,2470,28.2,320,14158.2,448.2,97
Муром1),115.6,28.5,896,31801.3,26.7,7.2,39.3,72.7,487.4,2.4,49.4,1693,41065.600000000006,523.5,37.9,361,9207.6,70.6,-398
Муром1),114.1,28.4,3076,35541.6,27.5,7,38.7,67.7,476.6,2.9,47.5,1594,41154.7,623.7,42.2,577,10166.4,245,-247
Муром1),112.4,29.5,730,39198.7,27.2,6.5,45.9,88.5,547.8,10.1,44.5,1542,68790.70000000001,539.7,43.7,573,11747.9,234.3,-217
Воронеж,1058.3,264.9,4156,41968.6,29.4,53.1,87.3,113.2,297.7,37.3,52.1,37284,208660.80000000002,17291.1,1216.8,18936,136611.6,3084.8,6475
Воронеж,1050.6,265.7,18573,45006.8,30.4,52.7,86.2,112.8,298.7,43.1,49.6,34480,242462.6,18851.2,1047.1,14010,151484.7,3550.5,-2198
Воронеж,1048.7,266.4,5647,49745.6,31.2,49.2,88.6,110.9,306.4,30.6,53,32479,280825.39999999997,18172.1,955.3,14596,185762.5,4592.2,7693
