name,year,popsize,avgemployers,unemployed,avgsalary,livarea,beforeschool,docsperpop,bedsperpop,cliniccap,invests,funds,companies,factoriescap,conscap,consnewareas,consnewapt,retailturnover,foodservturnover,saldo
Томск,2020,589.7,135.6,15649,54711.0,24.7,30,79.1,127,279.6,22.6,63.4,20549,137138.80000000002,9672.7,153.7,2296,74573.4,1046.1,-6172
Томск,2021,591.6,134.4,2316,59244.2,24.9,30.5,81.1,127.3,283.5,26.1,67.9,19063,172359.40000000002,6730.5,166.6,1929,82432.1,1422.8,4939
Улан-Удэ,2019,439.1,94.2,2403,43696.0,20.4,19.3,58.9,101.6,241.3,47.1,46.1,13094,66567.5,1756.9,147.5,2080,20053.2,525.9,2463
Улан-Удэ,2020,437.5,94.2,11995,46438.1,20.8,25.5,59.1,105.2,244.7,49.8,42.9,13927,88282.7,2318.8,150.3,2494,21564.2,752.2,-2256
Улан-Удэ,2021,436.4,92.3,1626,50666.7,21.3,26.7,58.2,99.5,245.8,30.9,43.1,13765,102923.7,2116.5,191.4,2482,22965.9,1010.6,-786
Якутск,2019,323,82.2,1217,77492.6,21.4,15363,105.5,124,245,38.8,45.5,12652,67869.8,5166.3,350.1,6634,26266.5,825.7,1617
Якутск,2020,330.6,81.9,11490,83684.5,21.7,15434,102.4,119,219,44.4,46.5,11639,56083.1,4980.4,276.5,5059,34288.2,787.7,5595
Якутск,2021,341.2,82.9,1924,88171.6,23.1,20914,101.6,113,214,35.7,44.8,11273,66222.9,5041.1,308,4230,48952.8,1143.2,9144
Чита,2019,351.8,90.4,788,49847.2,21.3,15.7,107.9,183,241.6,22.1,40.3,7618,21515.199999999997,3458.2,82.2,1266,16291.4,663.2,1338
Чита,2020,350.9,90,9938,53087.3,21.6,16.4,112.4,186.6,239.4,30.8,40.6,7416,21415.6,3501.6,63.7,907,21131.7,1523.5,-657
Чита,2021,350,91.3,1700,58673.7,22,17.6,109.1,184,240,17.2,36.5,7492,23996.199999999997,3966.9,111.6,1676,26804.9,1945.6,389
Петропавловск-Камчатский,2019,179.6,55,780,92571.5,25.6,10.5,60.9,128.6,298.9,41.1,34.2,6590,87567.3,1586.1,12.4,126,18320.4,1518.0,-1699
Петропавловск-Камчатский,2020,179.4,55.5,1782,100307.5,25.7,10.3,60.7,133.9,299.8,33.6,39.9,6188,87243.5,1458.9,26.9,373,19612.5,554.3,329
Петропавловск-Камчатский,2021,181.3,56.2,962,107551.8,25.4,10.3,64.4,132.6,344.8,40.7,38.1,5861,93372.9,4540.3,10.7,80,25862.9,1361.4,2464
Владивосток,2019,634.7,171.4,612,63168.5,22.7,27.2,94.9,147.4,286.6,27.7,45.3,35905,142187.0,3638.0,229.9,3701,85579.7,831.1,2891
Владивосток,2020,628.6,171.7,3237,67381.8,23.3,28,94.7,145.1,278.6,27.2,45.3,34306,148789.80000000002,6808.8,310.5,5695,96802.7,1097.8,-2862
Владивосток,2021,629,168.6,1216,75307.2,24,29.3,94.8,141.6,289.3,27.8,46.8,31956,186385.3,10131.1,453.9,7078,105909.4,2818.0,3885
Артем,2019,115.1,19,164,50487.0,22.3,5.8,34.2,77,182.2,21.3,36.2,2419,9179.000000000002,2186.3,68.3,720,2739.6,1182.4,-511
Артем,2020,114.3,19.1,367,51568.4,24.4,5.9,33.3,77.1,181.5,15.3,39,2272,9878.800000000001,1618.3,74.9,799,6316.4,730.8,-197
Артем,2021,113.7,19,260,56878.2,23.3,5.7,31.9,77,179.2,20.9,40.3,2196,11409.0,2363.7,82.2,861,9083.9,1053.1,235
Находка,2019,146,33.9,410,55629.7,25.4,8.8,39.7,58.6,275.6,4.6,53.4,4237,16329.699999999999,5458.3,48.8,524,8897.7,23.5,-1673
Находка,2020,143.4,33.8,890,59704.1,25.9,8.7,38.6,58,280.4,5.3,53.1,4035,17559.7,3158.6,32.2,425,8390.8,17.1,-1593
