oktmo,year,name,clust,saldo,popsize,avgemployers,avgsalary,shoparea,foodseats,retailturnover,livarea,sportsvenue,servicesnum,roadslen,livestock,harvest,agrprod,hospitals,beforeschool,factoriescap
1512000,2022,Залесовский муниципальный округ,2,-0.1289682539682539,0.0866798009817344,0.200097982291302,0.3133108421202185,0.4879735027881058,0.229922279262948,0.2025414949222392,0.4613143412107478,0.2826665631642091,0.4598242409684422,0.3542163769163562,0.0417162284848431,0.1393177041291975,0.1061957064189127,0.3237229370521612,0.3591377407092068,0.0106595318766634
1602000,2014,Алтайский муниципальный район,3,0.2172619047619047,0.1732994957758707,0.2801127464475794,0.3331215790255639,0.3233049987704431,0.6039714807541313,0.1852245251476114,0.3366785367432826,0.4827688319801391,0.3497792899193667,0.3932860002143885,0.1636898706951702,0.2811292688380438,0.1422276204905141,0.2125168599946048,0.3592623019511191,0.0344074007733313
1602000,2015,Алтайский муниципальный район,3,-0.052579365079365,0.1747821150699569,0.2526454043946319,0.2987331974841441,0.3558882884377624,0.6451442551408524,0.154703326725363,0.3431531239883457,0.4718354673125824,0.3848190464524046,0.3899498842063034,0.1562234199734673,0.2739822156884772,0.142180706116668,0.2107141492491689,0.3612950424035965,0.03147843750164
1602000,2016,Алтайский муниципальный район,5,-0.0138888888888888,0.1742411593815741,0.2508599550896068,0.297685019964851,0.3580849086703952,0.6750970732037265,0.1753115763200784,0.3496277112334089,0.3806981040181904,0.352654555497937,0.3911605373538968,0.1604199687084268,0.3259634833578623,0.1470279092070665,0.2013031812955155,0.3366368823506244,0.0327217983015968
1602000,2017,Алтайский муниципальный район,5,-0.0416666666666666,0.1737870237419441,0.2456803967934748,0.3035070914580576,0.373225258958053,0.6091750970677389,0.1988255409791715,0.3561022984784719,0.3816929342031583,0.3870224911500223,0.290948166519618,0.1640325702814337,0.2860867919594691,0.1296669935550291,0.1917377603566213,0.3537462211282285,0.0312191234500445
1602000,2018,Алтайский муниципальный район,5,0.0694444444444444,0.172878752462684,0.2238128468994325,0.335329472468482,0.3301996529025227,0.7753290306875827,0.182948064286267,0.3625768857235351,0.390611756928441,0.3074021387895342,0.3073087150083292,0.1548658884597527,0.2726017576026284,0.126989826185481,0.1927451131885961,0.3353621543568368,0.0378741514927178
1602000,2019,Алтайский муниципальный район,5,0.1507936507936507,0.1726984338998898,0.2139804553746664,0.3503332916678814,0.3447803813375454,0.777006248930923,0.2434411860720536,0.3690514729685982,0.2456848839295345,0.2644495431104883,0.3076295833831783,0.1527783239604826,0.2898601193588276,0.1322673050952189,0.1929463629684055,0.3357123139982628,0.0257332610409544
1602000,2020,Алтайский муниципальный район,5,0.3869047619047619,0.1732327111229839,0.2178058619492554,0.3592741514438589,0.3518468948410383,0.7650948094035654,0.2654886531331902,0.3722887665911298,0.2449271526864503,0.2444605613169359,0.3066808048384906,0.1501035006485745,0.258755045315951,0.1363205644100714,0.1923512857087782,0.3268376445502003,0.0243761428304845
1602000,2021,Алтайский муниципальный район,5,0.3234126984126984,0.1746619026947607,0.209614561533727,0.343241310941365,0.3598279046902621,0.4512683529178067,0.2574010495314606,0.3771447070249271,0.242923007438299,0.2424602340075708,0.3052605545471225,0.1495559883849303,0.3538264179576864,0.1475732310533357,0.1706955225021985,0.3253594314440357,0.0238605109105304
1602000,2022,Алтайский муниципальный район,5,0.2490079365079365,0.1750425752162153,0.2037416438898267,0.316837991784578,0.3403476762635287,0.4545672547687615,0.2474120307747235,0.3868565878925218,0.2492227325276182,0.2656518616603451,0.3038878874892611,0.1455079859488401,0.3211088464582883,0.1311553580434095,0.1502861503243037,0.3168936339131032,0.0334571543115768
1603000,2014,Баевский муниципальный район,3,-0.179563492063492,0.066424015761178,0.284909204493346,0.3246130158580226,0.3392734803917444,0.0744451025494629,0.0817034415054814,0.4273227581741664,0.5128120421705783,0.687552858967838,0.4806630647671434,0.2568052026422885,0.1537725229179781,0.2004359345260249,0.3432334606877136,0.298807270659653,0.0336946878908651
1603000,2015,Баевский муниципальный район,3,-0.1547619047619047,0.0647677563695862,0.275724702389329,0.2956399709441096,0.3156703615937896,0.0763488337757226,0.0876885621685789,0.4370346390417611,0.4336581296507922,0.705135155216964,0.4929547166605494,0.2427106270508488,0.1154031833587438,0.3157559778101068,0.2978552278820375,0.3064484547309661,0.0200340375345493
1603000,2016,Баевский муниципальный район,3,-0.1081349206349206,0.0635188833606037,0.2347028763612617,0.3055160897172599,0.3238262962041826,0.077849962144565,0.0934739627797387,0.4418905794755584,0.4421844749609276,0.5882720163031041,0.5026469185336987,0.2350352168548587,0.1522099592735558,0.3784637801695293,0.3037114919566817,0.3782576054405752,0.0138984842236547
1603000,2017,Баевский муниципальный район,2,-0.0625,0.0625237920325909,0.2276959070589464,0.3104163259653245,0.346086399616798,0.0239663562550399,0.1070794072920673,0.4483651667206215,0.3154112047904422,0.5179499886901995,0.510646746653921,0.233488575331423,0.1924800314262068,0.2870167247549706,0.2524460585345012,0.3700761593602196,0.0119023759277664
1603000,2018,Баевский муниципальный район,2,-0.1398809523809523,0.061695662336795,0.2119675877551832,0.35625765937045,0.3411273051010209,0.0340032732370164,0.0942100669163547,0.459695694399482,0.3487035406225023,0.4306890974618901,0.5175010654009534,0.2263978616693543,0.1302166738385477,0.2864701375545664,0.2558345962329508,0.375890224190564,0.0187705423389591
