0-4_male,5-9_male,10-14_male,15-19_male,20-24_male,25-29_male,30-34_male,35-39_male,40-44_male,45-49_male,50-54_male,55-59_male,60-64_male,65-69_male,0-4_female,5-9_female,10-14_female,15-19_female,20-24_female,25-29_female,30-34_female,35-39_female,40-44_female,45-49_female,50-54_female,55-59_female,60-64_female,65-69_female,risk
0.05542,0.07965,0.07916,0.05978,0.0378,0.05905,0.0807,0.07355,0.0711,0.075,0.11456,0.0708,0.0855,0.05786,0.0472,0.0692,0.0678,0.05133,0.0538,0.05206,0.0528,0.0739,0.07587,0.06964,0.1267,0.08014,0.1008,0.0787,0.0
0.0647,0.0725,0.0649,0.0508,0.0434,0.04025,0.05862,0.0682,0.0696,0.0657,0.1688,0.102,0.07605,0.05453,0.06195,0.06793,0.0644,0.04565,0.032,0.0352,0.05408,0.06866,0.07184,0.06195,0.1742,0.10815,0.0866,0.0674,0.0
0.06104,0.07465,0.06537,0.05215,0.0482,0.03656,0.05966,0.06537,0.06696,0.0701,0.1594,0.1013,0.0794,0.05966,0.05847,0.06793,0.06793,0.04575,0.03815,0.03018,0.0488,0.06396,0.07556,0.06665,0.1666,0.10724,0.09564,0.067,0.0
0.05588,0.0748,0.06445,0.05484,0.06015,0.02977,0.05566,0.0695,0.06384,0.0742,0.1527,0.0975,0.0889,0.0577,0.05267,0.0708,0.0675,0.0509,0.04623,0.02223,0.04446,0.0624,0.08075,0.06824,0.1573,0.10223,0.1041,0.07,0.0
0.05237,0.0739,0.06696,0.05975,0.0629,0.03293,0.0494,0.0657,0.0703,0.0693,0.1472,0.09735,0.09143,0.0606,0.04526,0.07104,0.07,0.05154,0.05377,0.01765,0.0418,0.06354,0.0771,0.07184,0.1538,0.09985,0.1098,0.07306,0.0
0.05017,0.07117,0.07166,0.06024,0.06744,0.0355,0.04535,0.06046,0.07184,0.0703,0.1442,0.0907,0.0957,0.0653,0.03992,0.067,0.0769,0.05463,0.05295,0.02017,0.03635,0.0607,0.0721,0.07837,0.1504,0.0966,0.1113,0.0826,0.0
0.0728,0.0707,0.0656,0.0493,0.03687,0.0482,0.0654,0.06085,0.0654,0.05933,0.1708,0.1001,0.09155,0.04318,0.06976,0.06183,0.05777,0.0366,0.02481,0.04492,0.0616,0.06247,0.0704,0.0599,0.1865,0.1076,0.1029,0.05286,0.0
0.06384,0.0792,0.06616,0.05197,0.0494,0.04077,0.0459,0.06012,0.0655,0.06335,0.1556,0.1004,0.0895,0.06824,0.06805,0.0627,0.05978,0.0461,0.0329,0.02708,0.0553,0.0573,0.0721,0.06113,0.16,0.10187,0.1075,0.0882,0.0
0.0642,0.0777,0.0699,0.05615,0.05048,0.03745,0.04456,0.06232,0.06635,0.0642,0.1465,0.09644,0.08887,0.0749,0.0653,0.06757,0.066,0.04453,0.037,0.0226,0.04703,0.06097,0.0685,0.06647,0.1509,0.0964,0.11005,0.0968,0.0
0.0611,0.07513,0.07513,0.0596,0.05295,0.0367,0.04187,0.06573,0.0643,0.06824,0.1353,0.0857,0.09607,0.0823,0.06122,0.0705,0.0641,0.0536,0.03738,0.01906,0.04074,0.0631,0.06384,0.07385,0.146,0.09576,0.10767,0.10315,0.0
0.05695,0.07855,0.073,0.0572,0.05545,0.0469,0.03662,0.0647,0.06445,0.0715,0.1307,0.0823,0.0958,0.0858,0.0503,0.0794,0.0653,0.05646,0.0402,0.02095,0.0333,0.06088,0.07025,0.0737,0.1403,0.09076,0.1102,0.108,0.0
0.05563,0.08075,0.0753,0.0613,0.05847,0.05072,0.03882,0.05228,0.0735,0.06854,0.1242,0.0745,0.10016,0.0859,0.0503,0.0791,0.0687,0.05432,0.04446,0.0316,0.02805,0.06064,0.06216,0.0811,0.1377,0.0849,0.10815,0.10864,0.0
0.0751,0.0714,0.067,0.05106,0.0492,0.0708,0.07404,0.07104,0.0673,0.06155,0.1597,0.0872,0.06122,0.0334,0.07135,0.06366,0.0572,0.048,0.04855,0.06192,0.0696,0.0756,0.07025,0.0594,0.1661,0.09216,0.07635,0.0399,0.0
0.0745,0.07184,0.06793,0.05118,0.04663,0.0673,0.0694,0.07324,0.06976,0.05884,0.1571,0.08966,0.06198,0.0406,0.069,0.06555,0.05853,0.0463,0.04718,0.05765,0.06714,0.0746,0.07043,0.0606,0.1641,0.0918,0.07825,0.04892,0.0
0.0714,0.07666,0.0693,0.04834,0.04868,0.06396,0.0683,0.07196,0.07196,0.05588,0.1471,0.0882,0.07056,0.04764,0.06854,0.06647,0.06015,0.04492,0.04745,0.05475,0.06137,0.0747,0.0703,0.06256,0.1571,0.09406,0.0797,0.05783,0.0
0.0728,0.08124,0.0665,0.05316,0.04758,0.05753,0.0663,0.0722,0.0722,0.0572,0.1428,0.08655,0.074,0.04996,0.06683,0.0679,0.0628,0.04694,0.04718,0.05188,0.06036,0.0719,0.07263,0.06396,0.1486,0.09045,0.0817,0.06696,0.0
0.0693,0.0811,0.0674,0.0582,0.0461,0.05142,0.06915,0.07404,0.07086,0.06097,0.1381,0.08594,0.0768,0.0506,0.06152,0.07153,0.0644,0.04782,0.0476,0.04498,0.05905,0.0704,0.07477,0.06775,0.1432,0.0906,0.0874,0.06915,0.0
0.0679,0.0779,0.0723,0.05948,0.04727,0.04962,0.0669,0.0726,0.0716,0.0674,0.133,0.0826,0.07935,0.0521,0.0585,0.0714,0.06586,0.05038,0.04758,0.04257,0.05573,0.0683,0.077,0.071,0.1389,0.09155,0.08936,0.0719,0.0
0.06537,0.07715,0.075,0.0588,0.05078,0.04865,0.066,0.0691,0.07477,0.07275,0.1268,0.07605,0.08307,0.05566,0.05493,0.06976,0.0699,0.05228,0.04642,0.0413,0.05338,0.0676,0.0779,0.0737,0.1372,0.0878,0.0919,0.07587,0.0
0.0634,0.0738,0.0809,0.0607,0.05197,0.0494,0.0639,0.0697,0.07623,0.07367,0.1177,0.0712,0.0839,0.06366,0.05286,0.0696,0.0724,0.057,0.04843,0.04074,0.05112,0.0636,0.0811,0.07465,0.1317,0.081,0.09686,0.0789,0.0
0.0675,0.05627,0.06506,0.0672,0.04904,0.0532,0.06415,0.07275,0.06323,0.0598,0.1663,0.0996,0.0703,0.04562,0.06903,0.06256,0.05548,0.05417,0.03723,0.04932,0.06287,0.0679,0.06903,0.06183,0.1708,0.1045,0.0777,0.0577,0.0
0.0698,0.06046,0.06445,0.06384,0.05612,0.04953,0.06168,0.0681,0.0668,0.05875,0.1561,0.0989,0.0757,0.04984,0.06647,0.06335,0.05667,0.0537,0.04254,0.04074,0.06305,0.0653,0.0684,0.062,0.1676,0.10504,0.07855,0.06647,0.0
0.07263,0.0646,0.06177,0.06158,0.06238,0.04593,0.05835,0.06964,0.067,0.0591,0.1484,0.0978,0.07574,0.05508,0.06714,0.06525,0.05756,0.05338,0.04437,0.0351,0.0598,0.06476,0.06525,0.06537,0.1624,0.1055,0.0837,0.07043,0.0
0.06793,0.06903,0.0611,0.0673,0.05597,0.04977,0.0566,0.071,0.07,0.0576,0.1421,0.09106,0.08295,0.0576,0.06683,0.06866,0.05963,0.05872,0.04724,0.02583,0.0569,0.0645,0.06836,0.0639,0.154,0.1009,0.094,0.0705,0.0
0.0662,0.07385,0.06036,0.07544,0.04803,0.05096,0.05582,0.0644,0.07367,0.06085,0.1381,0.08905,0.0868,0.05646,0.06354,0.0717,0.06525,0.05835,0.04843,0.02658,0.05063,0.06433,0.0687,0.06714,0.1506,0.09467,0.09906,0.0709,0.0
0.06186,0.07587,0.06287,0.07556,0.05206,0.0507,0.05374,0.06305,0.07556,0.06168,0.1283,0.0808,0.096,0.062,0.05988,0.0734,0.0695,0.06085,0.04318,0.03043,0.04678,0.06366,0.06934,0.0733,0.1405,0.0839,0.10876,0.0764,0.0
0.05576,0.07965,0.06525,0.0702,0.04712,0.06015,0.0524,0.06137,0.0735,0.067,0.1248,0.0735,0.10004,0.0693,0.05402,0.07544,0.0724,0.06064,0.04315,0.03552,0.0384,0.06525,0.0698,0.0756,0.1359,0.08203,0.1106,0.08124,0.0
0.0743,0.05612,0.06125,0.04346,0.0332,0.05374,0.0681,0.06946,0.0633,0.06058,0.1909,0.1088,0.0828,0.03387,0.05878,0.05814,0.0484,0.03735,0.02274,0.05457,0.05975,0.0669,0.05945,0.0672,0.204,0.11206,0.09973,0.051,0.0
0.07227,0.06793,0.0575,0.04675,0.0343,0.04605,0.05515,0.0716,0.0686,0.05682,0.161,0.10626,0.0918,0.0639,0.0653,0.05615,0.0552,0.03943,0.02429,0.0328,0.0574,0.0593,0.0675,0.05585,0.1802,0.1205,0.10187,0.0842,0.0
0.0629,0.0792,0.0578,0.05133,0.0398,0.04114,0.05713,0.0697,0.0663,0.06018,0.1499,0.0979,0.0993,0.0673,0.0599,0.06433,0.05768,0.0412,0.0263,0.02599,0.05927,0.0602,0.0672,0.058,0.1718,0.11505,0.1081,0.08496,0.0
0.05884,0.0827,0.0602,0.04984,0.0429,0.0346,0.05087,0.07025,0.0699,0.06125,0.1454,0.09686,0.1028,0.0737,0.0568,0.06107,0.06137,0.04376,0.03363,0.02155,0.05386,0.06204,0.0689,0.05878,0.1652,0.1091,0.11005,0.09406,0.0
0.06027,0.07733,0.06775,0.05035,0.0429,0.0397,0.04398,0.0713,0.067,0.06775,0.1404,0.094,0.0982,0.0791,0.0503,0.0635,0.0679,0.04355,0.03513,0.01924,0.0466,0.06177,0.0672,0.07025,0.158,0.09924,0.1158,0.1016,0.0
0.05255,0.07666,0.073,0.0511,0.0482,0.03029,0.05328,0.06824,0.0679,0.07043,0.1313,0.0832,0.10913,0.08466,0.04385,0.06995,0.06995,0.04385,0.04004,0.02193,0.03793,0.06232,0.0703,0.0731,0.1459,0.0926,0.1239,0.10443,0.0
0.0726,0.06696,0.06433,0.05402,0.02763,0.05185,0.06537,0.07166,0.07117,0.06027,0.1915,0.103,0.0676,0.03207,0.05966,0.0623,0.05475,0.0462,0.02048,0.0518,0.0706,0.0774,0.06995,0.06186,0.1957,0.1055,0.07904,0.04468,0.0
0.0735,0.0652,0.06586,0.05557,0.0292,0.04742,0.06,0.0705,0.0714,0.0602,0.1831,0.1044,0.0713,0.04233,0.05954,0.0604,0.05716,0.04794,0.0207,0.04358,0.06885,0.073,0.0737,0.05887,0.1932,0.10803,0.0797,0.0553,0.0
0.0699,0.06836,0.06247,0.0546,0.0342,0.04288,0.0554,0.06824,0.0709,0.06146,0.1772,0.1112,0.07385,0.0492,0.05905,0.05627,0.057,0.0498,0.02748,0.0344,0.0625,0.0721,0.07666,0.05972,0.185,0.1123,0.0854,0.0623,0.0
0.06683,0.07275,0.06323,0.0543,0.04355,0.03436,0.05518,0.0666,0.0686,0.0644,0.1676,0.11273,0.0778,0.05206,0.05725,0.05972,0.05725,0.04767,0.03485,0.02647,0.0566,0.0719,0.07684,0.0638,0.1758,0.1131,0.08887,0.06995,0.0
0.06305,0.07404,0.0651,0.05515,0.05145,0.03152,0.0524,0.06396,0.0704,0.06683,0.1581,0.1072,0.0859,0.05502,0.05304,0.06256,0.05972,0.047,0.04327,0.0172,0.05698,0.06946,0.0767,0.06946,0.1659,0.11035,0.0965,0.0719,0.0
0.05685,0.0747,0.06964,0.0571,0.05508,0.03134,0.04858,0.0647,0.0695,0.0705,0.1483,0.0985,0.09814,0.0571,0.04984,0.06058,0.06183,0.04712,0.04657,0.014465,0.0493,0.0682,0.07935,0.0719,0.159,0.11066,0.1056,0.07574,0.0
