oktmo,year,name,clust,saldo,popsize,avgemployers,avgsalary,shoparea,foodseats,retailturnover,livarea,sportsvenue,servicesnum,roadslen,livestock,harvest,agrprod,hospitals,beforeschool,factoriescap
19628000,2016,Кирилловский муниципальный район,2,0.0837378640776699,0.1328834172532272,0.6189287632782593,0.4703209020398596,0.3575035145531987,0.4091501515159382,0.5460952236376878,0.6302652106084243,0.1555126287416337,0.3125872533027671,0.6499399880667158,0.0440714271129639,0.1102137916341117,0.0914179072258205,0.3125777013622537,0.4271379348052437,0.0779884043367229
19628000,2017,Кирилловский муниципальный район,2,0.0449029126213592,0.1324879831984463,0.5927375620029162,0.5019971858356066,0.368729150043498,0.3948856225494347,0.5325063755268072,0.6365054602184087,0.1559767839643819,0.3224779465410891,0.6518798500726191,0.0439132254761914,0.1121428156200532,0.080715091909368,0.348345161504278,0.4258163630416319,0.0802898547099256
19628000,2018,Кирилловский муниципальный район,2,-0.1043689320388349,0.1314071301153788,0.5747455776632138,0.5206384689298019,0.3823410751706733,0.3872044863678946,0.511256704383633,0.6458658346333853,0.1689085966918267,0.3160989998959773,0.6582875025130164,0.0428523240898688,0.1031356892214659,0.0909078056142367,0.3512103784940484,0.408376417627992,0.0920851846033874
19628000,2019,Кирилловский муниципальный район,2,0.0570388349514563,0.1290521006335732,0.5850505773508498,0.5429301934398654,0.4368954104093426,0.3704234508427217,0.5161393954935352,0.6474258970358815,0.1779216768676884,0.3402598090395993,0.6776726146128959,0.0431113247620132,0.1008397072579052,0.0963967020944542,0.3576195015661174,0.4104976072529327,0.0931727028535054
19628000,2020,Кирилловский муниципальный район,2,-0.0667475728155339,0.1284369809928031,0.5696145613207224,0.5599433553457127,0.4641744413094251,0.4233147640410521,0.5464700997872676,0.6614664586583464,0.1787737921783575,0.3418894058261874,0.7026469773790818,0.041222356920659,0.0922918697707482,0.0933833889976719,0.3593322386425834,0.385680241834596,0.093656731765175
19628000,2021,Кирилловский муниципальный район,2,-0.0327669902912621,0.1264158736017012,0.5594431892081397,0.5094323095047208,0.4858037634681563,0.4300826213835686,0.6025294928983471,0.6786271450858035,0.1816319857138101,0.356743438837141,0.7122082934110574,0.0397224371251129,0.0886839707192231,0.0932008075748362,0.3650771583483942,0.3864040960351753,0.0842506165431094
19630000,2014,Кичменгско-Городецкий муниципальный район,2,-0.2803398058252427,0.1485865429397446,0.3936413152504081,0.4221012544493532,0.5739622274195091,0.0911322488795818,0.2275477982243222,0.6973478939157567,0.1133224326739906,0.1916927868787825,0.6288479435819138,0.0357117569385962,0.058397994304565,0.0643738595650264,0.4348453486309066,0.4107041813530024,0.0282353336162613
19630000,2015,Кичменгско-Городецкий муниципальный район,2,-0.1286407766990291,0.1460118278719496,0.3876187919763803,0.4013683984364348,0.4642901686886782,0.177047638215093,0.2471888655965703,0.7067082683307333,0.1100788651020228,0.19507302198684,0.4669750383054163,0.0413886715735965,0.0671703109163122,0.0614154113833404,0.4267091959557053,0.4688350002826244,0.0274786908172536
19630000,2016,Кичменгско-Городецкий муниципальный район,2,-0.2220873786407767,0.1439995079042874,0.3649381253364239,0.4018804080772415,0.5062336380595096,0.1795217890145838,0.1960052744037377,0.7347893915756631,0.1063020583990916,0.1895574405185682,0.4776852027041057,0.0428107339378671,0.0713830087754746,0.0591960472374833,0.4166473424055654,0.5140865555833717,0.027596517028643
19630000,2017,Кичменгско-Городецкий муниципальный район,2,-0.2087378640776699,0.1414423676833715,0.3588223325921249,0.4123627082025847,0.5253860781092015,0.1827673680779066,0.2298244551854235,0.7581903276131046,0.1082238960602581,0.2097657112878286,0.4863212858295341,0.0393586575797822,0.0777320546108736,0.0530079974355307,0.4241799204771372,0.4601470072156569,0.0281475180972092
