oktmo,name,year,inflow
1612481,Черёмушкинский сельсовет,2017,41.0
1612492,Шатуновский сельсовет,2017,34.0
1613000,Заринский муниципальный район,2017,477.0
1613406,Аламбайский сельсовет,2017,12.0
1613420,Верх-Камышенский сельсовет,2017,31.0
1613425,Воскресенский сельсовет,2017,6.0
1613428,Голухинский сельсовет,2017,39.0
1613430,Гоношихинский сельсовет,2017,36.0
1613434,Гришинский сельсовет,2017,8.0
1613436,Жуланихинский сельсовет,2017,16.0
1613438,Зыряновский сельсовет,2017,13.0
1613450,Комарский сельсовет,2017,23.0
1613460,Новодраченинский сельсовет,2017,23.0
1613461,Новозыряновский сельсовет,2017,17.0
1613464,Новокопыловский сельсовет,2017,29.0
1613468,Новомоношкинский сельсовет,2017,46.0
1613474,Смазневский сельсовет,2017,28.0
1613478,Сосновский сельсовет,2017,17.0
1613487,Стародраченинский сельсовет,2017,32.0
1613488,Тягунский сельсовет,2017,36.0
1613492,Хмелевский сельсовет,2017,14.0
1613494,Шпагинский сельсовет,2017,29.0
1613496,Яновский сельсовет,2017,22.0
1614000,Змеиногорский муниципальный район,2017,716.0
1614101,город Змеиногорск,2017,419.0
1614422,Барановский сельсовет,2017,77.0
1614433,Карамышевский сельсовет,2017,61.0
1614444,Кузьминский сельсовет,2017,27.0
1614450,Никольский сельсовет,2017,14.0
1614455,Октябрьский сельсовет,2017,26.0
1614466,Саввушинский сельсовет,2017,43.0
1614477,Таловский сельсовет,2017,22.0
1614488,Черепановский сельсовет,2017,27.0
1615000,Калманский муниципальный район,2017,328.0
1615409,Бурановский сельсовет,2017,16.0
1615414,Зимарёвский сельсовет,2017,24.0
1615425,Калистратихинский сельсовет,2017,18.0
1615427,Калманский сельсовет,2017,91.0
1615435,Кубанский сельсовет,2017,16.0
1615450,Шиловский сельсовет,2017,19.0
1615457,Новоромановский сельсовет,2017,90.0
1615468,Обской сельсовет,2017,28.0
1615480,Усть-Алейский сельсовет,2017,5.0
1615485,Шадринский сельсовет,2017,21.0
1616000,Каменский муниципальный район,2017,875.0
1616101,г Камень-на-Оби,2017,694.0
1616404,Аллакский сельсовет,2017,20.0
1616413,Верх-Аллакский сельсовет,2017,10.0
1616417,Гоноховский сельсовет,2017,15.0
1616437,Корниловский сельсовет,2017,22.0
1616461,Новоярковский сельсовет,2017,26.0
1616468,Плотниковский сельсовет,2017,14.0
