oktmo,name,year,inflow
1604417,Верх-Катунский сельсовет,2020,143.0
1604422,Енисейский сельсовет,2020,28.0
1604424,Заринский сельсовет,2020,53.0
1604434,Калининский сельсовет,2020,26.0
1604437,Лесной сельсовет,2020,52.0
1604455,Малоенисейский сельсовет,2020,77.0
1604459,Малоугреневский сельсовет,2020,67.0
1604464,Новиковский сельсовет,2020,31.0
1604470,Первомайский сельсовет,2020,184.0
1604480,Светлоозёрский сельсовет,2020,49.0
1604483,Сростинский сельсовет,2020,82.0
1604488,Усятский сельсовет,2020,49.0
1604495,Шебалинский сельсовет,2020,43.0
1605000,Благовещенский муниципальный район,2020,959.0
1605151,Благовещенский поссовет,2020,379.0
1605157,Степноозёрский поссовет,2020,164.0
1605406,Алексеевский сельсовет,2020,17.0
1605420,Гляденьский сельсовет,2020,72.0
1605436,Леньковский сельсовет,2020,87.0
1605447,Нижнекучукский сельсовет,2020,30.0
1605452,Николаевский сельсовет,2020,56.0
1605456,Новокулундинский сельсовет,2020,28.0
1605458,Орлеанский сельсовет,2020,27.0
1605461,Суворовский сельсовет,2020,22.0
1605483,Шимолинский сельсовет,2020,29.0
1605494,Яготинский сельсовет,2020,48.0
1606000,Бурлинский муниципальный район,2020,349.0
1606411,Бурлинский сельсовет,2020,146.0
1606422,Михайловский сельсовет,2020,42.0
1606430,Новоандреевский сельсовет,2020,8.0
1606433,Новопесчанский сельсовет,2020,21.0
1606444,Новосельский сельсовет,2020,34.0
1606455,Ореховский сельсовет,2020,23.0
1606466,Партизанский сельсовет,2020,41.0
1606470,Рожковский сельсовет,2020,6.0
1606477,Устьянский сельсовет,2020,28.0
1607000,Быстроистокский муниципальный район,2020,325.0
1607403,Акутихинский сельсовет,2020,45.0
1607405,Быстроистокский сельсовет,2020,139.0
1607411,Верх-Ануйский сельсовет,2020,43.0
1607422,Верх-Озёрнинский сельсовет,2020,14.0
1607433,Новопокровский сельсовет,2020,27.0
1607437,Приобский сельсовет,2020,30.0
1607444,Усть-Ануйский сельсовет,2020,7.0
1607455,Хлеборобный сельсовет,2020,20.0
1608000,Волчихинский муниципальный район,2020,452.0
1608410,Берёзовский сельсовет,2020,9.0
1608414,Бор-Форпостовский сельсовет,2020,17.0
1608421,Волчихинский сельсовет,2020,301.0
1608423,Востровский сельсовет,2020,33.0
1608430,Коминтерновский сельсовет,2020,14.0
1608434,Малышево-Логовской сельсовет,2020,14.0
1608445,Новокормихинский сельсовет,2020,6.0
1608456,Пятковологовской сельсовет,2020,3.0
1608467,Селивёрстовский сельсовет,2020,23.0
1608478,Солоновский сельсовет,2020,15.0
1608489,Усть-Волчихинский сельсовет,2020,17.0
1609000,Егорьевский муниципальный район,2020,278.0
1609411,Кругло-Семенцовский сельсовет,2020,12.0
1609422,Лебяжинский сельсовет,2020,45.0
1609428,Малошелковниковский сельсовет,2020,9.0
1609433,Новоегорьевский сельсовет,2020,120.0
1609444,Первомайский сельсовет,2020,24.0
1609455,Сростинский сельсовет,2020,37.0
