Cohort,Female,Male
0-4,615,628
5-9,645,650
10-14,929,963
15-19,1483,1443
20-24,1568,1681
25-29,1480,1405
30-34,1098,1218
35-39,1164,1249
40-44,1788,1721
45-49,2262,2207
50-54,2078,2160
55-59,1929,1780
60-64,1606,1560
65-69,1533,1171
70-74,2189,1275
75-79,1568,888
80-84 года,572,213
85-89 лет,167,46
90-94 года,140,46
95-99 лет,45,13
100 и более лет,10,1
