Cohort,Female,Male
0-4,817,845
5-9,853,894
10-14,1341,1318
15-19,1427,1561
20-24,1374,1315
25-29,972,1111
30-34,1042,1142
35-39,1705,1646
40-44,2212,2196
45-49,2059,2193
50-54,1926,1823
55-59,1608,1601
60-64,1564,1243
65-69,2303,1423
70-74,2118,1164
75-79,952,327
80-84 года,370,92
85-89 лет,450,139
90-94 года,216,59
95-99 лет,72,11
100 и более лет,7,1
