Cohort,Female,Male
0-4,820,869
5-9,1313,1294
10-14,1369,1512
15-19,1318,1272
20-24,931,1087
25-29,996,1124
30-34,1670,1660
35-39,2202,2253
40-44,2064,2292
45-49,1948,1944
50-54,1642,1761
55-59,1625,1421
60-64,2453,1722
65-69,2353,1529
70-74,1385,545
75-79,669,191
80-84 года,1031,371
85-89 лет,630,203
90-94 года,274,49
95-99 лет,35,6
100 и более лет,2,1
