Cohort,Female,Male
0-4,949,1036
5-9,1352,1361
10-14,1316,1462
15-19,1307,1253
20-24,1147,1333
25-29,1116,1280
30-34,1666,1950
35-39,2193,2339
40-44,2014,2128
45-49,1899,1986
50-54,1604,1688
55-59,1785,1510
60-64,2212,1694
65-69,2049,1365
70-74,1342,657
75-79,591,212
80-84,759,231
85-89,383,73
90-94,134,33
95-99,33,8
100-,3,1
