Cohort,Female,Male
0-4,13068,13795
5-9,12994,13896
10-14,11237,12116
15-19,9525,11009
20-24,18979,18772
25-29,24123,20003
30-34,32959,28900
35-39,33877,32662
40-44,25111,24304
45-49,19334,18346
50-54,16799,15129
55-59,15967,13459
60-64,18362,13855
65-69,15668,10870
70-74,11059,6770
75-79,4886,2392
80-84,4686,1768
85-89,2459,818
90-94,757,203
95-99,146,65
100-,14,4
