Cohort,Female,Male
0-4,520,545
5-9,529,554
10-14,932,1018
15-19,1315,1326
20-24,1284,1430
25-29,1284,1224
30-34,1116,1285
35-39,1085,1224
40-44,1628,1861
45-49,2135,2183
50-54,1940,1932
55-59,1806,1752
60-64,1499,1434
65-69,1628,1198
70-74,1946,1229
75-79,1355,785
80-84,547,248
85-89,145,48
90-94,103,28
95-99,27,4
100-,4,1
