Cohort,Female,Male
0-4,7874,8281
5-9,10655,10772
10-14,15942,16301
15-19,14466,15168
20-24,15112,15501
25-29,13652,14561
30-34,21718,20890
35-39,27418,22500
40-44,36091,30906
45-49,35801,32901
50-54,26259,23836
55-59,19937,17482
60-64,17018,13958
65-69,15875,11737
70-74,17018,10731
75-79,10769,6592
80-84,4612,2649
85-89,1274,604
90-94,659,239
95-99,184,58
100-,28,7
