Cohort,Female,Male
0-4,999,1038
от 5-9,949,1032
от 10-14,1356,1364
15-19,1327,1471
20-24,1317,1258
25-29,1153,1326
30-34,1121,1267
35-39,1662,1903
40-44,2175,2259
45-49,1990,2044
50-54,1869,1881
55-59,1567,1564
60-64,1721,1353
65-69,2090,1437
80-84 года,1885,1108
85-89 лет,536,144
90-94 года,217,36
95-99 лет,60,13
100 и более лет,11,2
