Cohort,Female,Male
0-4,1784,1791
5-9,2213,2395
10-14,2379,2394
15-19,2105,2141
20-24,2385,3009
25-29,2555,2713
30-34,4046,4151
35-39,5061,5228
40-44,4946,5085
45-49,4123,3942
50-54,3875,3760
55-59,3862,3224
60-64,4976,3649
65-69,4742,2979
70-74,3180,1846
75-79,1486,762
80-84,1768,641
85-89,896,274
90-94,343,67
95-99,70,15
100-,8,0
