oktmo,name,regional,national,international,overall
0,Ленобласть,0.0666527484716547,0.5191656732687784,0.10606939548285513,0.6918878172232882
41603000,Бокситогорский муниципальный район,0.23655913978494625,0.1576036866359447,0.33056835637480797,0.7247311827956989
41603101,Бокситогорское,0.14080459770114942,0.2825670498084291,0.26436781609195403,0.6877394636015326
41603102,Пикалёвское,0.25,0.3935483870967742,0.1870967741935484,0.8306451612903226
41603155,Ефимовское,0.38172715894868586,0.15143929912390489,0.18523153942428036,0.7183979974968712
41603412,Большедворское,0.2631578947368421,0.10776942355889724,0.2957393483709273,0.6666666666666666
41603416,Борское,0.26475849731663686,0.1520572450805009,0.26118067978533094,0.6779964221824687
41603434,Климовское,0.30456852791878175,0.17258883248730963,0.233502538071066,0.7106598984771574
41603460,Лидское,0.1873589164785553,0.14672686230248308,0.2618510158013544,0.5959367945823928
41603472,Радогощинское,0.5714285714285714,0.1875,0.0625,0.8214285714285714
41603476,Самойловское,0.22493887530562348,0.27383863080684595,0.28361858190709044,0.7823960880195598
41606000,Волосовский муниципальный район,0.09652638610554443,0.1653306613226453,0.28857715430861725,0.5504342017368069
41606101,Волосовское,0.13249211356466878,0.3911671924290221,0.19400630914826497,0.7176656151419559
41606404,Бегуницкое,0.28604651162790695,0.18372093023255814,0.29069767441860467,0.7604651162790698
41606406,Беседское,0.2727272727272727,0.5454545454545454,0.2727272727272727,1.0909090909090908
41606408,Рабитицкое,0.17985611510791366,0.25539568345323743,0.11510791366906475,0.5503597122302158
41606412,Большеврудское,0.1705685618729097,0.15384615384615385,0.22742474916387959,0.5518394648829431
41606416,Губаницкое,0.19543973941368079,0.20846905537459284,0.28338762214983715,0.6872964169381108
41606418,Изварское,0.19457013574660634,0.3438914027149321,0.13122171945701358,0.669683257918552
41606420,Калитинское,0.13785557986870897,0.2800875273522976,0.24945295404814005,0.6673960612691466
41606424,Каложицкое,0.2613065326633166,0.25125628140703515,0.2613065326633166,0.7738693467336684
41606425,Кикеринское,0.09302325581395349,0.29651162790697677,0.3546511627906977,0.7441860465116279
41606428,Сельцовское,0.13432835820895522,0.33955223880597013,0.17164179104477612,0.6455223880597014
41606430,Клопицкое,0.18095238095238095,0.1523809523809524,0.28095238095238095,0.6142857142857143
41606432,Курское,0.21428571428571427,0.22448979591836735,0.29591836734693877,0.7346938775510203
41606436,Сабское,0.24537037037037038,0.25,0.14351851851851852,0.6388888888888888
41606444,Терпилицкое,0.25742574257425743,0.3069306930693069,0.27722772277227725,0.8415841584158417
41606452,Зимитицкое,0.2032520325203252,0.34146341463414637,0.17073170731707318,0.7154471544715447
41609000,Волховский муниципальный район,0.26046387629965345,0.3268461743535057,0.19221540922420688,0.7795254598773661
41609101,Волховское,0.21860095389507153,0.4753577106518283,0.1669316375198728,0.8608903020667726
41609104,Новоладожское,0.249500998003992,0.39520958083832336,0.1317365269461078,0.7764471057884231
41609108,Сясьстройское,0.3176691729323308,0.3966165413533835,0.07706766917293233,0.7913533834586466
41609403,Вындиноостровское,0.4,0.05,0.05,0.5
41609418,Иссадское,0.4339622641509434,0.25471698113207547,0.03773584905660377,0.7264150943396226
41609427,Колчановское,0.18115942028985507,0.42028985507246375,0.10144927536231885,0.7028985507246377
41609444,Пашское,0.2764976958525346,0.3294930875576037,0.15668202764976957,0.7626728110599079
41609450,Потанинское,0.25,0.46875,0.1875,0.90625
41609453,Бережковское,0.35294117647058826,0.23529411764705882,0.1092436974789916,0.6974789915966386
41609461,Селивановское,0.0547945205479452,0.4794520547945205,0.1095890410958904,0.6438356164383561
41609462,Староладожское,0.2833333333333333,0.23333333333333334,0.05,0.5666666666666667
41609465,Усадищенское,0.3125,0.140625,0.15625,0.609375
41609468,Хваловское,0.3974358974358974,0.28205128205128205,0.01282051282051282,0.6923076923076923
41609471,Кисельнинское,0.17721518987341772,0.10126582278481013,0.31645569620253167,0.5949367088607596
41609480,Свирицкое,0.03125,0.40625,0.09375,0.53125
41612000,Всеволожский муниципальный район,0.04303885480572597,0.5727893660531698,0.07067893660531697,0.6865071574642128
41612101,Всеволожское,0.05239446020357083,0.3615885199399299,0.1599365926914734,0.5739195728349742
41612102,Сертоловское,0.033022533022533024,0.44366744366744365,0.09897047397047397,0.5756604506604507
41612103,Муринское,0.041093067348116394,0.6136757068667051,0.0727062896710906,0.7274750638859121
41612154,Дубровское,0.08450704225352113,0.36971830985915494,0.12535211267605634,0.5795774647887324
41612155,Заневское,0.0516981706801144,0.5860423400402754,0.049549015957896875,0.6872895266782867
41612158,Кузьмоловское,0.048327137546468404,0.3705080545229244,0.13444857496902107,0.5532837670384139
41612163,Морозовское,0.1348148148148148,0.3125925925925926,0.18222222222222223,0.6296296296296295
41612167,Рахьинское,0.15,0.2865853658536585,0.2,0.6365853658536584
41612168,Свердловское,0.03251798561151079,0.46129496402877695,0.17467625899280576,0.6684892086330936
41612175,Токсовское,0.06877950101146325,0.3607552258934592,0.09844908968307485,0.5279838165879973
41612402,Бугровское,0.06610324594929214,0.5447596490283684,0.074931366743823,0.6857942617214836
41612408,Агалатовское,0.05457251529684141,0.4327765834297999,0.057053084173970564,0.5444021829006119
41612412,Заневское,0.0546429768689239,0.6515811822550006,0.02704212761202369,0.7332662867359483
41612416,Колтушское,0.0411942012343907,0.44308884742356824,0.12114252906559494,0.6054255777235539
41612420,Куйвозовское,0.16339869281045752,0.2824981844589688,0.17647058823529413,0.6223674655047204
41612424,Лесколовское,0.08446544595392794,0.35853514471352627,0.12935617247489664,0.5723567631423508
41612428,Муринское,0.055848513902205174,0.6567224721587138,0.047348624529832586,0.7599196105907515
41612442,Романовское,0.06346749226006192,0.36455108359133126,0.1323529411764706,0.5603715170278638
41612448,Щегловское,0.11767279090113736,0.4378827646544182,0.06911636045494313,0.6246719160104988
41612456,Юкковское,0.043407707910750506,0.47545638945233265,0.09290060851926978,0.6117647058823529
