oktmo,name,regional,national,international
0,Ленобласть,0.11047803427600517,0.7102100998219216,0.17931186590207324
41603000,Бокситогорский муниципальный район,0.3264094955489614,0.2174650275540483,0.45612547689699023
41603101,Бокситогорское,0.20473537604456823,0.41086350974930363,0.38440111420612816
41603102,Пикалёвское,0.30097087378640774,0.47378640776699027,0.22524271844660193
41603155,Ефимовское,0.5313588850174216,0.21080139372822299,0.2578397212543554
41603412,Большедворское,0.39473684210526316,0.16165413533834586,0.44360902255639095
41603416,Борское,0.39050131926121373,0.22427440633245382,0.38522427440633245
41603434,Климовское,0.42857142857142855,0.24285714285714285,0.32857142857142857
41603460,Лидское,0.3143939393939394,0.24621212121212122,0.4393939393939394
41603472,Радогощинское,0.6956521739130435,0.22826086956521738,0.07608695652173914
41603476,Самойловское,0.2875,0.35,0.3625
41606000,Волосовский муниципальный район,0.17536407766990292,0.3003640776699029,0.5242718446601942
41606101,Волосовское,0.18461538461538463,0.545054945054945,0.2703296703296703
41606404,Бегуницкое,0.3761467889908257,0.2415902140672783,0.382262996941896
41606406,Беседское,0.25,0.5,0.25
41606408,Рабитицкое,0.32679738562091504,0.46405228758169936,0.20915032679738563
41606412,Большеврудское,0.3090909090909091,0.2787878787878788,0.4121212121212121
41606416,Губаницкое,0.2843601895734597,0.3033175355450237,0.41232227488151657
41606418,Изварское,0.2905405405405405,0.5135135135135135,0.19594594594594594
41606420,Калитинское,0.20655737704918034,0.419672131147541,0.3737704918032787
41606424,Каложицкое,0.33766233766233766,0.3246753246753247,0.33766233766233766
41606425,Кикеринское,0.125,0.3984375,0.4765625
41606428,Сельцовское,0.20809248554913296,0.5260115606936416,0.2658959537572254
41606430,Клопицкое,0.29457364341085274,0.24806201550387597,0.4573643410852713
41606432,Курское,0.2916666666666667,0.3055555555555556,0.4027777777777778
41606436,Сабское,0.38405797101449274,0.391304347826087,0.2246376811594203
41606444,Терпилицкое,0.3058823529411765,0.36470588235294116,0.32941176470588235
41606452,Зимитицкое,0.2840909090909091,0.4772727272727273,0.23863636363636365
41609000,Волховский муниципальный район,0.3341313269493844,0.41928864569083446,0.24658002735978113
41609101,Волховское,0.25392428439519854,0.5521698984302862,0.19390581717451524
41609104,Новоладожское,0.3213367609254499,0.5089974293059126,0.16966580976863754
41609108,Сясьстройское,0.4014251781472684,0.501187648456057,0.09738717339667459
41609403,Вындиноостровское,0.8,0.1,0.1
41609418,Иссадское,0.5974025974025974,0.35064935064935066,0.05194805194805195
41609427,Колчановское,0.25773195876288657,0.5979381443298969,0.14432989690721648
41609444,Пашское,0.36253776435045315,0.43202416918429004,0.2054380664652568
41609450,Потанинское,0.27586206896551724,0.5172413793103449,0.20689655172413793
41609453,Бережковское,0.5060240963855421,0.3373493975903614,0.1566265060240964
41609461,Селивановское,0.0851063829787234,0.7446808510638298,0.1702127659574468
41609462,Староладожское,0.5,0.4117647058823529,0.08823529411764706
41609465,Усадищенское,0.5128205128205128,0.23076923076923078,0.2564102564102564
41609468,Хваловское,0.5740740740740741,0.4074074074074074,0.018518518518518517
41609471,Кисельнинское,0.2978723404255319,0.1702127659574468,0.5319148936170213
41609480,Свирицкое,0.058823529411764705,0.7647058823529411,0.17647058823529413
41612000,Всеволожский муниципальный район,0.06269250704493867,0.8343530869640335,0.10295440599102776
41612101,Всеволожское,0.09129233900276203,0.6300334350923099,0.278674225904928
41612102,Сертоловское,0.05736460266576683,0.7707103087565379,0.17192508857769528
41612103,Муринское,0.05648725212464589,0.8435694050991501,0.09994334277620397
41612154,Дубровское,0.14580801944106925,0.637910085054678,0.21628189550425272
41612155,Заневское,0.07522036736100852,0.8526862658196681,0.07209336681932339
41612158,Кузьмоловское,0.08734602463605823,0.6696528555431132,0.24300111982082867
41612163,Морозовское,0.21411764705882352,0.4964705882352941,0.28941176470588237
41612167,Рахьинское,0.23563218390804597,0.4501915708812261,0.31417624521072796
41612168,Свердловское,0.048643994834266034,0.690055962117951,0.26130004304778304
41612175,Токсовское,0.13026819923371646,0.6832694763729247,0.18646232439335889
41612402,Бугровское,0.09638932496075353,0.7943485086342229,0.10926216640502355
41612408,Агалатовское,0.10024301336573511,0.7949574726609964,0.10479951397326853
41612412,Заневское,0.07451996342578482,0.8886010362694301,0.03687900030478513
41612416,Колтушское,0.06804172593646278,0.7318634423897582,0.20009483167377903
41612420,Куйвозовское,0.26254375729288215,0.4539089848308051,0.28354725787631274
41612424,Лесколовское,0.1475748194014448,0.6264189886480909,0.2260061919504644
41612428,Муринское,0.0734926604391605,0.8641999272109668,0.062307412349872617
41612442,Романовское,0.1132596685082873,0.6505524861878453,0.2361878453038674
41612448,Щегловское,0.18837535014005602,0.7009803921568627,0.11064425770308123
41612456,Юкковское,0.0709549071618037,0.7771883289124668,0.15185676392572944
41612458,Новодевяткинское,0.03507126781695424,0.8443360840210052,0.12059264816204052
41615000,Выборгский муниципальный район,0.4112122936824132,0.40836653386454186,0.18042117245304495
41615101,Выборгское,0.2234733650931139,0.6808142052836725,0.09571242962321351
41615104,Высоцкое,0.1836734693877551,0.7142857142857143,0.10204081632653061
41615106,Каменногорское,0.31496062992125984,0.6141732283464567,0.07086614173228346
41615108,Приморское,0.34140969162995594,0.4911894273127753,0.16740088105726872
41615114,Светогорское,0.2854368932038835,0.6038834951456311,0.11067961165048544
41615158,Рощинское,0.1345646437994723,0.5527704485488126,0.31266490765171506
41615163,Советское,0.34551495016611294,0.5714285714285714,0.08305647840531562
41615436,Красносельское,0.2979591836734694,0.5306122448979592,0.17142857142857143
41615460,Первомайское,0.08130841121495327,0.6766355140186916,0.24205607476635513
41615464,Полянское,0.12285012285012285,0.7452907452907452,0.13185913185913187
41615476,Селезнёвское,0.25853658536585367,0.6682926829268293,0.07317073170731707
41615492,Гончаровское,0.27071823204419887,0.48066298342541436,0.24861878453038674
41618000,Гатчинский муниципальный район,0.1465052575770964,0.525492621719537,0.3280021207033666
41618101,Гатчинское,0.10378474275576582,0.5198107628622117,0.37640449438202245
41618105,Коммунарское,0.09232954545454546,0.6839488636363636,0.2237215909090909
41618154,Вырицкое,0.16372202591283863,0.5936395759717314,0.24263839811542992
41618156,Дружногорское,0.31699346405228757,0.4150326797385621,0.2679738562091503
41618169,Сиверское,0.2585585585585586,0.48558558558558557,0.25585585585585585
41618176,Таицкое,0.17752100840336135,0.5661764705882353,0.25630252100840334
41618404,Пудомягское,0.20218579234972678,0.5901639344262295,0.20765027322404372
41618408,Большеколпанское,0.29043478260869565,0.5669565217391305,0.1426086956521739
41618416,Веревское,0.23555555555555555,0.4,0.36444444444444446
41618418,Войсковицкое,0.16755793226381463,0.5971479500891266,0.23529411764705882
41618424,Елизаветинское,0.18581907090464547,0.4572127139364303,0.3569682151589242
41618426,Кобринское,0.2560646900269542,0.37735849056603776,0.3665768194070081
41618444,Новосветское,0.15126050420168066,0.5277310924369748,0.32100840336134456
41618448,Пудостьское,0.13318284424379231,0.5993227990970654,0.26749435665914223
41618452,Рождественское,0.3081395348837209,0.4680232558139535,0.2238372093023256
41618460,Сусанинское,0.09935897435897435,0.6634615384615384,0.23717948717948717
41618461,Сяськелевское,0.15608465608465608,0.4074074074074074,0.4365079365079365
