oktmo,name,year,inflow
01606000,Бурлинский муниципальный район,2012,127.0
01606411,Бурлинский сельсовет,2012,37.0
01606422,Михайловский сельсовет,2012,16.0
01606430,Новоандреевский сельсовет,2012,1.0
01606433,Новопесчанский сельсовет,2012,10.0
01606444,Новосельский сельсовет,2012,24.0
01606455,Ореховский сельсовет,2012,13.0
01606466,Партизанский сельсовет,2012,12.0
01606470,Рожковский сельсовет,2012,3.0
01606477,Устьянский сельсовет,2012,11.0
01607000,Быстроистокский муниципальный район,2012,86.0
01607403,Акутихинский сельсовет,2012,13.0
01607405,Быстроистокский сельсовет,2012,34.0
01607411,Верх-Ануйский сельсовет,2012,6.0
01607422,Верх-Озёрнинский сельсовет,2012,13.0
01607433,Новопокровский сельсовет,2012,2.0
01607437,Приобский сельсовет,2012,9.0
01607444,Усть-Ануйский сельсовет,2012,4.0
01607455,Хлеборобный сельсовет,2012,5.0
01608000,Волчихинский муниципальный район,2012,102.0
01608410,Берёзовский сельсовет,2012,3.0
01608414,Бор-Форпостовский сельсовет,2012,8.0
01608421,Волчихинский сельсовет,2012,58.0
01608423,Востровский сельсовет,2012,3.0
01608430,Коминтерновский сельсовет,2012,4.0
01608434,Малышево-Логовской сельсовет,2012,1.0
01608445,Новокормихинский сельсовет,2012,5.0
01608456,Пятковологовской сельсовет,2012,2.0
01608467,Селивёрстовский сельсовет,2012,2.0
01608478,Солоновский сельсовет,2012,12.0
01608489,Усть-Волчихинский сельсовет,2012,4.0
01609000,Егорьевский муниципальный район,2012,100.0
01609411,Кругло-Семенцовский сельсовет,2012,6.0
01609422,Лебяжинский сельсовет,2012,23.0
01609428,Малошелковниковский сельсовет,2012,1.0
01609433,Новоегорьевский сельсовет,2012,45.0
01609444,Первомайский сельсовет,2012,11.0
01609455,Сростинский сельсовет,2012,7.0
01609466,Титовский сельсовет,2012,3.0
01609490,Шубинский сельсовет,2012,4.0
01610000,Ельцовский муниципальный район,2012,216.0
01610411,Верх-Ненинский сельсовет,2012,6.0
01610422,Ельцовский сельсовет,2012,89.0
01610433,Мартыновский сельсовет,2012,36.0
01610444,Новокаменский сельсовет,2012,29.0
01610466,Пуштулимский сельсовет,2012,43.0
01610488,Черемшанский сельсовет,2012,13.0
01611000,Завьяловский муниципальный район,2012,188.0
01611411,Гилёвский сельсовет,2012,25.0
01611416,Глубоковский сельсовет,2012,13.0
01611423,Гоноховский сельсовет,2012,17.0
01611434,Завьяловский сельсовет,2012,68.0
01611445,Камышенский сельсовет,2012,11.0
01611456,Малиновский сельсовет,2012,8.0
01611467,Овечкинский сельсовет,2012,10.0
01611469,Светловский сельсовет,2012,11.0
01611470,Тумановский сельсовет,2012,1.0
01611478,Харитоновский сельсовет,2012,9.0
01611486,Чернавский сельсовет,2012,2.0
01611489,Чистоозёрский сельсовет,2012,13.0
01612000,Залесовский муниципальный район,2012,170.0
01612409,Большекалтайский сельсовет,2012,9.0
01612412,Борисовский сельсовет,2012,13.0
01612422,Думчевский сельсовет,2012,12.0
01612426,Залесовский сельсовет,2012,97.0
01612437,Кордонский сельсовет,2012,15.0
01612459,Пещерский сельсовет,2012,9.0
01612470,Тундрихинский сельсовет,2012,2.0
01612481,Черёмушкинский сельсовет,2012,5.0
01612492,Шатуновский сельсовет,2012,8.0
01613000,Заринский муниципальный район,2012,129.0
01613406,Аламбайский сельсовет,2012,6.0
01613420,Верх-Камышенский сельсовет,2012,2.0
01613425,Воскресенский сельсовет,2012,4.0
01613428,Голухинский сельсовет,2012,9.0
01613430,Гоношихинский сельсовет,2012,6.0
01613434,Гришинский сельсовет,2012,3.0
01613436,Жуланихинский сельсовет,2012,3.0
01613438,Зыряновский сельсовет,2012,2.0
01613450,Комарский сельсовет,2012,3.0
01613460,Новодраченинский сельсовет,2012,9.0
01613461,Новозыряновский сельсовет,2012,7.0
01613464,Новокопыловский сельсовет,2012,14.0
01613468,Новомоношкинский сельсовет,2012,4.0
01613474,Смазневский сельсовет,2012,11.0
01613478,Сосновский сельсовет,2012,2.0
01613487,Стародраченинский сельсовет,2012,15.0
01613488,Тягунский сельсовет,2012,16.0
01613492,Хмелевский сельсовет,2012,7.0
01613494,Шпагинский сельсовет,2012,1.0
01613496,Яновский сельсовет,2012,5.0
01614000,Змеиногорский муниципальный район,2012,206.0
01614101,город Змеиногорск,2012,114.0
01614422,Барановский сельсовет,2012,27.0
01614433,Карамышевский сельсовет,2012,16.0
01614444,Кузьминский сельсовет,2012,4.0
01614450,Никольский сельсовет,2012,1.0
01614455,Октябрьский сельсовет,2012,15.0
01614466,Саввушинский сельсовет,2012,14.0
01614477,Таловский сельсовет,2012,4.0
01614488,Черепановский сельсовет,2012,11.0
01615000,Калманский муниципальный район,2012,67.0
01615409,Бурановский сельсовет,2012,1.0
01615414,Зимарёвский сельсовет,2012,20.0
01615425,Калистратихинский сельсовет,2012,3.0
01615427,Калманский сельсовет,2012,13.0
01615435,Кубанский сельсовет,2012,5.0
01615450,Шиловский сельсовет,2012,7.0
01615457,Новоромановский сельсовет,2012,9.0
01615468,Обской сельсовет,2012,7.0
01615485,Шадринский сельсовет,2012,2.0
01616000,Каменский муниципальный район,2012,198.0
01616404,Аллакский сельсовет,2012,14.0
01616413,Верх-Аллакский сельсовет,2012,15.0
01616417,Гоноховский сельсовет,2012,17.0
01616437,Корниловский сельсовет,2012,28.0
01616461,Новоярковский сельсовет,2012,18.0
01616468,Плотниковский сельсовет,2012,16.0
01616473,Попереченский сельсовет,2012,16.0
01616475,Пригородный сельсовет,2012,2.0
01616482,Рыбинский сельсовет,2012,15.0
01616486,Столбовский сельсовет,2012,32.0
01616490,Телеутский сельсовет,2012,6.0
