name,year,inflow
Обской сельсовет,2022,23.0
Усть-Алейский сельсовет,2022,13.0
Шадринский сельсовет,2022,18.0
Каменский муниципальный район,2022,1410.0
г Камень-на-Оби,2022,1105.0
Аллакский сельсовет,2022,26.0
Верх-Аллакский сельсовет,2022,5.0
Гоноховский сельсовет,2022,18.0
Корниловский сельсовет,2022,37.0
Новоярковский сельсовет,2022,37.0
Плотниковский сельсовет,2022,20.0
Попереченский сельсовет,2022,25.0
Пригородный сельсовет,2022,8.0
Рыбинский сельсовет,2022,32.0
Столбовский сельсовет,2022,55.0
Телеутский сельсовет,2022,12.0
Толстовский сельсовет,2022,24.0
Филипповский сельсовет,2022,6.0
Ключевский муниципальный район,2022,465.0
Васильчуковский сельсовет,2022,24.0
Зелёнополянский сельсовет,2022,11.0
Истимисский сельсовет,2022,18.0
Каипский сельсовет,2022,12.0
Ключевский сельсовет,2022,273.0
Новополтавский сельсовет,2022,16.0
Новоцелинный сельсовет,2022,33.0
Петуховский сельсовет,2022,18.0
Покровский сельсовет,2022,14.0
Северский сельсовет,2022,46.0
Косихинский муниципальный район,2022,393.0
Баюновский сельсовет,2022,26.0
Верх-Жилинский сельсовет,2022,30.0
Глушинский сельсовет,2022,17.0
Каркавинский сельсовет,2022,15.0
Контошинский сельсовет,2022,27.0
Косихинский сельсовет,2022,124.0
Лосихинский сельсовет,2022,19.0
Малаховский сельсовет,2022,31.0
Налобихинский сельсовет,2022,82.0
Плотниковский сельсовет,2022,11.0
Полковниковский сельсовет,2022,11.0
Красногорский муниципальный район,2022,506.0
Берёзовский сельсовет,2022,32.0
Быстрянский сельсовет,2022,110.0
Красногорский сельсовет,2022,186.0
Новозыковский сельсовет,2022,16.0
Новоталовский сельсовет,2022,24.0
Соусканихинский сельсовет,2022,27.0
Усть-Ишинский сельсовет,2022,75.0
Усть-Кажинский сельсовет,2022,36.0
Краснощёковский муниципальный район,2022,258.0
Акимовский сельсовет,2022,12.0
Берёзовский сельсовет,2022,16.0
Верх-Камышенский сельсовет,2022,15.0
Карповский сельсовет,2022,19.0
Краснощёковский сельсовет,2022,95.0
Маралихинский сельсовет,2022,30.0
Новошипуновский сельсовет,2022,18.0
Суетский сельсовет,2022,3.0
Усть-Беловский сельсовет,2022,7.0
Усть-Козлухинский сельсовет,2022,9.0
Усть-Пустынский сельсовет,2022,2.0
Харловский сельсовет,2022,25.0
Чинетинский сельсовет,2022,7.0
Крутихинский муниципальный район,2022,276.0
Боровской сельсовет,2022,14.0
Волчно-Бурлинский сельсовет,2022,25.0
Долганский сельсовет,2022,22.0
Заковряшинский сельсовет,2022,27.0
Крутихинский сельсовет,2022,106.0
Маловолчанский сельсовет,2022,22.0
Новодубровский сельсовет,2022,15.0
Подборный сельсовет,2022,19.0
Прыганский сельсовет,2022,26.0
Кулундинский муниципальный район,2022,892.0
Ананьевский сельсовет,2022,17.0
Воздвиженский сельсовет,2022,11.0
Златополинский сельсовет,2022,28.0
Константиновский сельсовет,2022,34.0
Кулундинский сельсовет,2022,643.0
Курский сельсовет,2022,45.0
Мирабилитский сельсовет,2022,10.0
Октябрьский сельсовет,2022,85.0
Семёновский сельсовет,2022,19.0
Курьинский муниципальный район,2022,203.0
Бугрышихинский сельсовет,2022,1.0
Ивановский сельсовет,2022,10.0
Казанцевский сельсовет,2022,11.0
Колыванский сельсовет,2022,32.0
Краснознаменский сельсовет,2022,19.0
Кузнецовский сельсовет,2022,2.0
Курьинский сельсовет,2022,82.0
Новофирсовский сельсовет,2022,9.0
Трусовский сельсовет,2022,17.0
Усть-Таловский сельсовет,2022,20.0
Кытмановский муниципальный район,2022,356.0
Дмитро-Титовский сельсовет,2022,27.0
Кытмановский сельсовет,2022,184.0
Червовский сельсовет,2022,11.0
Новотарабинский сельсовет,2022,13.0
Октябрьский сельсовет,2022,29.0
Порошинский сельсовет,2022,13.0
Семено-Красиловский сельсовет,2022,9.0
Сунгайский сельсовет,2022,15.0
Тягунский сельсовет,2022,42.0
Тяхтинский сельсовет,2022,13.0
Локтевский муниципальный район,2022,514.0
город Горняк,2022,283.0
Александровский сельсовет,2022,12.0
Второкаменский сельсовет,2022,11.0
Георгиевский сельсовет,2022,14.0
Гилёвский сельсовет,2022,9.0
Ермошихинский сельсовет,2022,3.0
Золотухинский сельсовет,2022,10.0
Кировский сельсовет,2022,26.0
Локтевский сельсовет,2022,16.0
Масальский сельсовет,2022,18.0
Николаевский сельсовет,2022,10.0
Новенский сельсовет,2022,4.0
Новомихайловский сельсовет,2022,21.0
Покровский сельсовет,2022,10.0
Ремовский сельсовет,2022,10.0
Самарский сельсовет,2022,22.0
Успенский сельсовет,2022,24.0
Устьянский сельсовет,2022,11.0
Мамонтовский муниципальный район,2022,619.0
Буканский сельсовет,2022,37.0
Гришенский сельсовет,2022,19.0
Кадниковский сельсовет,2022,7.0
Комсомольский сельсовет,2022,16.0
Корчинский сельсовет,2022,26.0
Костино-Логовской сельсовет,2022,46.0
Крестьянский сельсовет,2022,23.0
Мамонтовский сельсовет,2022,315.0
Островновский сельсовет,2022,28.0
Покровский сельсовет,2022,32.0
Сусловский сельсовет,2022,13.0
Тимирязевский сельсовет,2022,40.0
Чернокурьинский сельсовет,2022,17.0
Михайловский муниципальный район,2022,675.0
Малиновоозёрский поссовет,2022,112.0
Ащегульский сельсовет,2022,3.0
Бастанский сельсовет,2022,27.0
Михайловский сельсовет,2022,354.0
Назаровский сельсовет,2022,20.0
Николаевский сельсовет,2022,49.0
Полуямский сельсовет,2022,21.0
Ракитовский сельсовет,2022,89.0
Новичихинский муниципальный район,2022,256.0
Долговский сельсовет,2022,9.0
Лобанихинский сельсовет,2022,15.0
Мельниковский сельсовет,2022,24.0
Новичихинский сельсовет,2022,143.0
Поломошенский сельсовет,2022,8.0
Солоновский сельсовет,2022,38.0
Токарёвский сельсовет,2022,19.0
Зональный муниципальный район,2022,736.0
Буланихинский сельсовет,2022,88.0
Зональный сельсовет,2022,179.0
Луговской сельсовет,2022,43.0
Новочемровский сельсовет,2022,101.0
Октябрьский сельсовет,2022,36.0
Плешковский сельсовет,2022,65.0
Соколовский сельсовет,2022,152.0
Чемровский сельсовет,2022,45.0
Шубенский сельсовет,2022,27.0
Павловский муниципальный район,2022,1092.0
Арбузовский сельсовет,2022,26.0
Бурановский сельсовет,2022,29.0
Елунинский сельсовет,2022,31.0
Колыванский сельсовет,2022,33.0
Комсомольский сельсовет,2022,51.0
Лебяжинский сельсовет,2022,42.0
Новозоринский сельсовет,2022,54.0
Павловский сельсовет,2022,373.0
Павлозаводской сельсовет,2022,39.0
Прутской сельсовет,2022,51.0
Рогозихинский сельсовет,2022,46.0
Стуковский сельсовет,2022,71.0
Черемновский сельсовет,2022,131.0
Чернопятовский сельсовет,2022,31.0
Шаховский сельсовет,2022,84.0
Панкрушихинский муниципальный район,2022,415.0
Велижанский сельсовет,2022,6.0
Железнодорожный сельсовет,2022,33.0
Зятьковский сельсовет,2022,29.0
Кривинский сельсовет,2022,13.0
Луковский сельсовет,2022,27.0
Панкрушихинский сельсовет,2022,192.0
Подойниковский сельсовет,2022,78.0
Романовский сельсовет,2022,14.0
Урываевский сельсовет,2022,23.0
Первомайский муниципальный район,2022,2399.0
Акуловский сельсовет,2022,10.0
Баюновоключевский сельсовет,2022,86.0
Берёзовский сельсовет,2022,452.0
Бобровский сельсовет,2022,208.0
Боровихинский сельсовет,2022,189.0
Жилинский сельсовет,2022,44.0
Журавлихинский сельсовет,2022,20.0
Зудиловский сельсовет,2022,239.0
Логовской сельсовет,2022,45.0
Новоберёзовский сельсовет,2022,14.0
Первомайский сельсовет,2022,90.0
Повалихинский сельсовет,2022,99.0
Рассказихинский сельсовет,2022,19.0
Санниковский сельсовет,2022,630.0
Северный сельсовет,2022,45.0
Сибирский сельсовет,2022,95.0
Солнечный сельсовет,2022,66.0
Сорочелоговской сельсовет,2022,48.0
Петропавловский муниципальный район,2022,411.0
Алексеевский сельсовет,2022,46.0
Антоньевский сельсовет,2022,30.0
Зеленодольский сельсовет,2022,66.0
Камышенский сельсовет,2022,53.0
Николаевский сельсовет,2022,35.0
Новообинский сельсовет,2022,37.0
Паутовский сельсовет,2022,22.0
Петропавловский сельсовет,2022,106.0
Соловьихинский сельсовет,2022,16.0
Поспелихинский муниципальный район,2022,679.0
Борковский сельсовет,2022,43.0
12 лет Октября сельсовет,2022,13.0
Калмыцко-Мысовской сельсовет,2022,26.0
Клепечихинский сельсовет,2022,11.0
Красноалтайский сельсовет,2022,19.0
Красноярский сельсовет,2022,23.0
Мамонтовский сельсовет,2022,51.0
Николаевский сельсовет,2022,44.0
Озимовский сельсовет,2022,19.0
