name,year,inflow
Сельские поселения Большемурашкинского муниципального района/,2022,147.0
Советский сельсовет,2022,57.0
Григоровский сельсовет,2022,17.0
Холязинский сельсовет,2022,73.0
Варнавинский муниципальный район,2022,248.0
Городские поселения Варнавинского муниципального района/,2022,85.0
рабочий поселок Варнавино,2022,85.0
Сельские поселения Варнавинского муниципального района/,2022,163.0
Восходовский сельсовет,2022,31.0
Михаленинский сельсовет,2022,30.0
Богородский сельсовет,2022,39.0
Северный сельсовет,2022,49.0
Шудский сельсовет,2022,14.0
Вачский муниципальный район,2022,650.0
Городские поселения Вачского муниципального района/,2022,176.0
рабочий поселок Вача,2022,176.0
Сельские поселения Вачского муниципального района/,2022,474.0
Арефинский сельсовет,2022,99.0
Казаковский сельсовет,2022,93.0
Новосельский сельсовет,2022,133.0
Филинский сельсовет,2022,117.0
Чулковский сельсовет,2022,32.0
Ветлужский муниципальный район,2022,371.0
Городские поселения Ветлужского муниципального района/,2022,229.0
город Ветлуга,2022,191.0
рабочий поселок им М.И. Калинина,2022,38.0
Сельские поселения Ветлужского муниципального района/,2022,142.0
Волыновский сельсовет,2022,15.0
Крутцовский сельсовет,2022,38.0
Макарьевский сельсовет,2022,36.0
Мошкинский сельсовет,2022,19.0
Новоуспенский сельсовет,2022,9.0
Проновский сельсовет,2022,13.0
Туранский сельсовет,2022,12.0
Вознесенский муниципальный район,2022,533.0
Городские поселения Вознесенского муниципального района/,2022,192.0
рабочий поселок Вознесенское,2022,192.0
Сельские поселения Вознесенского муниципального района/,2022,341.0
Бахтызинский сельсовет,2022,44.0
Благодатовский сельсовет,2022,12.0
Бутаковский сельсовет,2022,22.0
Криушинский сельсовет,2022,34.0
Мотызлейский сельсовет,2022,22.0
Нарышкинский сельсовет,2022,155.0
Полховско-Майданский сельсовет,2022,31.0
Сарминский сельсовет,2022,21.0
Воскресенский муниципальный район,2022,592.0
Городские поселения Воскресенского муниципального района/,2022,191.0
рабочий поселок Воскресенское,2022,191.0
Сельские поселения Воскресенского муниципального района/,2022,401.0
Благовещенский сельсовет,2022,22.0
Богородский сельсовет,2022,93.0
Владимирский сельсовет,2022,46.0
Воздвиженский сельсовет,2022,66.0
Глуховский сельсовет,2022,37.0
Егоровский сельсовет,2022,14.0
Капустихинский сельсовет,2022,56.0
Нахратовский сельсовет,2022,27.0
Нестиарский сельсовет,2022,11.0
Староустинский сельсовет,2022,29.0
Гагинский муниципальный район,2022,231.0
Сельские поселения Гагинского муниципального района/,2022,231.0
Большеаратский сельсовет,2022,34.0
Ветошкинский сельсовет,2022,21.0
Гагинский сельсовет,2022,91.0
Покровский сельсовет,2022,9.0
Ушаковский сельсовет,2022,30.0
Юрьевский сельсовет,2022,46.0
Городецкий муниципальный район,2022,1994.0
Городские поселения Городецкого муниципального района/,2022,1475.0
Город Городец,2022,669.0
Город Заволжье,2022,764.0
рабочий поселок Первомайский,2022,42.0
Сельские поселения Городецкого муниципального района/,2022,519.0
Бриляковский сельсовет,2022,61.0
Зиняковский сельсовет,2022,105.0
Ковригинский сельсовет,2022,29.0
Кумохинский сельсовет,2022,132.0
ND,2022,53.0
Смиркинский сельсовет,2022,7.0
Смольковский сельсовет,2022,58.0
Тимирязевский сельсовет,2022,47.0
Федуринский сельсовет,2022,27.0
Дальнеконстантиновский муниципальный район,2022,430.0
Городские поселения Дальнеконстантиновского муниципального района,2022,71.0
рабочий поселок Дальнее Константиново,2022,71.0
Сельские поселения Дальнеконстантиновского муниципального района/,2022,359.0
Белозеровский сельсовет,2022,25.0
Богоявленский сельсовет,2022,63.0
Нижегородский сельсовет,2022,42.0
Кужутский сельсовет,2022,33.0
Малопицкий сельсовет,2022,15.0
Сарлейский сельсовет,2022,44.0
Дубравский сельсовет,2022,33.0
Суроватихинский сельсовет,2022,74.0
Тепелевский сельсовет,2022,30.0
Володарский муниципальный район,2022,1944.0
Городские поселения Володарского муниципального района/,2022,1023.0
Город Володарск,2022,318.0
рабочий поселок Ильиногорск,2022,165.0
рабочий поселок Решетиха,2022,234.0
рабочий поселок Смолино,2022,76.0
рабочий поселок Фролищи,2022,33.0
рабочий поселок Центральный,2022,106.0
рабочий поселок Юганец,2022,91.0
Сельские поселения Володарского муниципального района/,2022,921.0
поселок Красная Горка,2022,89.0
Золинский сельсовет,2022,202.0
Ильинский сельсовет,2022,115.0
Мулинский сельсовет,2022,515.0
Княгининский муниципальный район,2022,390.0
Городские поселения Княгининского муниципального района/,2022,224.0
Город Княгинино,2022,224.0
Сельские поселения Княгининского муниципального района/,2022,166.0
Ананьевский сельсовет,2022,44.0
Белкинский сельсовет,2022,23.0
Возрожденский сельсовет,2022,44.0
Соловьевский сельсовет,2022,55.0
Краснобаковский муниципальный район,2022,473.0
Городские поселения Краснобаковского муниципального района/,2022,341.0
рабочий поселок Красные Баки,2022,197.0
рабочий поселок Ветлужский,2022,144.0
Сельские поселения Краснобаковского муниципального района/,2022,132.0
Зубилихинский сельсовет,2022,10.0
Чащихинский сельсовет,2022,72.0
Прудовский сельсовет,2022,19.0
Шеманихинский сельсовет,2022,31.0
Краснооктябрьский муниципальный район,2022,241.0
Сельские поселения Краснооктябрьского муниципального района/,2022,241.0
Большерыбушкинский сельсовет,2022,52.0
Ендовищинский сельсовет,2022,14.0
Кечасовский сельсовет,2022,2.0
Ключищинский сельсовет,2022,11.0
Маресевский сельсовет,2022,2.0
Медянский сельсовет,2022,17.0
Пошатовский сельсовет,2022,8.0
Салганский сельсовет,2022,17.0
Саргинский сельсовет,2022,8.0
Семеновский сельсовет,2022,18.0
Уразовский сельсовет,2022,84.0
Чембилеевский сельсовет,2022,8.0
Лукояновский муниципальный район,2022,450.0
Городские поселения Лукояновского муниципального района/,2022,263.0
Город Лукоянов,2022,217.0
рабочий поселок им. Степана Разина,2022,46.0
Сельские поселения Лукояновского муниципального района/,2022,187.0
Большеарский сельсовет,2022,31.0
Большемаресьевский сельсовет,2022,14.0
Кудеяровский сельсовет,2022,64.0
Лопатинский сельсовет,2022,23.0
ND,2022,34.0
Шандровский сельсовет,2022,21.0
Пильнинский муниципальный район,2022,527.0
Городские поселения Пильнинского муниципального района/,2022,177.0
рабочий поселок Пильна,2022,177.0
Сельские поселения Пильнинского муниципального района/,2022,350.0
Большеандосовский сельсовет,2022,34.0
Бортсурманский сельсовет,2022,28.0
Деяновский сельсовет,2022,28.0
Красногорский сельсовет,2022,30.0
Курмышский сельсовет,2022,41.0
Медянский сельсовет,2022,33.0
ND,2022,49.0
Новомочалеевский сельсовет,2022,16.0
Петряксинский сельсовет,2022,27.0
Тенекаевский сельсовет,2022,45.0
Языковский сельсовет,2022,19.0
Сергачский муниципальный район,2022,465.0
Городские поселения Сергачского муниципального района/,2022,289.0
Город Сергач,2022,289.0
Сельские поселения Сергачского муниципального района/,2022,176.0
Андреевский сельсовет,2022,26.0
Ачкинский сельсовет,2022,12.0
Богородский сельсовет,2022,26.0
Камкинский сельсовет,2022,13.0
ND,2022,15.0
Лопатинский сельсовет,2022,45.0
Пожарский сельсовет,2022,14.0
Староберезовский сельсовет,2022,8.0
Толбинский сельсовет,2022,12.0
Шубинский сельсовет,2022,5.0
Сеченовский муниципальный район,2022,350.0
Сельские поселения Сеченовского муниципального района/,2022,350.0
Болтинский сельсовет,2022,27.0
Васильевский сельсовет,2022,7.0
Верхнеталызинский сельсовет,2022,43.0
Кочетовский сельсовет,2022,20.0
Красноостровский сельсовет,2022,18.0
Мурзицкий сельсовет,2022,23.0
Сеченовский сельсовет,2022,212.0
Сосновский муниципальный район,2022,475.0
Городские поселения Сосновского муниципального района/,2022,181.0
рабочий поселок Сосновское,2022,181.0
Сельские поселения Сосновского муниципального района/,2022,294.0
Виткуловский сельсовет,2022,60.0
Давыдковский сельсовет,2022,21.0
Елизаровский сельсовет,2022,54.0
Крутецкий сельсовет,2022,37.0
Панинский сельсовет,2022,12.0
Рожковский сельсовет,2022,60.0
Селитьбенский сельсовет,2022,31.0
Яковский сельсовет,2022,19.0
Спасский муниципальный район,2022,96.0
Сельские поселения Спасского муниципального района/,2022,96.0
Базловский сельсовет,2022,9.0
Высокоосельский сельсовет,2022,9.0
Маклаковский сельсовет,2022,13.0
Красноватрасский сельсовет,2022,13.0
Вазьянский сельсовет,2022,13.0
Спасский сельсовет,2022,28.0
Турбанский сельсовет,2022,11.0
Тонкинский муниципальный район,2022,215.0
Городские поселения Тонкинского муниципального района/,2022,126.0
рабочий поселок Тонкино,2022,126.0
Сельские поселения Тонкинского муниципального района/,2022,89.0
Бердниковский сельсовет,2022,28.0
Большесодомовский сельсовет,2022,20.0
Вязовский сельсовет,2022,27.0
Пакалевский сельсовет,2022,14.0
Шарангский муниципальный район,2022,372.0
Городские поселения Шарангского муниципального района/,2022,190.0
рабочий поселок Шаранга,2022,190.0
Сельские поселения Шарангского муниципального района/,2022,182.0
Большерудкинский сельсовет,2022,27.0
Большеустинский сельсовет,2022,25.0
Кушнурский сельсовет,2022,16.0
Роженцовский сельсовет,2022,53.0
Старорудкинский сельсовет,2022,19.0
Черномужский сельсовет,2022,24.0
Щенниковский сельсовет,2022,18.0
Шатковский муниципальный район,2022,499.0
Городские поселения Шатковского муниципального района/,2022,217.0
рабочий поселок Шатки,2022,186.0
рабочий поселок Лесогорск,2022,31.0
Сельские поселения Шатковского муниципального района/,2022,282.0
Архангельский сельсовет,2022,60.0
Кержемокский сельсовет,2022,25.0
Костянский сельсовет,2022,15.0
Красноборский сельсовет,2022,51.0
Светлогорский сельсовет,2022,52.0
Силинский сельсовет,2022,23.0
Смирновский сельсовет,2022,18.0
Староиванцевский сельсовет,2022,12.0
Шараповский сельсовет,2022,26.0
город Нижний Новгород,2022,18279.0
город Арзамас,2022,1351.0
город Бор,2022,2527.0
город Выкса,2022,2815.0
Воротынский,2022,342.0
город Дзержинск,2022,4082.0
город Кулебаки,2022,927.0
Навашинский,2022,311.0
город Первомайск,2022,396.0
Семеновский,2022,1206.0
Перевозский,2022,506.0
Сокольский,2022,440.0
город Чкаловск,2022,543.0
город Шахунья,2022,1188.0
Вичугский муниципальный район,2022,522.0
Каменское,2022,76.0
Новописцовское,2022,83.0
Старовичугское,2022,121.0
Октябрьское,2022,59.0
Сошниковское,2022,52.0
Сунженское,2022,131.0
Верхнеландеховский муниципальный район,2022,124.0
Верхнеландеховское,2022,74.0
Кромское,2022,6.0
Мытское,2022,37.0
Симаковское,2022,7.0
Гаврилово-Посадский муниципальный район,2022,447.0
Гаврилово-Посадское,2022,146.0
Петровское,2022,170.0
Новоселковское,2022,51.0
Осановецкое,2022,27.0
Шекшовское,2022,53.0
Заволжский муниципальный район,2022,272.0
Заволжское,2022,172.0
Волжское,2022,36.0
Дмитриевское,2022,19.0
Сосневское,2022,19.0
Междуреченское,2022,26.0
Ивановский муниципальный район,2022,1284.0
Беляницкое,2022,232.0
Богородское,2022,133.0
Коляновское,2022,299.0
Богданихское,2022,188.0
Новоталицкое,2022,156.0
Балахонковское,2022,59.0
Озёрновское,2022,26.0
Подвязновское,2022,67.0
Куликовское,2022,63.0
Тимошихское,2022,26.0
Чернореченское,2022,35.0
Ильинский муниципальный район,2022,459.0
Ильинское,2022,252.0
Аньковское,2022,74.0
Ивашевское,2022,58.0
Исаевское,2022,44.0
Щенниковское,2022,31.0
Кинешемский муниципальный район,2022,375.0
Наволокское,2022,210.0
Батмановское,2022,30.0
Горковское,2022,17.0
Луговское,2022,35.0
Решемское,2022,54.0
Ласкарихинское,2022,11.0
Шилекшинское,2022,18.0
Комсомольский муниципальный район,2022,1072.0
Комсомольское,2022,380.0
Марковское,2022,120.0
Новоусадебское,2022,130.0
Октябрьское,2022,60.0
Писцовское,2022,273.0
Подозерское,2022,109.0
Лежневский муниципальный район,2022,342.0
Лежневское,2022,158.0
Сабиновское,2022,34.0
Лежневское,2022,60.0
Новогоркинское,2022,42.0
Шилыковское,2022,48.0
Лухский муниципальный район,2022,192.0
Лухское,2022,77.0
Благовещенское,2022,22.0
Порздневское,2022,41.0
Рябовское,2022,28.0
Тимирязевское,2022,24.0
Палехский муниципальный район,2022,209.0
Палехское,2022,83.0
Майдаковское,2022,59.0
Пановское,2022,28.0
Раменское,2022,39.0
Пестяковский муниципальный район,2022,141.0
Пестяковское,2022,87.0
Нижнеландеховское,2022,16.0
Пестяковское,2022,38.0
Приволжский муниципальный район,2022,697.0
Плесское,2022,156.0
Приволжское,2022,367.0
Ингарское,2022,96.0
Новское,2022,45.0
Рождественское,2022,33.0
Пучежский муниципальный район,2022,396.0
Пучежское,2022,278.0
Затеихинское,2022,16.0
Илья-Высоковское,2022,51.0
Мортковское,2022,15.0
Сеготское,2022,36.0
Родниковский муниципальный район,2022,832.0
Родниковское,2022,527.0
Каминское,2022,126.0
Парское,2022,125.0
Филисовское,2022,54.0
Савинский муниципальный район,2022,265.0
Савинское,2022,153.0
Вознесенское,2022,25.0
Воскресенское,2022,21.0
Горячевское,2022,8.0
Савинское,2022,40.0
Архиповское,2022,18.0
Тейковский муниципальный район,2022,306.0
Нерльское,2022,65.0
Большеклочковское,2022,142.0
Крапивновское,2022,21.0
Морозовское,2022,28.0
Новогоряновское,2022,26.0
Новолеушинское,2022,24.0
Фурмановский муниципальный район,2022,769.0
Фурмановское,2022,539.0
Хромцовское,2022,50.0
Дуляпинское,2022,58.0
Панинское,2022,36.0
Иванковское,2022,47.0
Широковское,2022,39.0
Шуйский муниципальный район,2022,438.0
Колобовское,2022,85.0
Афанасьевское,2022,30.0
Васильевское,2022,61.0
Остаповское,2022,57.0
Китовское,2022,64.0
Перемиловское,2022,36.0
Семейкинское,2022,61.0
Введенское,2022,44.0
Южский муниципальный район,2022,359.0
Южское,2022,237.0
Холуйское,2022,33.0
Мугреево-Никольское,2022,17.0
Новоклязьминское,2022,16.0
Талицко-Мугреевское,2022,43.0
Хотимльское,2022,13.0
Юрьевецкий муниципальный район,2022,349.0
Юрьевецкое,2022,237.0
Елнатское,2022,31.0
Михайловское,2022,38.0
Соболевское,2022,43.0
Иваново,2022,12619.0
Вичуга,2022,699.0
Кинешма,2022,994.0
Кохма,2022,611.0
Тейково,2022,599.0
Шуя,2022,1032.0
Балаганский муниципальный район,2022,197.0
Сельские поселения Балаганского муниципального района/,2022,197.0
Балаганское,2022,103.0
Биритское,2022,30.0
Заславское,2022,12.0
Коноваловское,2022,23.0
Кумарейское,2022,11.0
Тарнопольское,2022,9.0
Шарагайское,2022,9.0
Бодайбинский муниципальный район,2022,322.0
Городские поселения Бодайбинского муниципального района/,2022,318.0
Бодайбинское,2022,283.0
Артёмовское,2022,10.0
Балахнинское,2022,8.0
Кропоткинское,2022,8.0
Мамаканское,2022,9.0
Сельские поселения Бодайбинского муниципального района/,2022,4.0
Жуинское,2022,4.0
Братский муниципальный район,2022,1191.0
Городские поселения Братского муниципального района/,2022,446.0
Вихоревское,2022,446.0
Сельские поселения Братского муниципального района/,2022,745.0
Большеокинское,2022,32.0
Добчурское,2022,18.0
Илирское,2022,24.0
Калтукское,2022,36.0
Карахунское,2022,9.0
Кежемское,2022,62.0
Ключи-Булакское,2022,45.0
Кобляковское,2022,83.0
Кузнецовское,2022,27.0
Наратайское,2022,6.0
Озернинское,2022,8.0
Прибойнинское,2022,5.0
Покоснинское,2022,110.0
Прибрежнинское,2022,44.0
Тангуйское,2022,97.0
Тарминское,2022,24.0
Турманское,2022,38.0
Тэмьское,2022,14.0
Харанжинское,2022,15.0
Шумиловское,2022,11.0
Зябинское,2022,22.0
Кобинское,2022,6.0
Куватское,2022,9.0
Аларский муниципальный район,2022,1008.0
Сельские поселения Аларского муниципального района/,2022,1008.0
Аларь,2022,58.0
Александровск,2022,26.0
Аляты,2022,27.0
Ангарский,2022,35.0
Бахтай,2022,11.0
Забитуй,2022,57.0
Егоровск,2022,5.0
Зоны,2022,24.0
Иваническ,2022,43.0
Куйта,2022,35.0
Кутулик,2022,266.0
Маниловск,2022,309.0
Могоенок,2022,20.0
Нельхай,2022,30.0
Ныгда,2022,34.0
Табарсук,2022,11.0
Тыргетуй,2022,17.0
Жигаловский муниципальный район,2022,228.0
Городские поселения Жигаловского муниципального района/,2022,90.0
Жигаловское,2022,90.0
Сельские поселения Жигаловского муниципального района/,2022,138.0
Дальне-Закорское,2022,1.0
Знаменское,2022,11.0
Лукиновское,2022,1.0
Петровское,2022,2.0
Рудовское,2022,5.0
Тимошинское,2022,1.0
Тутурское,2022,110.0
Усть-Илгинское,2022,4.0
Чиканское,2022,3.0
Баяндаевский муниципальный район,2022,246.0
Сельские поселения Баяндаевского муниципального района/,2022,246.0
Баяндай,2022,68.0
Васильевск,2022,8.0
Гаханы,2022,6.0
Курумчинский,2022,33.0
Кырма,2022,7.0
Люры,2022,26.0
Нагалык,2022,25.0
Ользоны,2022,18.0
Покровка,2022,18.0
Половинка,2022,10.0
Тургеневка,2022,12.0
Хогот,2022,15.0
Заларинский муниципальный район,2022,977.0
Городские поселения Заларинского муниципального района/,2022,487.0
Заларинское,2022,363.0
Тыретьское,2022,124.0
Сельские поселения Заларинского муниципального района/,2022,490.0
Бабагайское,2022,15.0
Бажирское,2022,87.0
Веренское,2022,29.0
Владимирское,2022,83.0
Моисеевское,2022,50.0
Мойганское,2022,24.0
Новочеремховское,2022,26.0
Семеновское,2022,35.0
Троицкое,2022,68.0
Ханжиновское,2022,21.0
Холмогойское,2022,25.0
Хор-Тагнинское,2022,23.0
Черемшанское,2022,4.0
Боханский муниципальный район,2022,404.0
Сельские поселения Боханского муниципального района/,2022,404.0
Александровское,2022,32.0
Бохан,2022,98.0
Буреть,2022,11.0
Казачье,2022,35.0
Каменка,2022,14.0
Новая Ида,2022,30.0
Олонки,2022,50.0
Середкино,2022,16.0
Тараса,2022,13.0
Тихоновка,2022,27.0
Укыр,2022,34.0
Хохорск,2022,33.0
Шаралдай,2022,11.0
Сельские поселения Зиминского муниципального района/,2022,350.0
Батаминское,2022,55.0
Буринское,2022,7.0
Зулумайское,2022,4.0
Кимильтейское,2022,68.0
Масляногорское,2022,16.0
Покровское,2022,21.0
Услонское,2022,40.0
Ухтуйское,2022,47.0
Филипповское,2022,9.0
Хазанское,2022,51.0
Харайгунское,2022,32.0
Городские поселения Иркутского муниципального района/,2022,2737.0
Большереченское,2022,61.0
Листвянское,2022,28.0
Марковское,2022,2648.0
Сельские поселения Иркутского муниципального района/,2022,3264.0
Голоустненское,2022,33.0
Гороховское,2022,9.0
Карлукское,2022,133.0
Максимовское,2022,90.0
Никольское,2022,26.0
Оекское,2022,92.0
Ревякинское,2022,17.0
Смоленское,2022,217.0
Уриковское,2022,780.0
Усть-Балейское,2022,24.0
Ушаковское,2022,304.0
Хомутовское,2022,799.0
Ширяевское,2022,39.0
Дзержинское,2022,93.0
Мамонское,2022,185.0
Молодежное,2022,369.0
Сосновоборское,2022,8.0
Усть-Кудинское,2022,46.0
Казачинско-Ленский муниципальный район,2022,243.0
Городские поселения Казачинско-Ленского муниципального района/,2022,169.0
Кунерминское.,2022,4.0
Магистральнинское,2022,86.0
Ульканское,2022,79.0
Сельские поселения Казачинско-Ленского муниципального района/,2022,73.0
Казачинское,2022,24.0
Карамское,2022,4.0
Мартыновское,2022,6.0
Новоселовское,2022,14.0
Ключевское,2022,22.0
Небельское,2022,3.0
Катангский муниципальный район,2022,51.0
Сельские поселения Катангского муниципального района/,2022,51.0
Ербогачёнское,2022,26.0
Непское,2022,5.0
Подволошинское,2022,5.0
Преображенское,2022,15.0
Качугский муниципальный район,2022,337.0
Городские поселения Качугского муниципального района/,2022,149.0
Качугское,2022,149.0
Сельские поселения Качугского муниципального района/,2022,188.0
Ангинское,2022,9.0
Белоусовское,2022,17.0
Бирюльское,2022,20.0
Большетарельское,2022,6.0
Бутаковское,2022,9.0
Вершино-Тутурское,2022,1.0
Верхоленское,2022,22.0
Залогское,2022,3.0
Зареченское,2022,10.0
Карлукское,2022,18.0
Качугское,2022,30.0
Манзурское,2022,29.0
Харбатовское,2022,14.0
Киренский муниципальный район,2022,262.0
Городские поселения Киренского муниципального района/,2022,221.0
Киренское,2022,184.0
Алексеевское,2022,37.0
Сельские поселения Киренского муниципального района/,2022,39.0
Алымовское,2022,19.0
Коршуновское,2022,2.0
Криволукское,2022,1.0
Макаровское,2022,4.0
Петропавловское,2022,6.0
Юбилейнинское,2022,7.0
Куйтунский муниципальный район,2022,601.0
Городские поселения Куйтунского муниципального района/,2022,234.0
Куйтунское,2022,234.0
Сельские поселения Куйтунского муниципального района/,2022,367.0
Алкинское,2022,16.0
Андрюшинское,2022,20.0
Барлукское,2022,21.0
Большекашелакское,2022,4.0
Иркутское,2022,49.0
Каразейское,2022,9.0
Карымское,2022,53.0
Кундуйское,2022,16.0
Ленинское,2022,16.0
Лермонтовское,2022,35.0
Мингатуйское,2022,2.0
Новотельбинское,2022,2.0
Тулюшское,2022,31.0
Усть-Кадинское,2022,13.0
Уховское,2022,24.0
Уянское,2022,29.0
Харикское,2022,12.0
Чеботарихинское,2022,12.0
Панагинское,2022,3.0
Мамско-Чуйский муниципальный район,2022,80.0
Городские поселения Мамско-Чуйского муниципального района/,2022,79.0
Мамское,2022,54.0
Витимское,2022,13.0
Луговское,2022,12.0
Нижнеилимский муниципальный район,2022,983.0
Городские поселения Нижнеилимского муниципального района/,2022,850.0
Железногорское,2022,362.0
Видимское,2022,35.0
Новоигирминское,2022,221.0
Радищевское,2022,34.0
Рудногорское,2022,98.0
Хребтовское,2022,38.0
Шестаковское.,2022,21.0
Янгелевское,2022,41.0
Сельские поселения Нижнеилимского муниципального района/,2022,131.0
Березняковское,2022,28.0
Брусничное,2022,8.0
Дальнинское,2022,7.0
Заморское,2022,10.0
Коршуновское,2022,12.0
Новоилимское,2022,16.0
Речушинское,2022,27.0
Семигорское,2022,15.0
Соцгородское,2022,8.0
Нижнеудинский муниципальный район,2022,1546.0
Городские поселения Нижнеудинского муниципального района/,2022,1073.0
Нижнеудинское,2022,797.0
Алзамайское,2022,122.0
Атагайское,2022,59.0
Уковское,2022,43.0
Шумское,2022,52.0
Сельские поселения Нижнеудинского муниципального района/,2022,473.0
Староалзамайское,2022,9.0
Верхнегутарское,2022,9.0
Замзорское,2022,19.0
Заречное,2022,9.0
Иргейское,2022,1.0
Каменское,2022,21.0
Катарбейское,2022,13.0
Катарминское,2022,4.0
Костинское,2022,15.0
Нерхинское,2022,4.0
Порогское,2022,8.0
Солонецкое,2022,20.0
Тофаларское,2022,12.0
Усть-Рубахинское,2022,185.0
Худоеланское,2022,57.0
Чеховское,2022,7.0
Шебертинское,2022,75.0
Широковское,2022,5.0
Нукутский муниципальный район,2022,432.0
Сельские поселения Нукутского муниципального района/,2022,432.0
Алтарик,2022,19.0
Закулей,2022,34.0
Новоленино,2022,30.0
Новонукутское,2022,169.0
Нукуты,2022,30.0
Первомайское,2022,11.0
Хадахан,2022,26.0
Хареты,2022,50.0
Целинный,2022,23.0
Шаратское,2022,40.0
Сельские поселения Ольхонского муниципального района/,2022,231.0
Бугульдейское,2022,19.0
Еланцынское,2022,99.0
Онгуренское,2022,4.0
Куретское,2022,13.0
Шара-Тоготское,2022,21.0
Хужирское,2022,75.0
Осинский муниципальный район,2022,470.0
Сельские поселения Осинского муниципального района/,2022,470.0
Бильчир,2022,35.0
Бурят-Янгуты,2022,17.0
Ирхидей,2022,24.0
Каха-Онгойское,2022,28.0
Майск,2022,35.0
Ново-Ленино,2022,17.0
Обуса,2022,11.0
Оса,2022,226.0
поселок Приморский,2022,27.0
Русские Янгуты,2022,19.0
Улейское,2022,17.0
Усть-Алтан,2022,14.0
Слюдянский муниципальный район,2022,924.0
Городские поселения Слюдянского муниципального района/,2022,807.0
Слюдянское,2022,366.0
Байкальское,2022,304.0
Култукское,2022,137.0
Сельские поселения Слюдянского муниципального района/,2022,117.0
Быстринское,2022,20.0
Маритуйское,2022,4.0
Утуликское,2022,61.0
Новоснежнинское,2022,24.0
Портбайкальское,2022,8.0
Тайшетский муниципальный район,2022,2009.0
Городские поселения Тайшетского муниципального района/,2022,1558.0
Тайшетское,2022,864.0
Бирюсинское,2022,241.0
Квитокское,2022,90.0
Юртинское,2022,186.0
Новобирюсинское,2022,112.0
Шиткинское,2022,65.0
Сельские поселения Тайшетского муниципального района/,2022,451.0
Старо-Акульшетское,2022,69.0
Березовское,2022,52.0
Бирюсинское,2022,16.0
Борисовское,2022,3.0
Бузыкановское,2022,11.0
Джогинское,2022,10.0
Зареченское,2022,8.0
Полинчетское,2022,8.0
Мирнинское,2022,22.0
Николаевское,2022,17.0
Нижнезаимское,2022,9.0
Половино-Черемховское,2022,22.0
Рождественское,2022,7.0
Венгерское,2022,9.0
Соляновское,2022,15.0
Тальское,2022,4.0
Тимирязевское,2022,50.0
Черчетское,2022,13.0
Шелаевское,2022,11.0
Шелеховское,2022,37.0
Разгонское,2022,4.0
Тамтачетское,2022,54.0
Тулунский муниципальный район,2022,452.0
Сельские поселения Тулунского муниципального района/,2022,452.0
Азейское,2022,5.0
Будаговское,2022,37.0
Бурхунское,2022,11.0
Владимирское,2022,13.0
Гадалейское,2022,35.0
Ишидейское,2022,10.0
Гуранское,2022,19.0
Евдокимовское,2022,39.0
Едогонское,2022,8.0
Икейское,2022,21.0
Кирейское,2022,2.0
Котикское,2022,43.0
Мугунское,2022,33.0
Нижнебурбукское,2022,2.0
Афанасьевское,2022,21.0
Октябрьское,2022,2.0
Перфиловское,2022,11.0
Сибирякское,2022,2.0
Писаревское,2022,43.0
Умыганское,2022,7.0
Усть-Кульское,2022,4.0
Шерагульское,2022,48.0
Алгатуйское,2022,30.0
Аршанское,2022,6.0
Городские поселения Усольского муниципального района/,2022,349.0
Белореченское,2022,90.0
Мишелевское,2022,62.0
Среднинское,2022,106.0
Тайтурское,2022,45.0
Тельминское,2022,46.0
Сельские поселения Усольского муниципального района/,2022,337.0
Большееланское,2022,61.0
Железнодорожное,2022,142.0
Новожилкинское,2022,27.0
Новомальтинское,2022,33.0
Раздольинское,2022,29.0
Сосновское,2022,26.0
Тальянское,2022,19.0
Усть-Илимский муниципальный район,2022,434.0
Городские поселения Усть-Илимского муниципального района/,2022,168.0
Железнодорожное,2022,168.0
Сельские поселения Усть-Илимского муниципального района/,2022,266.0
Бадарминское,2022,46.0
Ершовское,2022,15.0
Подъеланское,2022,11.0
Невонское,2022,66.0
Седановское,2022,39.0
Тубинское,2022,48.0
Эдучанское,2022,41.0
Городские поселения Усть-Кутского муниципального района/,2022,550.0
Усть-Кутское,2022,493.0
Звёзднинское,2022,29.0
Янтальское,2022,28.0
Сельские поселения Усть-Кутского муниципального района/,2022,50.0
Ручейское,2022,14.0
Верхнемарковское,2022,19.0
Нийское,2022,10.0
Подымахинское,2022,7.0
Усть-Удинский муниципальный район,2022,142.0
Сельские поселения Усть-Удинского муниципального района/,2022,142.0
Аталанское,2022,1.0
Балаганкинское,2022,2.0
Игжейское,2022,6.0
Малышевское,2022,12.0
Молькинское,2022,14.0
Новоудинское,2022,14.0
Светлолобовское,2022,5.0
Среднемуйское,2022,12.0
Усть-Удинское,2022,42.0
Юголокское,2022,31.0
Ключинское,2022,1.0
Чичковское,2022,2.0
Городские поселения Черемховского муниципального района/,2022,141.0
Михайловское,2022,141.0
Сельские поселения Черемховского муниципального района/,2022,292.0
Алехинское,2022,25.0
Бельское,2022,22.0
Булайское,2022,7.0
Голуметское,2022,40.0
Зерновское,2022,21.0
Каменно-Ангарское,2022,1.0
Нижнеиретское,2022,16.0
Новогромовское,2022,17.0
Новостроевское,2022,10.0
Онотское,2022,10.0
Парфеновское,2022,25.0
Саянское,2022,15.0
Лоховское,2022,22.0
Тальниковское,2022,7.0
Тунгусское,2022,5.0
Узколугское,2022,5.0
Черемховское,2022,44.0
Городские поселения Чунского муниципального района/,2022,812.0
Чунское,2022,503.0
