oktmo,name,year,outflow
01601000,Алейский муниципальный район,2021,8.0
01601402,Алейский сельсовет,2021,1.0
01601417,Боровской сельсовет,2021,1.0
01601432,Кашинский сельсовет,2021,1.0
01601468,Осколковский сельсовет,2021,4.0
01601477,Совхозный сельсовет,2021,1.0
01602000,Алтайский муниципальный район,2021,1.0
01602407,Алтайский сельсовет,2021,1.0
01603000,Баевский муниципальный район,2021,1.0
01603407,Баевский сельсовет,2021,1.0
01604000,Бийский муниципальный район,2021,31.0
01604410,Большеугреневский сельсовет,2021,1.0
01604415,Верх-Бехтемирский сельсовет,2021,1.0
01604417,Верх-Катунский сельсовет,2021,6.0
01604422,Енисейский сельсовет,2021,5.0
01604424,Заринский сельсовет,2021,1.0
01604437,Лесной сельсовет,2021,3.0
01604459,Малоугреневский сельсовет,2021,6.0
01604470,Первомайский сельсовет,2021,3.0
01604480,Светлоозёрский сельсовет,2021,1.0
01604483,Сростинский сельсовет,2021,2.0
01604488,Усятский сельсовет,2021,1.0
01604495,Шебалинский сельсовет,2021,1.0
01605000,Благовещенский муниципальный район,2021,37.0
01605151,Благовещенский поссовет,2021,15.0
01605157,Степноозёрский поссовет,2021,3.0
01605420,Гляденьский сельсовет,2021,3.0
01605436,Леньковский сельсовет,2021,9.0
01605452,Николаевский сельсовет,2021,1.0
01605456,Новокулундинский сельсовет,2021,1.0
01605458,Орлеанский сельсовет,2021,3.0
01605494,Яготинский сельсовет,2021,2.0
01606000,Бурлинский муниципальный район,2021,20.0
01606411,Бурлинский сельсовет,2021,8.0
01606422,Михайловский сельсовет,2021,3.0
01606444,Новосельский сельсовет,2021,4.0
01606455,Ореховский сельсовет,2021,3.0
01606466,Партизанский сельсовет,2021,1.0
01606477,Устьянский сельсовет,2021,1.0
01608000,Волчихинский муниципальный район,2021,4.0
01608421,Волчихинский сельсовет,2021,2.0
01608423,Востровский сельсовет,2021,2.0
01609000,Егорьевский муниципальный район,2021,1.0
01609433,Новоегорьевский сельсовет,2021,1.0
01611000,Завьяловский муниципальный район,2021,8.0
01611423,Гоноховский сельсовет,2021,3.0
01611434,Завьяловский сельсовет,2021,3.0
01611467,Овечкинский сельсовет,2021,1.0
01611489,Чистоозёрский сельсовет,2021,1.0
01612000,Залесовский муниципальный район,2021,2.0
01612426,Залесовский сельсовет,2021,2.0
01613000,Заринский муниципальный район,2021,3.0
01613430,Гоношихинский сельсовет,2021,1.0
01613496,Яновский сельсовет,2021,2.0
01614000,Змеиногорский муниципальный район,2021,43.0
01614101,город Змеиногорск,2021,30.0
01614433,Карамышевский сельсовет,2021,3.0
01614444,Кузьминский сельсовет,2021,4.0
01614455,Октябрьский сельсовет,2021,3.0
01614488,Черепановский сельсовет,2021,3.0
01615000,Калманский муниципальный район,2021,2.0
01615457,Новоромановский сельсовет,2021,1.0
01615468,Обской сельсовет,2021,1.0
01616000,Каменский муниципальный район,2021,29.0
01616101,г Камень-на-Оби,2021,19.0
01616437,Корниловский сельсовет,2021,2.0
01616461,Новоярковский сельсовет,2021,1.0
01616468,Плотниковский сельсовет,2021,1.0
01616482,Рыбинский сельсовет,2021,2.0
01616490,Телеутский сельсовет,2021,4.0
01617000,Ключевский муниципальный район,2021,19.0
01617415,Истимисский сельсовет,2021,1.0
01617424,Ключевский сельсовет,2021,14.0
01617479,Северский сельсовет,2021,4.0
01618000,Косихинский муниципальный район,2021,7.0
01618425,Каркавинский сельсовет,2021,1.0
01618430,Контошинский сельсовет,2021,2.0
01618434,Косихинский сельсовет,2021,1.0
01618460,Налобихинский сельсовет,2021,2.0
01618468,Полковниковский сельсовет,2021,1.0
01619000,Красногорский муниципальный район,2021,10.0
01619405,Берёзовский сельсовет,2021,3.0
01619407,Быстрянский сельсовет,2021,2.0
01619423,Красногорский сельсовет,2021,2.0
01619456,Соусканихинский сельсовет,2021,2.0
01619478,Усть-Ишинский сельсовет,2021,1.0
01622000,Кулундинский муниципальный район,2021,71.0
01622433,Воздвиженский сельсовет,2021,1.0
01622455,Константиновский сельсовет,2021,3.0
01622460,Кулундинский сельсовет,2021,53.0
01622466,Курский сельсовет,2021,3.0
01622472,Мирабилитский сельсовет,2021,4.0
01622477,Октябрьский сельсовет,2021,6.0
01622488,Семёновский сельсовет,2021,1.0
01623000,Курьинский муниципальный район,2021,1.0
01623466,Курьинский сельсовет,2021,1.0
01624000,Кытмановский муниципальный район,2021,7.0
01624423,Кытмановский сельсовет,2021,4.0
01624434,Червовский сельсовет,2021,1.0
01624491,Сунгайский сельсовет,2021,1.0
01624494,Тяхтинский сельсовет,2021,1.0
01625000,Локтевский муниципальный район,2021,82.0
01625101,город Горняк,2021,58.0
01625409,Второкаменский сельсовет,2021,1.0
01625417,Гилёвский сельсовет,2021,1.0
01625419,Ермошихинский сельсовет,2021,1.0
01625421,Золотухинский сельсовет,2021,2.0
01625426,Кировский сельсовет,2021,5.0
01625434,Локтевский сельсовет,2021,1.0
01625440,Масальский сельсовет,2021,3.0
01625449,Николаевский сельсовет,2021,1.0
01625456,Новенский сельсовет,2021,1.0
01625466,Покровский сельсовет,2021,1.0
01625473,Ремовский сельсовет,2021,2.0
01625476,Самарский сельсовет,2021,1.0
01625484,Успенский сельсовет,2021,4.0
01626000,Мамонтовский муниципальный район,2021,8.0
01626434,Корчинский сельсовет,2021,1.0
01626449,Мамонтовский сельсовет,2021,5.0
01626460,Островновский сельсовет,2021,1.0
01626492,Чернокурьинский сельсовет,2021,1.0
01627000,Михайловский муниципальный район,2021,59.0
01627154,Малиновоозёрский поссовет,2021,15.0
01627405,Ащегульский сельсовет,2021,1.0
01627411,Бастанский сельсовет,2021,1.0
01627416,Михайловский сельсовет,2021,35.0
01627420,Назаровский сельсовет,2021,2.0
01627444,Ракитовский сельсовет,2021,5.0
01628000,Новичихинский муниципальный район,2021,1.0
01628466,Солоновский сельсовет,2021,1.0
01629000,Зональный муниципальный район,2021,20.0
01629412,Буланихинский сельсовет,2021,5.0
01629426,Зональный сельсовет,2021,2.0
01629466,Новочемровский сельсовет,2021,7.0
01629470,Октябрьский сельсовет,2021,1.0
01629480,Соколовский сельсовет,2021,3.0
01629493,Чемровский сельсовет,2021,2.0
01630000,Павловский муниципальный район,2021,61.0
01630401,Арбузовский сельсовет,2021,1.0
01630403,Бурановский сельсовет,2021,1.0
01630412,Елунинский сельсовет,2021,1.0
01630437,Комсомольский сельсовет,2021,9.0
01630449,Лебяжинский сельсовет,2021,2.0
01630455,Новозоринский сельсовет,2021,5.0
01630460,Павловский сельсовет,2021,29.0
01630462,Павлозаводской сельсовет,2021,2.0
01630464,Прутской сельсовет,2021,2.0
01630473,Стуковский сельсовет,2021,3.0
01630482,Черемновский сельсовет,2021,5.0
01630490,Шаховский сельсовет,2021,1.0
01631000,Панкрушихинский муниципальный район,2021,6.0
01631422,Зятьковский сельсовет,2021,1.0
01631456,Панкрушихинский сельсовет,2021,2.0
01631478,Романовский сельсовет,2021,3.0
01632000,Первомайский муниципальный район,2021,63.0
01632412,Баюновоключевский сельсовет,2021,3.0
01632416,Берёзовский сельсовет,2021,18.0
01632420,Бобровский сельсовет,2021,3.0
01632422,Боровихинский сельсовет,2021,7.0
01632425,Жилинский сельсовет,2021,1.0
01632430,Журавлихинский сельсовет,2021,1.0
01632434,Зудиловский сельсовет,2021,6.0
01632442,Логовской сельсовет,2021,1.0
01632449,Первомайский сельсовет,2021,2.0
01632454,Повалихинский сельсовет,2021,1.0
