oktmo,name,year,outflow
01602000,Алтайский муниципальный район,2017,2.0
01602407,Алтайский сельсовет,2017,1.0
01602457,Пролетарский сельсовет,2017,1.0
01604000,Бийский муниципальный район,2017,64.0
01604415,Верх-Бехтемирский сельсовет,2017,2.0
01604417,Верх-Катунский сельсовет,2017,5.0
01604422,Енисейский сельсовет,2017,2.0
01604424,Заринский сельсовет,2017,3.0
01604434,Калининский сельсовет,2017,4.0
01604437,Лесной сельсовет,2017,1.0
01604455,Малоенисейский сельсовет,2017,5.0
01604459,Малоугреневский сельсовет,2017,12.0
01604464,Новиковский сельсовет,2017,3.0
01604470,Первомайский сельсовет,2017,8.0
01604480,Светлоозёрский сельсовет,2017,2.0
01604483,Сростинский сельсовет,2017,8.0
01604488,Усятский сельсовет,2017,7.0
01604495,Шебалинский сельсовет,2017,2.0
01605000,Благовещенский муниципальный район,2017,53.0
01605151,Благовещенский поссовет,2017,16.0
01605157,Степноозёрский поссовет,2017,3.0
01605420,Гляденьский сельсовет,2017,13.0
01605436,Леньковский сельсовет,2017,4.0
01605452,Николаевский сельсовет,2017,7.0
01605456,Новокулундинский сельсовет,2017,4.0
01605458,Орлеанский сельсовет,2017,3.0
01605494,Яготинский сельсовет,2017,3.0
01606000,Бурлинский муниципальный район,2017,16.0
01606411,Бурлинский сельсовет,2017,6.0
01606422,Михайловский сельсовет,2017,1.0
01606430,Новоандреевский сельсовет,2017,1.0
01606444,Новосельский сельсовет,2017,4.0
01606466,Партизанский сельсовет,2017,2.0
01606477,Устьянский сельсовет,2017,2.0
01607000,Быстроистокский муниципальный район,2017,1.0
01607444,Усть-Ануйский сельсовет,2017,1.0
01608000,Волчихинский муниципальный район,2017,5.0
01608414,Бор-Форпостовский сельсовет,2017,1.0
01608421,Волчихинский сельсовет,2017,3.0
01608478,Солоновский сельсовет,2017,1.0
01609000,Егорьевский муниципальный район,2017,13.0
01609411,Кругло-Семенцовский сельсовет,2017,2.0
01609422,Лебяжинский сельсовет,2017,2.0
01609433,Новоегорьевский сельсовет,2017,7.0
01609455,Сростинский сельсовет,2017,1.0
01609466,Титовский сельсовет,2017,1.0
01611000,Завьяловский муниципальный район,2017,36.0
01611411,Гилёвский сельсовет,2017,3.0
01611416,Глубоковский сельсовет,2017,3.0
