oktmo,name,year,outflow
01629493,Чемровский сельсовет,2019,5.0
01630000,Павловский муниципальный район,2019,111.0
01630401,Арбузовский сельсовет,2019,3.0
01630403,Бурановский сельсовет,2019,3.0
01630412,Елунинский сельсовет,2019,1.0
01630432,Колыванский сельсовет,2019,3.0
01630437,Комсомольский сельсовет,2019,13.0
01630449,Лебяжинский сельсовет,2019,3.0
01630455,Новозоринский сельсовет,2019,7.0
01630460,Павловский сельсовет,2019,58.0
01630462,Павлозаводской сельсовет,2019,3.0
01630464,Прутской сельсовет,2019,3.0
01630466,Рогозихинский сельсовет,2019,3.0
01630473,Стуковский сельсовет,2019,3.0
01630482,Черемновский сельсовет,2019,5.0
01630485,Чернопятовский сельсовет,2019,1.0
01630490,Шаховский сельсовет,2019,2.0
01631000,Панкрушихинский муниципальный район,2019,10.0
01631456,Панкрушихинский сельсовет,2019,5.0
01631467,Подойниковский сельсовет,2019,1.0
01631478,Романовский сельсовет,2019,4.0
01632000,Первомайский муниципальный район,2019,98.0
01632412,Баюновоключевский сельсовет,2019,1.0
01632416,Берёзовский сельсовет,2019,36.0
01632420,Бобровский сельсовет,2019,7.0
01632422,Боровихинский сельсовет,2019,7.0
01632425,Жилинский сельсовет,2019,1.0
01632430,Журавлихинский сельсовет,2019,3.0
01632434,Зудиловский сельсовет,2019,14.0
01632449,Первомайский сельсовет,2019,3.0
01632454,Повалихинский сельсовет,2019,2.0
01632461,Рассказихинский сельсовет,2019,1.0
01632472,Санниковский сельсовет,2019,12.0
01632483,Северный сельсовет,2019,3.0
01632494,Сибирский сельсовет,2019,6.0
01632496,Солнечный сельсовет,2019,2.0
01633000,Петропавловский муниципальный район,2019,11.0
01633405,Алексеевский сельсовет,2019,1.0
01633414,Зеленодольский сельсовет,2019,1.0
01633434,Николаевский сельсовет,2019,1.0
01633440,Новообинский сельсовет,2019,1.0
01633457,Петропавловский сельсовет,2019,3.0
01633479,Соловьихинский сельсовет,2019,4.0
01634000,Поспелихинский муниципальный район,2019,11.0
