name,lat,lon
Абакан,53.693963240683466,91.439920785501
Альметьевск,54.89905701389356,52.319997256589566
Анадырь,64.72992362884055,177.49228362395198
Ангарск,52.523445286670544,103.90353587455219
Арзамас,55.396572836989805,43.83965501487432
Армавир,44.98840555679932,41.10774171181664
Артем,43.36568820706975,132.18684173994794
Архангельск,64.59310225794893,40.54933150344135
Астрахань,46.362627424208085,48.03824372631635
Ачинск,56.25986688457436,90.47076740970729
Балаково,52.00858334778671,47.795194991390275
Балашиха,55.77917730467835,37.96868712650832
Барнаул,53.33303487535645,83.75744560513515
Батайск,47.11830857567094,39.75533329408123
Белгород,50.5913553753872,36.57554183698379
Белово,54.38374219627518,86.32104061232013
Бердск,54.745802430628544,83.0761824411731
Березники,59.40706850963137,56.80090305921583
Бийск,52.51025782041496,85.11238410844929
Биробиджан,48.777684931381636,132.91039456084553
Благовещенск,50.354603965759196,127.59625744705845
Братск,56.20126902847307,101.6684943436175
Брянск,53.27155746404392,34.354008644203155
Великий Новгород,58.5641202545473,31.285660426494136
Владивосток,43.18675873022503,132.02709709593088
Владикавказ,43.03630249222442,44.67202150590947
Владимир,56.13037940262912,40.391600739623186
Волгоград,48.7081906,44.5153353
Волгодонск,47.539979770070374,42.20723729631436
Волжский,48.828910067873295,44.75805621443394
Вологда,59.22136261423379,39.8936821071122
Воронеж,51.67117296535711,39.228662521654634
Горно-Алтайск,51.936737747763566,85.9607379171632
Грозный,43.31001630151494,45.66361014323889
Дербент,42.0744966702438,48.2838038180166
Дзержинск,56.27693509710483,43.48876722397855
Димитровград,54.216253153414975,49.59884248042232
Долгопрудный,55.950745688707514,37.501723629483514
Домодедово,55.40837748686871,37.90469916526113
Екатеринбург,56.79062896581387,60.53774146634064
Елец,52.61689722597953,38.512512396467
Ессентуки,44.04803575643464,42.874144632263146
Железногорск,56.24383192232478,93.50725912004363
Железнодорожный,38.54725564958807,68.82612215415824
Жуковский,55.57396400899245,38.125108141400794
Златоуст,55.15855781132723,59.68986895668481
Иваново,57.002414525434084,40.98444021794722
Ижевск,56.85938098823231,53.18439879153223
Иркутск,52.313297205143094,104.27320128849539
Йошкар-Ола,56.640453176236,47.927224009737714
Казань,55.793657369302394,49.13263503022835
Калининград,54.70852633091807,20.451050388291154
Калуга,54.53283440369034,36.263207238834696
Каменск-Уральский,56.40010302706561,61.92726474936863
Камышин,50.075096116660724,45.39463422075933
Каспийск,42.88159680889426,47.622289722522055
Кемерово,55.3796573963344,86.0842123502949
Киров,58.592553686527175,49.654176652167855
Киселевск,54.01315694306037,86.62478796521654
Кисловодск,43.89992358699529,42.72447641362527
Ковров,56.35764226323397,41.31689007821494
Коломна,55.0995509,38.7811165
Комсомольск-на-Амуре,50.57587694878136,137.00380947675256
Копейск,55.13384821451163,61.63143973981035
Королев,55.91286540598071,37.862516789858645
Кострома,57.779994607270396,40.93030583728415
Красногорск,55.825632738219355,37.303165944690974
Краснодар,45.06888381152681,38.979688427635786
Красноярск,56.02109288294613,92.88578455714455
Курган,55.428819864223,65.33453327528618
Курск,51.72826871531082,36.158303481009085
Кызыл,51.68077096908294,94.42532673321041
Ленинск-Кузнецкий,54.668867764587546,86.18971929733178
Липецк,52.59897912549906,39.605922307537476
Люберцы,55.64035162130722,37.918585193720396
Магадан,59.59961145938965,150.8264684444269
Магас,43.16970139262727,44.81641147268211
Магнитогорск,53.40836622621495,59.029753969187524
Майкоп,44.60728752717015,40.104346064632324
Махачкала,42.98341890922934,47.46348500294883
Междуреченск,53.69204815818508,88.08008006550543
Миасс,55.06561544831277,60.11395239134673
Москва,55.74208580764247,37.60307462964595
Мурманск,68.96550216321972,33.11003391187071
Муром,55.56830463156353,42.03049224686842
Мытищи,55.921608445762686,37.75202487929212
Набережные Челны,55.70979202838595,52.383528306911195
Назрань,43.231171863085585,44.76186183927817
Нальчик,43.48581879676258,43.62174168811306
Нарьян-Мар,67.63639165715733,53.02920071621683
Нарьян-мар,67.63639165715733,53.02920071621683
Находка,42.80597084396795,132.92603231787263
Невинномысск,44.63369940171081,41.938558984460514
Нефтекамск,56.0885379831062,54.26731381052987
Нефтеюганск,61.09667866841077,72.59271651941391
Нижневартовск,60.936693758495004,76.5379937737566
Нижнекамск,55.613696969107714,51.86852691673653
Нижний Новгород,56.2952090659009,43.88930977865901
Нижний Тагил,57.93270292385033,59.97427886538834
Новгород,58.5641202545473,31.285660426494136
Новокузнецк,53.79742981863771,87.19245009250008
Новокуйбышевск,53.10636051919294,49.922830203831815
Новомосковск,48.636499489147106,35.22778955889044
Новороссийск,44.72726957192394,37.755847798385425
Новосибирск,54.99461098088609,82.96767758185771
Новочебоксарск,56.09698895849282,47.50185292131736
Новочеркасск,47.42190665775531,40.09328271795501
Новошахтинск,47.78369518026946,39.918567634778675
Новый Уренгой,66.08296586731223,76.7716815519968
Ногинск,55.86559299756641,38.460446833021855
Норильск,69.38294581595048,88.21872558665638
Ноябрьск,63.16380542878197,75.64511373104074
Обнинск,55.10462284093004,36.601144659827256
Одинцово,55.67531374307071,37.28024253257281
Октябрьский,54.49579522802423,53.48886338546005
Омск,54.97888367300085,73.36719757987098
Оренбург,51.79948137308285,55.14907041915494
Орехово-Зуево,55.81203001646856,38.98626499568436
Орск,51.185630860731486,58.55202610074945
Орёл,52.960784955355244,36.08920772028437
Пенза,53.21336488800903,45.03168977669607
Первоуральск,56.90237519476416,59.951653881918794
Пермь,58.03606915845338,56.264672147206994
Петрозаводск,61.78853407699887,34.41396934706695
Петропавловск-Камчатский,53.032976215899566,158.76135764753633
Подольск,55.40322298212577,37.54608890652679
Прокопьевск,53.87527996631875,86.7337247600003
Псков,57.80808456829578,28.364971788309244
Пушкино,56.010156439373375,37.855689866435924
Пятигорск,44.04848065609944,43.04240681622307
Раменское,55.546700627402615,38.25211352367725
Реутов,55.76151660311671,37.862822005293694
Ростов-на-Дону,47.23766124777963,39.68046898708608
Рубцовск,51.51293025560066,81.22102477953725
Рыбинск,58.057787598858866,38.821732688346415
Рязань,54.6386020537662,39.72930139822521
Салават,53.37842099994341,55.90601784764924
Салехард,66.56020226437083,66.64712574462796
Самара,53.26902801503812,50.153320975124416
Санкт-Петербург,59.920901603603156,30.30960716971683
Саранск,54.20382563548176,45.19366647731265
Сарапул,56.472398571686966,53.79135660171344
Саратов,51.5456651888162,45.98483868172077
Северодвинск,64.57905741001072,39.83664792791487
