oktmo,name,year,avgsalary
1622000,Кулундинский муниципальный район,2015,21509.5
1622000,Кулундинский муниципальный район,2016,22479.0
1623000,Курьинский муниципальный район,2011,14275.3
1623000,Курьинский муниципальный район,2012,17035.3
1623000,Курьинский муниципальный район,2013,17855.9
1623000,Курьинский муниципальный район,2014,18617.1
1623000,Курьинский муниципальный район,2015,19714.2
1623000,Курьинский муниципальный район,2016,20872.1
1624000,Кытмановский муниципальный район,2011,10294.7
1624000,Кытмановский муниципальный район,2012,12249.0
1624000,Кытмановский муниципальный район,2013,13412.9
1624000,Кытмановский муниципальный район,2014,15084.5
1624000,Кытмановский муниципальный район,2015,16303.8
1624000,Кытмановский муниципальный район,2016,18178.0
1625000,Локтевский муниципальный район,2011,11601.2
1625000,Локтевский муниципальный район,2012,14293.8
1625000,Локтевский муниципальный район,2013,15680.2
1625000,Локтевский муниципальный район,2014,17238.8
1625000,Локтевский муниципальный район,2015,17685.9
1625000,Локтевский муниципальный район,2016,18557.3
1626000,Мамонтовский муниципальный район,2011,10789.5
1626000,Мамонтовский муниципальный район,2012,13243.7
1626000,Мамонтовский муниципальный район,2013,14627.3
1626000,Мамонтовский муниципальный район,2014,15767.7
1626000,Мамонтовский муниципальный район,2015,16448.8
1626000,Мамонтовский муниципальный район,2016,18194.8
1627000,Михайловский муниципальный район,2011,12573.7
1627000,Михайловский муниципальный район,2012,14476.9
1627000,Михайловский муниципальный район,2013,15148.2
1627000,Михайловский муниципальный район,2014,15977.6
1627000,Михайловский муниципальный район,2015,16516.8
1627000,Михайловский муниципальный район,2016,17530.8
1628000,Новичихинский муниципальный район,2011,11964.9
1628000,Новичихинский муниципальный район,2012,12861.7
1628000,Новичихинский муниципальный район,2013,14432.1
1628000,Новичихинский муниципальный район,2014,15356.1
1628000,Новичихинский муниципальный район,2015,16481.1
1628000,Новичихинский муниципальный район,2016,18272.9
1629000,Зональный муниципальный район,2011,12438.2
1629000,Зональный муниципальный район,2012,15185.7
1629000,Зональный муниципальный район,2013,16312.4
1629000,Зональный муниципальный район,2014,18940.6
1629000,Зональный муниципальный район,2015,20545.8
1629000,Зональный муниципальный район,2016,21348.9
1630000,Павловский муниципальный район,2011,13301.4
1630000,Павловский муниципальный район,2012,14957.4
1630000,Павловский муниципальный район,2013,16602.5
1630000,Павловский муниципальный район,2014,18740.0
1630000,Павловский муниципальный район,2015,19776.1
1630000,Павловский муниципальный район,2016,21233.0
1631000,Панкрушихинский муниципальный район,2011,12194.9
1631000,Панкрушихинский муниципальный район,2012,14246.2
1631000,Панкрушихинский муниципальный район,2013,15855.2
1631000,Панкрушихинский муниципальный район,2014,17675.5
1631000,Панкрушихинский муниципальный район,2015,18396.1
1631000,Панкрушихинский муниципальный район,2016,19640.0
1632000,Первомайский муниципальный район,2011,11807.9
1632000,Первомайский муниципальный район,2012,14075.5
1632000,Первомайский муниципальный район,2013,15610.3
1632000,Первомайский муниципальный район,2014,16933.7
1632000,Первомайский муниципальный район,2015,17461.5
1632000,Первомайский муниципальный район,2016,18431.7
1633000,Петропавловский муниципальный район,2011,12088.5
1633000,Петропавловский муниципальный район,2012,14499.9
1633000,Петропавловский муниципальный район,2013,16020.4
1633000,Петропавловский муниципальный район,2014,19153.0
1633000,Петропавловский муниципальный район,2015,21057.2
1633000,Петропавловский муниципальный район,2016,22840.4
1634000,Поспелихинский муниципальный район,2011,11919.3
1634000,Поспелихинский муниципальный район,2012,13826.2
1634000,Поспелихинский муниципальный район,2013,15432.3
1634000,Поспелихинский муниципальный район,2014,16346.7
1634000,Поспелихинский муниципальный район,2015,17296.7
1634000,Поспелихинский муниципальный район,2016,18335.0
1635000,Ребрихинский муниципальный район,2011,10706.3
1635000,Ребрихинский муниципальный район,2012,12398.5
1635000,Ребрихинский муниципальный район,2013,13988.2
1635000,Ребрихинский муниципальный район,2014,15360.7
1635000,Ребрихинский муниципальный район,2015,15701.4
1635000,Ребрихинский муниципальный район,2016,16581.7
1636000,Родинский муниципальный район,2011,10284.5
1636000,Родинский муниципальный район,2012,12118.8
1636000,Родинский муниципальный район,2013,13496.4
1636000,Родинский муниципальный район,2014,14989.6
1636000,Родинский муниципальный район,2015,15790.0
1636000,Родинский муниципальный район,2016,16282.1
1637000,Романовский муниципальный район,2011,10457.0
1637000,Романовский муниципальный район,2012,11826.8
1637000,Романовский муниципальный район,2013,13135.4
1637000,Романовский муниципальный район,2014,14563.6
1637000,Романовский муниципальный район,2015,15137.2
1637000,Романовский муниципальный район,2016,17167.5
1638000,Рубцовский муниципальный район,2011,15374.5
1638000,Рубцовский муниципальный район,2012,17900.7
1638000,Рубцовский муниципальный район,2013,20003.5
1638000,Рубцовский муниципальный район,2014,22465.4
1638000,Рубцовский муниципальный район,2015,20681.3
1638000,Рубцовский муниципальный район,2016,22476.2
1639000,Славгородский муниципальный район,2011,9825.7
1640000,Смоленский муниципальный район,2011,10928.6
1640000,Смоленский муниципальный район,2012,12423.4
1640000,Смоленский муниципальный район,2013,14136.8
1640000,Смоленский муниципальный район,2014,15863.5
1640000,Смоленский муниципальный район,2015,16691.0
