saldo,popsize,avgemployers,avgsalary,shoparea,foodseats,retailturnover,livarea,sportsvenue,servicesnum,roadslen,livestock,harvest,agrprod,hospitals,beforeschool,clust,migprop,profile
-131.9999999999999,21082.49999999999,3205.499999999998,18776.834895,10615.99999999999,374.9999999999997,402381.0097799999,28.2,72.99999999999997,42.0,397.6,54281.49999999997,20091.35,1769447.75633,28.0,1064.5,0,-0.0062611170401992156,сельхоз (худший)
-136.4999999999999,37339.5,5733.499999999999,20163.593235,20119.1,837.9999999999997,863091.3743049997,27.7,113.0,81.99999999999997,518.4499999999999,70616.49999999997,58160.70999999999,3101388.821299999,38.0,1883.5,1,-0.0036556461655887166,сельхоз (посев)
-123.9999999999999,33927.99999999999,7273.499999999999,25222.13974,25507.35,803.4999999999998,1126571.278815,26.4,82.99999999999997,90.99999999999999,237.0,7387.999999999967,10789.85,225055.5624999995,14.0,2026.0,2,-0.0036547983966045724,гибрид (средний)
-118.0,25375.5,3848.499999999999,19132.08178,12188.05,424.9999999999998,456426.9531249998,28.07,84.99999999999999,48.99999999999999,391.7499999999999,258668.0,20946.89999999999,3187854.47325,26.0,1100.0,3,-0.004650154676755138,сельхоз (скот)
-172.9999999999999,64629.0,13519.0,23669.99793,51484.7,1559.0,2464928.67873,25.8,134.0,184.0,383.3999999999999,18232.99999999997,27030.50999999999,525879.8519999998,28.99999999999999,3585.0,4,-0.002676816908818021,гибрид (лучший)
-80.99999999999997,12197.5,1923.0,18776.70134,6514.349999999997,199.9999999999999,260209.4672899999,30.395,41.0,23.99999999999999,277.1499999999998,18516.49999999999,8243.81499999999,479448.1885999996,16.0,629.9999999999997,5,-0.006640705062512808,сельхоз (худший)
