oktmo,year,name,clust,saldo,popsize,avgemployers,avgsalary,shoparea,foodseats,retailturnover,livarea,sportsvenue,servicesnum,roadslen,livestock,harvest,agrprod,hospitals,beforeschool
1512000,2022,Залесовский муниципальный округ,1,-0.1280788177339901,0.0985916562851326,0.0496924876429083,0.3090862130071123,0.1320365332819453,0.0750352609308885,0.0756046585033428,0.4613143412107478,0.1191860465116279,0.1432835820895522,0.2112091038406827,0.0250175750356382,0.0704499076099637,0.0607748497908003,0.1818181818181818,0.0992175794905943
1602000,2014,Алтайский муниципальный район,5,0.2157635467980295,0.1971149463705144,0.1390785948760517,0.3286298253682956,0.174899950255222,0.3940761636107193,0.1382332212997411,0.3366785367432826,0.4069767441860465,0.217910447761194,0.4688477951635846,0.1962643285359995,0.2842232333141347,0.1627347397631039,0.2386363636363636,0.1984351589811886
1602000,2015,Алтайский муниципальный район,5,-0.0522167487684729,0.1988013126310352,0.1265139795494849,0.2947051308056901,0.1941738109429548,0.4245416078984485,0.1164429723535868,0.3431531239883457,0.4011627906976744,0.2417910447761194,0.4688477951635846,0.1889145462711632,0.2793673044812998,0.1640728370352389,0.2386363636363636,0.2012651906109538
1602000,2016,Алтайский муниципальный район,5,-0.0137931034482758,0.1981860168332776,0.1252311059125382,0.2936710867304673,0.1947676112199122,0.4428772919605077,0.1315461028689803,0.3496277112334089,0.3226744186046512,0.2208955223880597,0.4688477951635846,0.1933888574274053,0.3313415624238449,0.1691412609848402,0.2272727272727272,0.1869485600133178
1602000,2017,Алтайский муниципальный район,5,-0.0413793103448275,0.1976694722129379,0.1223257744406293,0.2994146544203508,0.202473570285786,0.398589562764457,0.1488011055357028,0.3561022984784719,0.3226744186046512,0.2417910447761194,0.3478236130867709,0.1972285145189322,0.2900489962284055,0.1487804327118271,0.2159090909090909,0.1959380722490427
1602000,2018,Алтайский муниципальный район,5,0.0689655172413793,0.1966363829722585,0.110855374863223,0.3308079479585536,0.1781961019812762,0.504654442877292,0.1362028132941995,0.3625768857235351,0.3284883720930232,0.191044776119403,0.3654623044096728,0.1852335526958151,0.2749327556293953,0.1449471161422826,0.2159090909090909,0.1847844181787914
1602000,2019,Алтайский муниципальный район,5,0.1497536945812808,0.196431284373006,0.105874806625665,0.345609458259325,0.1858706904664805,0.5052186177715091,0.1810502354699718,0.3690514729685982,0.2063953488372093,0.1641791044776119,0.3654623044096728,0.1825460368294635,0.2920337729532049,0.1508134012810164,0.2159090909090909,0.1847844181787914
1602000,2020,Алтайский муниципальный район,5,0.3842364532019704,0.1970389839263468,0.1081009697015432,0.3544297610311139,0.1902670532717275,0.4990126939351199,0.1980580532454461,0.3722887665911298,0.2063953488372093,0.1522388059701492,0.3654623044096728,0.1799048995293796,0.2615019563677611,0.1559158648990112,0.2159090909090909,0.1804561345097386
1602000,2021,Алтайский муниципальный район,5,0.3211822660098522,0.1986645802315335,0.1048937856091763,0.338613104572218,0.1961882503730858,0.296755994358251,0.1936088207474561,0.3771447070249271,0.2063953488372093,0.1522388059701492,0.3667709815078236,0.1807275088363373,0.3605326959666422,0.1701785438942337,0.1931818181818181,0.1811220243049775
1602000,2022,Алтайский муниципальный район,5,0.2472906403940886,0.1990975661632888,0.1021771120250537,0.3125658031964869,0.1859715244757751,0.2995768688293371,0.1865009925763996,0.3868565878925218,0.2122093023255813,0.1671641791044776,0.3659174964438123,0.1762190239996875,0.3279081250186151,0.1515754135444485,0.1704545454545454,0.1767937406359247
1603000,2014,Баевский муниципальный район,1,-0.1783251231527093,0.0755522469690984,0.0542202769497792,0.3202359901923714,0.0703485271512375,0.0186177715091678,0.0233712595053015,0.4273227581741664,0.1656976744186046,0.1641791044776119,0.2196301564722617,0.1180188052881329,0.059588174546873,0.0879021998024216,0.1477272727272727,0.0632595305476943
1603000,2015,Баевский муниципальный район,1,-0.1536945812807881,0.0736683783537419,0.0511640191676414,0.2916536127964108,0.0638223259941112,0.0186177715091678,0.0244578592461583,0.4370346390417611,0.1366279069767441,0.1641791044776119,0.2196301564722617,0.1087601788748071,0.0436046550464182,0.1350235320830435,0.125,0.0632595305476943
1603000,2016,Баевский муниципальный район,1,-0.1073891625615763,0.0722478806478077,0.0427121457948156,0.3013965636950911,0.0642088563630741,0.0186177715091678,0.0255687883945638,0.4418905794755584,0.1366279069767441,0.1343283582089552,0.2196301564722617,0.1032899490323966,0.0564029914049328,0.1587180093977026,0.125,0.0765773264524721
1603000,2017,Баевский муниципальный район,1,-0.0620689655172413,0.0711160402297104,0.0407878353393955,0.3062307260065673,0.0675475824486082,0.005641748942172,0.028831544491033,0.4483651667206215,0.0959302325581395,0.1164179104477611,0.2196301564722617,0.10100275342225,0.0702080974269494,0.1184817730106286,0.1022727272727272,0.0737472948227068
1603000,2018,Баевский муниципальный район,1,-0.1389162561576354,0.0701741059220321,0.0374674565143568,0.3514539428142066,0.0656978385669918,0.0078984485190409,0.0250304456921365,0.459695694399482,0.1046511627906976,0.0955223880597015,0.2196301564722617,0.0966382862387471,0.0468681101878001,0.1166898329155033,0.1022727272727272,0.0739137672715165
1603000,2019,Баевский муниципальный район,1,-0.1162561576354679,0.0685029321503448,0.0386371354186318,0.3561454146022249,0.066437287968486,0.0112834978843441,0.0228330614736523,0.4710262220783425,0.1046511627906976,0.0895522388059701,0.2196301564722617,0.085299947274893,0.0542043812358755,0.118868692996833,0.1022727272727272,0.0715831529881804
