oktmo,year,name,clust,saldo,popsize,avgemployers,avgsalary,shoparea,foodseats,retailturnover,livarea,sportsvenue,servicesnum,roadslen,livestock,harvest,agrprod,hospitals,beforeschool
1512000,2022,Залесовский муниципальный округ,5,-0.1280788177339901,0.0985916562851326,0.5040232562803778,0.3090862130071123,1.339226241418323,0.7610711064015632,0.7668464183692166,0.4613143412107478,1.2088857313334422,1.4533033269587037,0.2112091038406827,0.253749414283963,0.7145625731879238,0.6164299503706077,0.1818181818181818,1.0063486427659913
1602000,2014,Алтайский муниципальный район,0,0.2157635467980295,0.1971149463705144,0.7055710256219103,0.3286298253682956,0.8872992813364078,1.9992201041415674,0.7012822916021088,0.3366785367432826,2.0646670974460637,1.1054993635621653,0.4688477951635846,0.995684660903816,1.4419161943198562,0.825582954309378,0.2386363636363636,1.0066976788669928
1602000,2015,Алтайский муниципальный район,0,-0.0522167487684729,0.1988013126310352,0.636384025211585,0.2947051308056901,0.9767229822236194,2.1355070662253395,0.5857253697801224,0.3431531239883457,2.01790815859557,1.2162447097362525,0.4688477951635846,0.9502681032181043,1.4052588525901277,0.8253106323284166,0.2386363636363636,1.0123936705814987
1602000,2016,Алтайский муниципальный район,0,-0.0137931034482758,0.1981860168332776,0.6318866886450816,0.2936710867304673,0.9827515297598362,2.2346545888405167,0.663750677120891,0.3496277112334089,1.6281391783361712,1.1145868205923242,0.4688477951635846,0.9757946625976752,1.6718715463290394,0.8534469973586932,0.2272727272727272,0.9432984375006981
1602000,2017,Алтайский муниципальный район,0,-0.0413793103448275,0.1976694722129379,0.6188399911790871,0.2994146544203508,1.024303692517947,2.0164447160312116,0.7527773705765146,0.3561022984784719,1.6323937884401931,1.2232088347747085,0.3478236130867709,0.9977692170213786,1.4673434040232196,0.7526727877917058,0.2159090909090909,0.9912409339463907
1602000,2018,Алтайский муниципальный район,0,0.0689655172413793,0.1966363829722585,0.5637582078534393,0.3308079479585536,0.9062214188836871,2.5664347322158014,0.692663337452739,0.3625768857235351,1.670537095565709,0.9715637219911415,0.3654623044096728,0.9420105775742829,1.3981784625695788,0.7371327419236132,0.2159090909090909,0.9397264910271506
1602000,2019,Алтайский муниципальный район,0,0.1497536945812808,0.196431284373006,0.5389915713457226,0.345609458259325,0.9462377190057372,2.5719865314943555,0.9216975597745065,0.3690514729685982,1.0507254457761546,0.8358093518639831,0.3654623044096728,0.9293124433418883,1.4866968562841447,0.7677667117149976,0.2159090909090909,0.9407076819184351
1602000,2020,Алтайский муниципальный район,0,0.3842364532019704,0.1970389839263468,0.5486273200736326,0.3544297610311139,0.9656315185976058,2.5325581973242963,1.0051719172459812,0.3722887665911298,1.0474848414482278,0.7726329223614757,0.3654623044096728,0.9130421602083986,1.3271584696432994,0.7912945032100478,0.2159090909090909,0.9158397537067747
1602000,2021,Алтайский муниципальный район,0,0.3211822660098522,0.1986645802315335,0.5279943988351014,0.338613104572218,0.9875351214818381,1.493753914323313,0.9745512789537765,0.3771447070249271,1.038913673472473,0.7663107625562774,0.3667709815078236,0.9097117796524601,1.8147809516243896,0.8566124051700572,0.1931818181818181,0.9116976166254144
1602000,2022,Алтайский муниципальный район,0,0.2472906403940886,0.1990975661632888,0.5132012108136655,0.3125658031964869,0.9340723146924437,1.5046736863857026,0.9367316545870873,0.3868565878925218,1.0658558334738204,0.8396093549801548,0.3659174964438123,0.8850887903630243,1.646972041585295,0.761312237338626,0.1704545454545454,0.8879753984080763
1603000,2014,Баевский муниципальный район,5,-0.1783251231527093,0.0755522469690984,0.717652738666473,0.3202359901923714,0.9311242216265352,0.24642247260736863,0.3093390394445922,0.4273227581741664,2.193153493983793,2.173053894012745,0.2196301564722617,1.5620820031521196,0.7887015533931788,1.163462416126081,0.1477272727272727,0.8372951577941561
1603000,2015,Баевский муниципальный район,5,-0.1536945812807881,0.0736683783537419,0.6945180593220236,0.2916536127964108,0.8663462861588755,0.25272405780087503,0.3319994248918606,0.4370346390417611,1.8546343767835123,2.228623843045034,0.2196301564722617,1.4763482148685407,0.5919046410528643,1.8328560381047823,0.125,0.8587067064776933
1603000,2016,Баевский муниципальный район,5,-0.1073891625615763,0.0722478806478077,0.5911889097900018,0.3013965636950911,0.8887299639428587,0.2576929778732927,0.353903646242662,0.4418905794755584,1.8910991679157299,1.859270569662465,0.2196301564722617,1.4296606088130401,0.7806871412586455,2.1968534990170503,0.125,1.0599248831362886
1603000,2017,Баевский муниципальный район,5,-0.0620689655172413,0.0711160402297104,0.5735391791731878,0.3062307260065673,0.9498220405751531,0.07933159557181065,0.40541549273419675,0.4483651667206215,1.3489253936000558,1.6370133948926586,0.2196301564722617,1.420252774142137,0.9872329392943102,1.6660344505673146,0.1022727272727272,1.0369994530699016
1603000,2018,Баевский муниципальный район,5,-0.1389162561576354,0.0701741059220321,0.5339213948231208,0.3514539428142066,0.9362119788171761,0.11255502888510725,0.35669062488586484,0.459695694399482,1.4913073906060406,1.3612198802480353,0.2196301564722617,1.3771217312853032,0.667883253687244,1.6628616978056425,0.1022727272727272,1.0532911862623429
1603000,2019,Баевский муниципальный район,5,-0.1162561576354679,0.0685029321503448,0.5640216295243258,0.3561454146022249,0.9698459012334643,0.16471554618392065,0.333315096987967,0.4710262220783425,1.527688808429653,1.307275995273136,0.2196301564722617,1.2452014037542722,0.7912709651159462,1.7352351098774785,0.1022727272727272,1.044964802836109
