oktmo,name,year,saldo
29615000,Износковский муниципальный район,2008,-23.0
29616000,Козельский муниципальный район,2008,-610.0
29616101,город Козельск,2008,-364.0
29616104,город Сосенский,2008,-95.0
29618000,Куйбышевский муниципальный район,2008,20.0
29620000,Людиновский муниципальный район,2008,34.0
29620101,город Людиново,2008,-20.0
29623000,Малоярославецкий муниципальный район,2008,-183.0
29623101,город Малоярославец,2008,-141.0
29625000,Медынский муниципальный район,2008,79.0
29625101,город Медынь,2008,47.0
29627000,Мещовский муниципальный район,2008,98.0
29627101,город Мещовск,2008,8.0
29629000,Мосальский муниципальный район,2008,-23.0
29629101,город Мосальск,2008,12.0
29632000,Перемышльский муниципальный район,2008,-196.0
29634000,Спас-Деменский муниципальный район,2008,29.0
29634101,город Спас-Деменск,2008,37.0
29636000,Сухиничский муниципальный район,2008,37.0
29636101,город Сухиничи,2008,-4.0
29636157,поселок Середейский,2008,-5.0
29638000,Тарусский муниципальный район,2008,96.0
29638101,город Таруса,2008,58.0
29642000,Ульяновский муниципальный район,2008,7.0
29644000,Ферзиковский муниципальный район,2008,476.0
29644403,поселок Дугна,2008,5.0
29646000,Хвастовичский муниципальный район,2008,-40.0
29650000,Юхновский муниципальный район,2008,-176.0
29650101,город Юхнов,2008,-122.0
29701000,город Калуга,2008,1700.0
29715000,город Обнинск,2008,299.0
57604000,Бардымский муниципальный район,2008,224.0
57605000,Александровский муниципальный район,2008,-156.0
57606000,Березовский муниципальный район,2008,-59.0
57608000,Большесосновский муниципальный район,2008,-33.0
57612000,Верещагинский муниципальный район,2008,119.0
57614000,Горнозаводский муниципальный район,2008,-254.0
57615000,Гремячинский муниципальный район,2008,-147.0
57616000,Добрянский муниципальный район,2008,173.0
57617000,Губахинский муниципальный район,2008,-373.0
57618000,Еловский муниципальный район,2008,-96.0
57620000,Ильинский муниципальный район,2008,83.0
57622000,Карагайский муниципальный район,2008,-229.0
57623000,Кизеловский муниципальный район,2008,-88.0
57624000,Кишертский муниципальный район,2008,21.0
57626000,Красновишерский муниципальный район,2008,-101.0
57627000,Краснокамский муниципальный район,2008,394.0
57628000,Куединский муниципальный район,2008,-127.0
