oktmo,name,year,saldo
1632425,Жилинский сельсовет,2018,0.0
1632430,Журавлихинский сельсовет,2018,0.0
1632434,Зудиловский сельсовет,2018,6.0
1632449,Первомайский сельсовет,2018,1.0
1632454,Повалихинский сельсовет,2018,0.0
1632472,Санниковский сельсовет,2018,14.0
1632494,Сибирский сельсовет,2018,12.0
1633000,Петропавловский муниципальный район,2018,12.0
1633407,Антоньевский сельсовет,2018,2.0
1633414,Зеленодольский сельсовет,2018,1.0
1634000,Поспелихинский муниципальный район,2018,26.0
1634439,Клепечихинский сельсовет,2018,3.0
1634478,Николаевский сельсовет,2018,0.0
1634495,Поспелихинский Центральный сельсовет,2018,19.0
1635000,Ребрихинский муниципальный район,2018,12.0
1635407,Беловский сельсовет,2018,3.0
1635456,Пановский сельсовет,2018,1.0
1635464,Ребрихинский сельсовет,2018,-1.0
1637000,Романовский муниципальный район,2018,1.0
1637407,Гилёв-Логовской сельсовет,2018,0.0
1637468,Романовский сельсовет,2018,3.0
1638000,Рубцовский муниципальный район,2018,94.0
1638406,Безрукавский сельсовет,2018,7.0
1638415,Большешелковниковский сельсовет,2018,2.0
1638418,Веселоярский сельсовет,2018,20.0
1638420,Вишнёвский сельсовет,2018,5.0
1638422,Дальний сельсовет,2018,9.0
1638425,Куйбышевский сельсовет,2018,29.0
1638437,Новоалександровский сельсовет,2018,16.0
1638440,Новониколаевский сельсовет,2018,0.0
1638447,Новосклюихинский сельсовет,2018,-1.0
1638451,Половинкинский сельсовет,2018,-3.0
1638460,Ракитовский сельсовет,2018,-3.0
1638462,Рубцовский сельсовет,2018,3.0
1638465,Самарский сельсовет,2018,0.0
1638467,Саратовский сельсовет,2018,0.0
1640000,Смоленский муниципальный район,2018,5.0
1641000,Суетский муниципальный район,2018,3.0
1641413,Верх-Суетский сельсовет,2018,3.0
1642000,Советский муниципальный район,2018,-2.0
1642420,Красноярский сельсовет,2018,0.0
1642452,Советский сельсовет,2018,-1.0
1643000,Солонешенский муниципальный район,2018,3.0
1643450,Солонешенский сельсовет,2018,2.0
1643470,Тополинский сельсовет,2018,2.0
1645000,Шелаболихинский муниципальный район,2018,-1.0
1646000,Табунский муниципальный район,2018,6.0
1646466,Табунский сельсовет,2018,2.0
1647000,Тальменский муниципальный район,2018,-11.0
1647151,Тальменский поссовет,2018,-6.0
1647406,Анисимовский сельсовет,2018,-5.0
1647415,Зайцевский сельсовет,2018,0.0
1647448,Луговской сельсовет,2018,6.0
1647456,Новоозёрский сельсовет,2018,-11.0
1647462,Новотроицкий сельсовет,2018,-3.0
1647466,Озёрский сельсовет,2018,3.0
1647473,Среднесибирский сельсовет,2018,5.0
1647475,Староперуновский сельсовет,2018,1.0
1647482,Шадринцевский сельсовет,2018,2.0
1648000,Тогульский муниципальный район,2018,-7.0
1648446,Тогульский сельсовет,2018,-3.0
1649000,Топчихинский муниципальный район,2018,5.0
1649403,Белояровский сельсовет,2018,-3.0
1649447,Парфёновский сельсовет,2018,3.0
1649450,Переясловский сельсовет,2018,3.0
1649460,Сидоровский сельсовет,2018,0.0
1649462,Топчихинский сельсовет,2018,-5.0
1649475,Хабазинский сельсовет,2018,2.0
1649491,Чистюньский сельсовет,2018,10.0
1650000,Третьяковский муниципальный район,2018,39.0
1650422,Корболихинский сельсовет,2018,3.0
1650455,Плосковский сельсовет,2018,3.0
1650460,Садовый сельсовет,2018,-1.0
1650466,Староалейский сельсовет,2018,11.0
1650477,Третьяковский сельсовет,2018,13.0
1651000,Троицкий муниципальный район,2018,17.0
1651414,Гордеевский сельсовет,2018,-2.0
1651430,Заводской сельсовет,2018,0.0
1651457,Троицкий сельсовет,2018,9.0
1652000,Тюменцевский муниципальный район,2018,-7.0
1652432,Ключевской сельсовет,2018,0.0
1652458,Тюменцевский сельсовет,2018,3.0
1652469,Черемшанский сельсовет,2018,-1.0
1653000,Угловский муниципальный район,2018,-11.0
1653422,Лаптевский сельсовет,2018,-1.0
1653455,Озёрно-Кузнецовский сельсовет,2018,-1.0
1653466,Павловский сельсовет,2018,1.0
1653480,Тополинский сельсовет,2018,-6.0
1653488,Угловский сельсовет,2018,-1.0
1656000,Хабарский муниципальный район,2018,7.0
1656493,Хабарский сельсовет,2018,2.0
1658000,Чарышский муниципальный район,2018,8.0
1658420,Краснопартизанский сельсовет,2018,3.0
1658422,Малобащелакский сельсовет,2018,0.0
1658466,Сентелекский сельсовет,2018,0.0
1658488,Чарышский сельсовет,2018,4.0
1659000,Шипуновский муниципальный район,2018,0.0
1659495,Шипуновский сельсовет,2018,-6.0
1660000,Немецкий национальный муниципальный район,2018,8.0
1660405,Гришковский сельсовет,2018,-1.0
1660410,Дегтярский сельсовет,2018,1.0
1660415,Камышинский сельсовет,2018,-3.0
1660420,Гальбштадтский сельсовет,2018,-3.0
1660425,Николаевский сельсовет,2018,6.0
1660430,Орловский сельсовет,2018,8.0
1660435,Подсосновский сельсовет,2018,7.0
1660440,Полевской сельсовет,2018,6.0
1660445,Протасовский сельсовет,2018,-5.0
1660450,Редкодубравский сельсовет,2018,0.0
1660470,Кусакский сельсовет,2018,-5.0
1701000,город Барнаул,2018,809.0
1703000,город Алейск,2018,2.0
1704000,город Белокуриха,2018,18.0
1705000,город Бийск,2018,43.0
1706000,город Заринск,2018,-22.0
1713000,город Новоалтайск,2018,117.0
1716000,город Рубцовск,2018,136.0
1719000,город Славгород,2018,-43.0
1730000,город Яровое,2018,-1.0
1755000,ЗАТО Сибирский,2018,4.0
3601000,Абинский муниципальный район,2018,-20.0
3601101,Абинское,2018,-1.0
3601153,Ахтырское,2018,-21.0
3601401,Варнавинское,2018,0.0
3601403,Мингрельское,2018,2.0
3601405,Светлогорское,2018,-4.0
3601406,Федоровское,2018,0.0
3601408,Холмское,2018,4.0
3605000,Апшеронский муниципальный район,2018,27.0
3605101,Апшеронское,2018,-32.0
3605109,Хадыженское,2018,14.0
3605157,Нефтегорское,2018,-16.0
3605407,Кабардинское,2018,5.0
3605410,Кубанское,2018,33.0
3605413,Куринское,2018,1.0
3605416,Мезмайское,2018,4.0
3605419,Новополянское,2018,-2.0
3605431,Тверское,2018,18.0
3605434,Черниговское,2018,2.0
