oktmo,name,year,saldo
1601000,Алейский муниципальный район,2020,10.0
1601402,Алейский сельсовет,2020,0.0
1601417,Боровской сельсовет,2020,3.0
1601468,Осколковский сельсовет,2020,3.0
1601477,Совхозный сельсовет,2020,1.0
1601498,Чапаевский сельсовет,2020,1.0
1604000,Бийский муниципальный район,2020,-11.0
1604410,Большеугреневский сельсовет,2020,1.0
1604415,Верх-Бехтемирский сельсовет,2020,-5.0
1604417,Верх-Катунский сельсовет,2020,-4.0
1604422,Енисейский сельсовет,2020,1.0
1604424,Заринский сельсовет,2020,-1.0
1604437,Лесной сельсовет,2020,1.0
1604455,Малоенисейский сельсовет,2020,2.0
1604459,Малоугреневский сельсовет,2020,-5.0
1604464,Новиковский сельсовет,2020,1.0
1604470,Первомайский сельсовет,2020,4.0
1604480,Светлоозёрский сельсовет,2020,4.0
1604483,Сростинский сельсовет,2020,-7.0
1604488,Усятский сельсовет,2020,0.0
1604495,Шебалинский сельсовет,2020,-2.0
1605000,Благовещенский муниципальный район,2020,19.0
1605151,Благовещенский поссовет,2020,6.0
1605157,Степноозёрский поссовет,2020,5.0
1605420,Гляденьский сельсовет,2020,-4.0
1605436,Леньковский сельсовет,2020,7.0
1605447,Нижнекучукский сельсовет,2020,0.0
1605458,Орлеанский сельсовет,2020,-1.0
1605494,Яготинский сельсовет,2020,3.0
1606000,Бурлинский муниципальный район,2020,-8.0
1606411,Бурлинский сельсовет,2020,-3.0
1606466,Партизанский сельсовет,2020,-5.0
1606477,Устьянский сельсовет,2020,1.0
1607000,Быстроистокский муниципальный район,2020,0.0
1607403,Акутихинский сельсовет,2020,1.0
1607405,Быстроистокский сельсовет,2020,0.0
1608000,Волчихинский муниципальный район,2020,-11.0
1608421,Волчихинский сельсовет,2020,-5.0
1608423,Востровский сельсовет,2020,-4.0
1608478,Солоновский сельсовет,2020,-2.0
1609000,Егорьевский муниципальный район,2020,14.0
1609433,Новоегорьевский сельсовет,2020,9.0
1610000,Ельцовский муниципальный район,2020,8.0
1611000,Завьяловский муниципальный район,2020,-37.0
1611434,Завьяловский сельсовет,2020,-10.0
1612000,Залесовский муниципальный район,2020,-4.0
1612426,Залесовский сельсовет,2020,-2.0
1613000,Заринский муниципальный район,2020,-3.0
1613494,Шпагинский сельсовет,2020,1.0
1614000,Змеиногорский муниципальный район,2020,20.0
1614101,город Змеиногорск,2020,15.0
1614422,Барановский сельсовет,2020,0.0
1614433,Карамышевский сельсовет,2020,-4.0
1614444,Кузьминский сельсовет,2020,3.0
