oktmo,name,gender,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69
1601000,Алейский муниципальный район,female,2015,530,397,370,331,167,259,418,447,470,468,1563,895,699,390
1601000,Алейский муниципальный район,male,2015,557,454,410,348,236,417,390,425,474,436,1454,844,583,346
1602000,Алтайский муниципальный район,female,2015,885,791,738,713,744,823,975,927,852,750,2096,1255,1077,689
1602000,Алтайский муниципальный район,male,2015,980,898,784,697,796,876,971,893,755,650,1831,1059,863,515
1603000,Баевский муниципальный район,female,2015,346,298,268,239,114,195,301,298,315,302,988,576,429,250
1603000,Баевский муниципальный район,male,2015,346,299,254,214,125,225,282,295,319,288,907,541,309,202
1604000,Бийский муниципальный район,female,2015,1223,962,802,707,706,939,1069,1179,1045,1018,2776,1662,1515,998
1604000,Бийский муниципальный район,male,2015,1286,988,893,754,836,1092,1105,1062,969,863,2442,1433,1174,683
1605000,Благовещенский муниципальный район,female,2015,974,882,820,772,728,868,1107,1086,918,858,2521,1450,1162,770
1605000,Благовещенский муниципальный район,male,2015,1057,948,848,705,781,1020,1026,975,993,754,2169,1225,869,538
1606000,Бурлинский муниципальный район,female,2015,369,347,348,234,138,256,352,412,361,340,1019,572,414,272
1606000,Бурлинский муниципальный район,male,2015,371,331,380,260,166,278,335,371,355,340,925,510,351,215
1607000,Быстроистокский муниципальный район,female,2015,342,286,265,189,122,179,261,304,311,275,836,499,484,299
1607000,Быстроистокский муниципальный район,male,2015,340,309,286,239,180,188,285,270,303,253,742,457,410,233
1608000,Волчихинский муниципальный район,female,2015,626,595,531,420,428,523,609,677,639,550,1489,833,710,444
1608000,Волчихинский муниципальный район,male,2015,641,618,584,440,401,579,597,630,600,506,1351,771,533,349
1609000,Егорьевский муниципальный район,female,2015,469,425,377,368,253,335,427,461,469,420,1160,710,528,392
1609000,Егорьевский муниципальный район,male,2015,438,365,422,436,318,345,416,472,410,388,1078,646,456,296
1610000,Ельцовский муниципальный район,female,2015,180,192,155,124,54,153,178,200,205,197,606,348,330,195
1610000,Ельцовский муниципальный район,male,2015,215,172,170,131,101,141,194,208,192,167,536,307,244,144
1611000,Завьяловский муниципальный район,female,2015,549,557,527,442,191,402,635,673,680,543,1782,996,735,510
1611000,Завьяловский муниципальный район,male,2015,649,576,582,491,258,419,530,623,631,532,1618,922,630,374
1612000,Залесовский муниципальный район,female,2015,535,408,407,305,211,325,444,496,478,440,1294,760,587,379
1612000,Залесовский муниципальный район,male,2015,514,435,413,312,279,412,476,442,483,461,1238,711,495,302
1613000,Заринский муниципальный район,female,2015,666,589,483,427,406,614,615,701,576,548,1565,962,742,483
1613000,Заринский муниципальный район,male,2015,683,578,534,444,352,690,666,730,626,533,1533,903,664,373
