oktmo,name,gender,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69
1601000,Алейский муниципальный район,female,2020,327,486,377,285,361,111,182,390,424,466,1102,746,816,616
1601000,Алейский муниципальный район,male,2020,377,515,473,315,350,209,357,329,420,466,989,645,728,464
1602000,Алтайский муниципальный район,female,2020,750,847,802,725,670,635,806,1009,940,865,1665,1029,1220,1020
1602000,Алтайский муниципальный район,male,2020,783,950,901,746,597,817,814,943,888,767,1377,875,964,761
1603000,Баевский муниципальный район,female,2020,244,319,269,207,198,90,158,262,281,295,691,451,535,396
1603000,Баевский муниципальный район,male,2020,274,312,278,210,198,100,187,253,270,312,643,408,450,258
1604000,Бийский муниципальный район,female,2020,858,1169,926,672,685,609,781,971,1116,1013,2076,1287,1565,1392
1604000,Бийский муниципальный район,male,2020,935,1214,938,654,775,839,990,1024,1003,890,1751,1120,1282,1000
1605000,Благовещенский муниципальный район,female,2020,720,963,873,711,756,660,793,1043,1058,912,1868,1213,1349,1075
1605000,Благовещенский муниципальный район,male,2020,736,1060,952,690,511,831,1003,954,918,945,1578,1002,1073,707
1606000,Бурлинский муниципальный район,female,2020,223,350,345,254,265,87,206,313,380,354,758,492,541,360
1606000,Бурлинский муниципальный район,male,2020,248,350,317,283,298,156,234,311,333,328,697,461,433,287
1607000,Быстроистокский муниципальный район,female,2020,204,322,265,229,163,85,135,247,285,299,569,368,447,438
1607000,Быстроистокский муниципальный район,male,2020,227,313,291,228,221,187,146,258,257,285,521,328,382,342
1608000,Волчихинский муниципальный район,female,2020,459,583,584,437,388,345,446,565,651,616,1147,734,768,634
1608000,Волчихинский муниципальный район,male,2020,520,614,597,468,404,387,525,550,595,579,1009,605,661,443
1609000,Егорьевский муниципальный район,female,2020,366,449,425,372,264,186,286,389,424,448,859,513,665,467
1609000,Егорьевский муниципальный район,male,2020,366,449,372,447,308,300,318,373,447,365,759,478,568,367
1610000,Ельцовский муниципальный район,female,2020,149,188,201,129,104,57,138,183,199,208,468,294,343,301
1610000,Ельцовский муниципальный район,male,2020,170,218,191,142,121,112,124,201,189,191,396,265,277,223
1611000,Завьяловский муниципальный район,female,2020,404,527,534,444,440,166,347,598,646,688,1315,896,954,667
1611000,Завьяловский муниципальный район,male,2020,434,636,571,483,494,271,355,490,584,602,1143,745,849,513
1612000,Залесовский муниципальный район,female,2020,350,515,403,348,305,159,280,427,485,476,992,611,716,535
1612000,Залесовский муниципальный район,male,2020,415,498,422,429,288,282,379,465,430,474,940,577,616,423
1613000,Заринский муниципальный район,female,2020,316,598,543,386,423,295,483,533,639,536,1064,659,869,647
1613000,Заринский муниципальный район,male,2020,394,573,539,414,412,324,578,602,664,607,1052,667,768,540
1614000,Змеиногорский муниципальный район,female,2020,495,654,604,458,458,254,525,682,682,598,1207,783,1020,818
1614000,Змеиногорский муниципальный район,male,2020,559,729,645,440,368,486,577,701,638,605,1022,645,871,587
1615000,Калманский муниципальный район,female,2020,381,431,353,281,282,190,321,362,436,407,832,538,668,582
1615000,Калманский муниципальный район,male,2020,407,462,356,297,230,227,495,466,479,470,784,472,517,385
