oktmo,name,gender,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69
4637000,Назаровский муниципальный район,female,2012,849,770,782,622,847,935,917,805,683,820,1673,898,660,257
4637000,Назаровский муниципальный район,male,2012,879,806,781,696,886,993,861,821,676,776,1527,782,586,184
4639000,Нижнеингашский муниципальный район,female,2012,1021,944,968,786,1049,1348,1355,1284,1085,1183,2671,1492,1071,387
4639000,Нижнеингашский муниципальный район,male,2012,1064,935,993,838,1154,1252,1314,1200,1091,1139,2261,1179,798,278
4641000,Новоселовский муниципальный район,female,2012,458,440,366,302,341,476,502,434,485,573,1173,601,454,187
4641000,Новоселовский муниципальный район,male,2012,471,507,423,344,414,516,424,475,432,520,962,503,363,130
4643000,Партизанский муниципальный район,female,2012,351,312,290,195,209,336,341,338,304,424,918,493,357,151
4643000,Партизанский муниципальный район,male,2012,352,349,311,213,246,332,332,305,329,391,833,426,317,92
4645000,Пировский муниципальный район,female,2012,216,210,242,194,167,218,258,227,254,272,568,314,234,108
4645000,Пировский муниципальный район,male,2012,252,211,244,176,213,252,235,228,217,331,648,339,194,72
4647000,Рыбинский муниципальный район,female,2012,1139,949,860,753,952,1232,1133,1079,957,1061,2624,1438,1123,470
4647000,Рыбинский муниципальный район,male,2012,1197,1050,961,788,982,1205,1084,1019,919,1001,2207,1168,830,265
4648000,Саянский муниципальный район,female,2012,405,325,322,270,299,374,369,372,378,470,1082,568,396,188
4648000,Саянский муниципальный район,male,2012,408,319,321,298,364,403,357,376,310,459,964,506,373,131
4649000,Северо-Енисейский муниципальный район,female,2012,327,318,316,233,299,458,473,452,364,409,865,456,288,105
4649000,Северо-Енисейский муниципальный район,male,2012,401,369,287,235,428,602,626,571,504,582,897,441,265,79
4650000,Эвенкийский муниципальный район,female,2012,673,603,550,521,666,665,666,571,530,682,1124,581,340,145
4650000,Эвенкийский муниципальный район,male,2012,713,637,565,529,644,670,602,603,495,607,1150,563,325,123
4651000,Сухобузимский муниципальный район,female,2012,658,539,557,452,617,698,690,640,636,789,1803,995,787,338
4651000,Сухобузимский муниципальный район,male,2012,684,555,530,529,661,710,627,646,609,635,1536,871,609,234
4652000,Тасеевский муниципальный район,female,2012,410,325,366,286,468,466,389,391,422,485,1116,585,436,167
4652000,Тасеевский муниципальный район,male,2012,412,351,369,340,482,539,386,373,388,452,1026,544,366,107
4653000,Таймырский Долгано-Ненецкий муниципальный район,female,2012,1399,1314,1119,986,1229,1444,1503,1442,1313,1404,2639,1326,723,281
4653000,Таймырский Долгано-Ненецкий муниципальный район,male,2012,1509,1300,1175,990,1349,1458,1464,1419,1246,1229,2269,1108,524,175
4654000,Туруханский муниципальный район,female,2012,687,596,606,510,543,734,691,654,574,767,1525,822,524,220
4654000,Туруханский муниципальный район,male,2012,623,643,619,565,598,729,744,612,507,692,1451,776,475,139
4655000,Тюхтетский муниципальный район,female,2012,283,243,224,185,251,297,264,260,263,354,720,396,276,107
4655000,Тюхтетский муниципальный район,male,2012,313,256,222,227,301,300,272,253,288,335,742,399,251,81
4656000,Ужурский муниципальный район,female,2012,1178,1077,1001,895,1216,1387,1303,1169,1009,1167,2550,1335,940,385
4656000,Ужурский муниципальный район,male,2012,1264,1057,975,908,1230,1397,1226,1110,975,1082,2176,1109,738,278
4657000,Уярский муниципальный район,female,2012,663,560,512,407,633,744,740,759,624,702,1836,1029,739,354
4657000,Уярский муниципальный район,male,2012,725,604,559,450,714,1060,980,823,627,732,1559,807,603,199
4658000,Шарыповский муниципальный район,female,2012,549,444,475,383,402,526,471,473,445,564,1333,713,522,235
4658000,Шарыповский муниципальный район,male,2012,580,483,455,405,470,526,462,416,450,528,1162,621,463,163
4659000,Шушенский муниципальный район,female,2012,1054,846,851,1058,989,1076,1000,1053,955,1079,2882,1598,1492,643
4659000,Шушенский муниципальный район,male,2012,1074,887,804,872,931,1104,962,956,887,904,2252,1242,1070,448
4701000,город Красноярск,female,2012,26786,22355,18105,31714,57096,55302,46346,39717,33433,34323,38051,35374,31946,15943
4701000,город Красноярск,male,2012,28637,23449,19181,30108,51556,52557,43500,36264,30082,29301,29613,24134,19620,8333
4703000,город Ачинск,female,2012,3513,2925,2480,3122,4584,4880,4587,4853,3959,3858,4386,4549,4370,1917
4703000,город Ачинск,male,2012,3873,2818,2629,2874,3891,4788,4220,4070,3543,3127,3520,3041,2647,1049
4706000,город Боготол,female,2012,677,610,508,487,685,832,817,800,643,728,1761,992,797,331
4706000,город Боготол,male,2012,772,634,504,554,721,825,731,719,580,610,1314,696,537,194
4707000,город Бородино,female,2012,519,484,432,364,400,626,737,689,530,666,1683,922,646,215
4707000,город Бородино,male,2012,528,505,482,380,416,570,661,670,460,506,1330,688,470,156
4709000,город Дивногорск,female,2012,815,747,628,1366,1349,1259,1200,1177,1072,1088,2124,1297,1296,689
4709000,город Дивногорск,male,2012,906,743,689,1138,1264,1265,1084,1000,973,963,1549,886,813,372
4712000,город Енисейск,female,2012,646,535,475,448,530,836,816,745,588,609,1504,857,684,249
4712000,город Енисейск,male,2012,723,588,489,452,739,773,805,704,565,540,1151,591,464,186
4720000,город Канск,female,2012,2790,2439,2169,2607,3671,4007,3805,3753,3094,3181,7398,4075,3436,1486
4720000,город Канск,male,2012,3006,2583,2306,2529,3490,3822,3584,3392,2789,2847,5495,2881,2132,844
4722000,город Лесосибирск,female,2012,2261,1773,1682,1810,2504,2785,2705,2676,2083,2391,5111,2922,2276,958
4722000,город Лесосибирск,male,2012,2286,1951,1756,1722,2436,2802,2396,2354,1920,2040,3918,2219,1640,575
4723000,город Минусинск,female,2012,2209,1938,1634,2119,2594,2872,3049,2802,2025,2131,6139,3630,3054,1199
4723000,город Минусинск,male,2012,2330,2059,1810,1937,2688,2966,2972,2646,1997,1862,4401,2524,2193,832
4726000,город Назарово,female,2012,1515,1254,1140,1243,1609,2115,1980,1924,1736,2082,4536,2515,2111,896
4726000,город Назарово,male,2012,1599,1333,1220,1223,1722,2005,1856,1696,1515,1700,3549,1858,1514,532
4729000,город Норильск,female,2012,5564,5373,5315,5050,6057,8354,8938,9827,7909,7499,8081,5558,2749,837
4729000,город Норильск,male,2012,6040,5484,5583,5461,7618,9848,8971,9443,8611,7636,7220,4579,1813,462
4733000,город Сосновоборск,female,2012,1082,858,628,693,1188,1728,1609,1441,943,987,3221,1861,1566,486
4733000,город Сосновоборск,male,2012,1095,941,685,657,1259,1740,1723,1335,869,834,2189,1281,1064,384
4740000,город Шарыпово,female,2012,1374,1157,1143,1065,1614,2225,1778,1610,1487,2599,4301,2254,1488,516
4740000,город Шарыпово,male,2012,1540,1196,1273,1091,1672,2087,1575,1369,1161,1867,3443,1804,1077,356
4775000,поселок Кедровый,female,2012,171,167,148,93,191,244,242,226,201,170,340,183,139,51
4775000,поселок Кедровый,male,2012,181,181,171,111,162,189,205,206,155,178,230,127,78,31
5602000,Анучинский муниципальный район,female,2012,449,410,333,293,383,395,430,479,424,467,1119,631,510,288
5602000,Анучинский муниципальный район,male,2012,486,425,362,413,905,576,472,453,448,468,1029,555,454,204
5607000,Дальнереченский муниципальный район,female,2012,368,333,334,276,261,342,390,395,344,380,852,479,350,209
5607000,Дальнереченский муниципальный район,male,2012,383,390,367,274,333,390,409,420,381,431,807,453,315,134
5610000,Кавалеровский муниципальный район,female,2012,721,683,636,497,517,822,919,923,801,936,2252,1314,1170,538
5610000,Кавалеровский муниципальный район,male,2012,751,725,621,679,581,846,887,904,714,812,1852,1052,909,397
5612000,Кировский муниципальный район,female,2012,718,610,559,457,455,619,740,771,658,731,1800,1025,822,462
5612000,Кировский муниципальный район,male,2012,726,666,624,537,559,706,669,731,635,689,1473,789,671,308
5614000,Красноармейский муниципальный район,female,2012,595,597,499,358,373,627,690,646,587,626,1482,818,657,326
5614000,Красноармейский муниципальный район,male,2012,631,640,549,451,540,667,714,694,551,574,1280,714,592,235
5617000,Лазовский муниципальный район,female,2012,342,374,355,255,373,436,464,497,463,523,1204,678,634,279
5617000,Лазовский муниципальный район,male,2012,381,418,348,336,393,512,505,538,504,537,1167,636,480,198
5620000,Михайловский муниципальный район,female,2012,987,969,831,836,1141,1458,1415,1468,1268,1373,2714,1536,1284,617
5620000,Михайловский муниципальный район,male,2012,1026,961,933,879,1051,1173,1149,1178,1026,1103,2201,1219,917,446
5623000,Надеждинский муниципальный район,female,2012,1106,1007,861,887,1295,1536,1456,1357,1187,1335,2907,1629,1534,773
5623000,Надеждинский муниципальный район,male,2012,1172,1183,912,1083,2236,1614,1405,1364,1160,1266,2535,1345,1053,506
5626000,Октябрьский муниципальный район,female,2012,924,814,779,640,815,1129,1221,1145,915,1017,2177,1220,1078,587
5626000,Октябрьский муниципальный район,male,2012,929,828,810,721,1602,1199,1142,1024,872,838,1888,1035,737,406
5628000,Ольгинский муниципальный район,female,2012,313,294,229,249,308,329,377,409,345,349,835,489,425,174
5628000,Ольгинский муниципальный район,male,2012,289,297,286,304,356,357,402,419,345,345,780,449,335,135
5630000,Партизанский муниципальный район,female,2012,858,805,745,713,836,1019,956,973,841,923,2001,1138,963,440
5630000,Партизанский муниципальный район,male,2012,924,835,749,784,1524,1884,1728,1525,1265,1134,1996,1022,806,330
5632000,Пограничный муниципальный район,female,2012,777,647,587,415,587,837,879,772,714,696,1310,738,614,313
5632000,Пограничный муниципальный район,male,2012,766,623,558,601,3682,1254,918,797,682,636,1186,604,455,213
5634000,Пожарский муниципальный район,female,2012,821,974,816,614,711,1145,1229,1244,1125,1145,2624,1407,1196,531
5634000,Пожарский муниципальный район,male,2012,936,971,880,631,804,1159,1268,1269,1066,1039,2279,1222,902,380
5637000,Спасский муниципальный район,female,2012,862,760,720,820,935,879,916,929,857,934,2077,1162,952,507
5637000,Спасский муниципальный район,male,2012,827,773,719,806,1774,1807,1467,1289,1049,1041,1915,996,767,369
5640000,Тернейский муниципальный район,female,2012,400,361,307,227,243,498,472,499,376,466,991,538,424,213
5640000,Тернейский муниципальный район,male,2012,442,397,339,236,295,534,524,484,436,434,971,505,373,153
5646000,Ханкайский муниципальный район,female,2012,751,655,624,445,800,850,793,852,798,852,1697,939,824,460
5646000,Ханкайский муниципальный район,male,2012,764,693,674,619,1976,1022,846,792,746,738,1455,776,641,290
5648000,Хасанский муниципальный район,female,2012,961,903,788,611,916,1230,1269,1224,1086,1054,2431,1342,1307,573
5648000,Хасанский муниципальный район,male,2012,1076,963,798,991,3891,1934,1541,1334,1137,1088,2029,1107,935,378
5650000,Хорольский муниципальный район,female,2012,925,813,748,638,796,1016,1020,1057,970,1078,2612,1519,1233,633
5650000,Хорольский муниципальный район,male,2012,925,883,770,725,865,1009,1023,1003,937,984,2198,1168,993,428
5653000,Черниговский муниципальный район,female,2012,1045,971,936,725,798,1164,1331,1345,1098,1144,2622,1447,1287,634
5653000,Черниговский муниципальный район,male,2012,1158,1035,927,945,2614,1418,1425,1371,1206,1060,2332,1289,1037,436
5655000,Чугуевский муниципальный район,female,2012,752,717,641,550,612,762,795,854,768,813,1818,991,854,396
5655000,Чугуевский муниципальный район,male,2012,786,725,659,702,1117,1132,1110,1014,829,829,1700,905,727,263
5657000,Шкотовский муниципальный район,female,2012,752,632,550,496,736,864,870,830,834,834,1739,999,885,511
5657000,Шкотовский муниципальный район,male,2012,781,674,634,576,1224,1053,919,875,849,867,1589,826,716,424
5659000,Яковлевский муниципальный район,female,2012,538,419,413,359,369,552,484,529,466,496,1053,592,532,257
5659000,Яковлевский муниципальный район,male,2012,576,485,397,445,1375,694,571,553,468,501,979,545,408,195
5701000,Владивостокский,female,2012,13918,12016,10603,16618,32235,28709,26785,25395,22614,22215,42024,22958,22142,13118
5701000,Владивостокский,male,2012,14560,12644,11054,17815,34938,29094,26705,25406,23470,21966,32885,16712,14685,7815
5705000,Артемовский,female,2012,3119,2740,2337,2750,4111,4744,4605,4259,3924,3832,8077,4473,4014,2224
5705000,Артемовский,male,2012,3321,2859,2525,2749,4897,5080,5108,4666,4156,3907,6622,3422,2987,1367
5706000,Большой Камень,female,2012,1050,1086,829,825,1303,1599,1614,1539,1485,1394,1497,1636,1667,960
5706000,Большой Камень,male,2012,1218,1228,906,907,1793,2116,1859,1561,1521,1372,1324,1300,1190,645
5707000,Дальнегорский,female,2012,1104,1110,964,930,1112,1495,1682,1837,1632,1625,4020,2302,2201,1187
5707000,Дальнегорский,male,2012,1205,1134,1050,996,1200,1524,1574,1604,1550,1442,3282,1847,1617,815
5708000,Дальнереченский,female,2012,905,930,734,731,883,1222,1197,1362,1062,1001,2480,1394,1228,562
5708000,Дальнереченский,male,2012,1012,926,818,738,861,1132,1157,1212,970,838,1925,1014,905,367
5711000,Лесозаводский,female,2012,1473,1333,1079,1179,1371,1663,1763,1772,1419,1549,3702,2061,1903,877
5711000,Лесозаводский,male,2012,1532,1359,1127,1179,1302,1703,1742,1561,1386,1480,2962,1653,1343,583
5714000,Находкинский,female,2012,3969,3922,3471,3620,5536,6778,6721,6779,5745,6067,12190,6809,6043,3288
5714000,Находкинский,male,2012,4324,4023,3747,4166,5333,6698,6550,6306,5992,5984,10352,5502,4642,2133
5717000,Партизанский,female,2012,1307,1114,971,1127,1310,1537,1539,1659,1575,1740,3738,2147,2088,1152
5717000,Партизанский,male,2012,1341,1280,1138,1222,1335,1576,1545,1540,1422,1470,3112,1727,1531,741
5723000,Уссурийский,female,2012,5178,4555,3839,5737,8844,8322,7828,7410,6222,5819,12019,6712,6119,3347
5723000,Уссурийский,male,2012,5355,4830,4079,5885,14050,9088,7910,7291,6333,5442,9618,5136,4179,2102
5747000,ЗАТО Фокино,female,2012,946,783,711,1198,1711,1583,1371,1195,1088,1097,1150,1010,927,393
5747000,ЗАТО Фокино,male,2012,800,831,721,1256,2770,1659,1306,1201,1098,1065,1036,702,503,207
8603000,Амурский муниципальный район,female,2012,1905,1612,1528,1624,2150,2252,2191,2349,2055,2168,5490,3129,2805,1301
8603000,Амурский муниципальный район,male,2012,2048,1795,1664,1900,2617,2823,2513,2198,1887,2094,4261,2334,1981,858
8606000,Аяно-Майский муниципальный район,female,2012,105,88,69,58,37,62,100,83,97,104,154,75,76,27
8606000,Аяно-Майский муниципальный район,male,2012,92,89,85,46,42,80,74,87,82,86,156,85,73,21
8609000,Бикинский муниципальный район,female,2012,786,717,577,440,661,1009,860,758,664,708,1606,928,741,342
8609000,Бикинский муниципальный район,male,2012,904,771,684,853,2947,1237,944,724,588,607,1290,724,516,206
8612000,Ванинский муниципальный район,female,2012,1051,1003,865,677,1036,1511,1479,1540,1284,1212,2828,1615,1421,600
8612000,Ванинский муниципальный район,male,2012,1120,1001,902,936,2030,1782,1745,1688,1332,1295,2309,1232,1043,356
8614000,Верхнебуреинский муниципальный район,female,2012,889,862,760,667,899,1087,1100,991,870,1087,2364,1243,756,341
8614000,Верхнебуреинский муниципальный район,male,2012,901,833,812,749,926,1121,1003,1001,898,1013,2232,983,667,200
8617000,Вяземский муниципальный район,female,2012,698,627,650,619,769,809,771,848,736,832,1779,1004,838,388
8617000,Вяземский муниципальный район,male,2012,749,742,656,698,781,814,784,779,717,759,1478,784,647,229
8620000,Комсомольский муниципальный район,female,2012,1056,979,762,782,991,1184,1212,1149,892,850,1922,1033,872,355
8620000,Комсомольский муниципальный район,male,2012,1142,937,744,872,2530,1527,1348,1184,976,958,1749,934,701,263
8624000,Муниципальный район имени Лазо,female,2012,1609,1333,1200,932,1181,1583,1691,1568,1555,1617,3621,2039,1752,822
8624000,Муниципальный район имени Лазо,male,2012,1744,1528,1269,963,1335,1761,1711,1582,1332,1450,3251,1752,1376,565
8628000,Нанайский муниципальный район,female,2012,623,569,476,365,503,667,673,637,550,590,1304,747,533,255
8628000,Нанайский муниципальный район,male,2012,780,604,502,380,532,717,728,620,531,569,1226,644,502,193
8631000,Николаевский муниципальный район,female,2012,950,911,815,936,863,1043,1185,1272,1000,999,2616,1545,1333,658
8631000,Николаевский муниципальный район,male,2012,1009,940,926,858,953,1144,1129,1260,1012,1014,2186,1252,1114,470
8634000,Охотский муниципальный район,female,2012,244,220,237,214,175,262,303,312,255,309,670,393,261,120
8634000,Охотский муниципальный район,male,2012,268,275,254,173,183,326,335,310,288,335,616,338,218,94
8637000,Муниципальный район имени Полины Осипенко,female,2012,195,167,148,122,78,157,208,196,181,224,388,214,167,93
8637000,Муниципальный район имени Полины Осипенко,male,2012,198,176,136,112,127,198,215,189,205,196,382,226,133,56
8642000,Советско-Гаванский муниципальный район,female,2012,1344,1039,1028,900,1126,1451,1584,1712,1553,1596,3262,1817,1553,838
8642000,Советско-Гаванский муниципальный район,male,2012,1375,1102,977,902,1411,1952,1992,1879,1879,1698,2863,1464,1108,543
8644000,Солнечный муниципальный район,female,2012,1073,1003,880,853,1033,1299,1294,1284,1102,1220,2576,1406,1148,552
8644000,Солнечный муниципальный район,male,2012,1147,1077,867,894,1646,1347,1347,1177,1016,1147,2437,1105,804,288
8646000,Тугуро-Чумиканский муниципальный район,female,2012,108,67,77,62,82,90,67,79,83,90,142,82,50,19
8646000,Тугуро-Чумиканский муниципальный район,male,2012,115,84,60,90,87,101,88,85,79,78,123,67,46,8
8650000,Ульчский муниципальный район,female,2012,698,662,567,324,292,578,659,703,615,718,1480,774,685,301
8650000,Ульчский муниципальный район,male,2012,713,629,592,408,405,661,662,713,593,634,1414,749,595,199
8655000,Хабаровский муниципальный район,female,2012,2822,2260,1694,1950,3501,4216,3634,3257,2628,2475,5051,2782,2341,1179
8655000,Хабаровский муниципальный район,male,2012,3007,2174,1920,3266,10771,5151,4155,3383,2517,2445,4311,2311,1687,750
8701000,город Хабаровск,female,2012,14720,12126,10037,17337,31370,28196,24752,23563,20968,19860,38053,21518,21537,11719
8701000,город Хабаровск,male,2012,15445,12694,10620,17468,35514,27845,24130,22101,19366,17650,28675,15375,13803,7231
8709000,город Комсомольск-на-Амуре,female,2012,7168,6578,5419,6338,10277,11166,10975,10299,9037,9196,20031,11556,10479,5261
8709000,город Комсомольск-на-Амуре,male,2012,7610,6970,5552,6730,11610,12085,11150,9869,8204,8109,15075,8178,6945,3205
10605000,Архаринский муниципальный район,female,2012,571,508,449,360,426,620,603,617,568,574,762,754,587,262
10605000,Архаринский муниципальный район,male,2012,666,586,470,449,507,675,620,591,532,593,709,648,469,192
10608000,Белогорский муниципальный район,female,2012,709,642,509,398,574,650,688,686,577,674,753,775,624,336
10608000,Белогорский муниципальный район,male,2012,608,535,563,500,783,988,958,912,758,702,767,626,540,206
10611000,Благовещенский муниципальный район,female,2012,663,560,506,546,718,899,809,783,633,632,780,780,641,376
10611000,Благовещенский муниципальный район,male,2012,694,621,517,536,759,907,861,799,713,637,741,733,591,251
10615000,Бурейский муниципальный район,female,2012,778,741,702,508,611,972,907,934,813,861,994,1021,831,400
10615000,Бурейский муниципальный район,male,2012,860,776,738,573,693,891,875,851,686,796,923,811,669,236
10621000,Завитинский муниципальный район,female,2012,528,451,436,305,405,601,624,597,487,608,713,743,574,266
10621000,Завитинский муниципальный район,male,2012,517,497,434,361,500,577,533,515,486,544,630,583,421,174
10625000,Зейский муниципальный район,female,2012,524,468,478,327,435,604,557,589,537,606,786,744,555,264
10625000,Зейский муниципальный район,male,2012,648,533,455,437,566,702,646,601,547,554,778,693,501,218
10628000,Ивановский муниципальный район,female,2012,785,812,698,528,766,1003,873,960,792,826,1020,1018,873,404
10628000,Ивановский муниципальный район,male,2012,941,837,739,732,1410,1322,1102,1036,820,844,947,851,705,266
10630000,Константиновский муниципальный район,female,2012,526,481,418,309,344,518,424,506,401,477,561,600,419,179
10630000,Константиновский муниципальный район,male,2012,540,434,441,361,376,524,446,412,365,393,525,473,334,148
10631000,Магдагачинский муниципальный район,female,2012,758,726,597,425,569,917,875,926,704,739,929,1028,774,341
10631000,Магдагачинский муниципальный район,male,2012,807,766,662,542,658,926,853,862,692,741,782,840,584,225
10632000,Мазановский муниципальный район,female,2012,433,407,382,360,517,546,501,563,464,471,554,582,476,244
10632000,Мазановский муниципальный район,male,2012,443,417,461,425,654,597,547,507,471,507,533,555,425,165
10635000,Михайловский муниципальный район,female,2012,467,477,482,418,477,548,561,514,450,519,662,623,495,264
10635000,Михайловский муниципальный район,male,2012,547,592,460,423,440,553,526,472,440,477,612,529,431,138
10638000,Октябрьский муниципальный район,female,2012,611,537,487,403,545,674,690,621,690,646,788,661,548,278
10638000,Октябрьский муниципальный район,male,2012,712,559,569,568,2005,902,669,604,596,598,734,612,450,148
10640000,Ромненский муниципальный район,female,2012,282,223,221,180,217,273,269,317,308,321,450,444,360,179
10640000,Ромненский муниципальный район,male,2012,304,244,246,235,390,296,259,291,337,314,408,424,279,110
10642000,Свободненский муниципальный район,female,2012,505,448,405,350,485,504,471,462,437,490,534,578,446,235
10642000,Свободненский муниципальный район,male,2012,462,464,485,490,808,621,518,515,471,489,555,479,376,156
10645000,Селемджинский муниципальный район,female,2012,344,379,325,318,344,450,480,437,387,400,571,505,339,137
10645000,Селемджинский муниципальный район,male,2012,368,346,327,309,398,500,475,442,409,436,573,498,309,82
10647000,Серышевский муниципальный район,female,2012,990,838,730,534,742,1054,1034,927,796,828,970,919,759,395
10647000,Серышевский муниципальный район,male,2012,1013,908,762,632,1343,1170,1005,1048,808,745,912,790,612,243
10649000,Сковородинский муниципальный район,female,2012,1002,962,819,708,922,1249,1181,1110,922,886,1188,1167,893,384
10649000,Сковородинский муниципальный район,male,2012,1070,949,851,659,1156,1555,1434,1293,1037,854,1087,961,669,226
10651000,Тамбовский муниципальный район,female,2012,722,713,652,509,625,902,874,842,760,842,954,973,849,402
10651000,Тамбовский муниципальный район,male,2012,778,774,703,636,666,908,872,795,736,690,912,800,661,231
10654000,Тындинский муниципальный район,female,2012,478,542,433,337,443,634,599,548,443,644,871,685,438,139
10654000,Тындинский муниципальный район,male,2012,475,486,438,405,532,684,667,637,636,702,841,602,372,110
10655000,Шимановский муниципальный район,female,2012,160,164,168,113,188,182,230,186,190,209,261,248,223,104
10655000,Шимановский муниципальный район,male,2012,182,156,168,130,246,255,224,201,183,230,293,240,169,78
10701000,город Благовещенск,female,2012,6048,5114,4218,8395,13472,11322,9717,9042,7239,6907,7689,7691,7109,3640
