oktmo,name,gender,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69
1512000,Залесовский муниципальный округ,female,2022,311,481,454,313,288,207,182,362,434,483,845,518,714,564
1512000,Залесовский муниципальный округ,male,2022,343,477,473,384,260,332,277,405,457,443,820,517,598,437
1601000,Алейский муниципальный район,female,2022,330,421,395,310,283,199,96,308,401,413,906,564,821,643
1601000,Алейский муниципальный район,male,2022,333,456,493,326,337,297,247,278,352,451,762,473,727,509
1602000,Алтайский муниципальный район,female,2022,619,906,860,764,732,666,671,994,956,983,1472,892,1160,1078
1602000,Алтайский муниципальный район,male,2022,693,967,992,805,610,851,737,961,910,829,1245,702,988,812
1603000,Баевский муниципальный район,female,2022,186,289,308,187,198,129,101,199,261,288,575,369,541,425
1603000,Баевский муниципальный район,male,2022,200,293,277,202,199,146,115,215,248,293,502,308,454,311
1604000,Бийский муниципальный район,female,2022,734,1036,1047,740,634,545,708,781,1064,1058,1874,1084,1487,1403
1604000,Бийский муниципальный район,male,2022,732,1149,1036,756,712,787,913,964,887,977,1532,914,1168,1049
1605000,Благовещенский муниципальный район,female,2022,613,881,968,706,687,741,636,966,993,1001,1612,959,1331,1065
1605000,Благовещенский муниципальный район,male,2022,637,959,1042,800,466,685,992,936,879,928,1372,798,1086,717
1606000,Бурлинский муниципальный район,female,2022,178,292,367,256,241,136,129,268,332,372,660,395,518,413
1606000,Бурлинский муниципальный район,male,2022,194,301,347,247,282,217,172,273,312,329,609,363,436,307
1607000,Быстроистокский муниципальный район,female,2022,187,306,270,229,188,146,75,229,237,300,504,302,400,428
1607000,Быстроистокский муниципальный район,male,2022,202,281,330,237,215,223,136,159,268,265,488,273,366,315
1608000,Волчихинский муниципальный район,female,2022,400,555,595,511,399,329,385,508,613,630,1041,608,751,664
1608000,Волчихинский муниципальный район,male,2022,448,565,659,462,433,386,442,526,585,558,878,521,631,527
1609000,Егорьевский муниципальный район,female,2022,277,429,432,352,263,221,175,353,416,427,739,431,632,488
1609000,Егорьевский муниципальный район,male,2022,290,430,380,352,273,372,253,320,413,387,665,379,554,413
1610000,Ельцовский муниципальный район,female,2022,126,197,174,148,116,70,82,171,202,208,380,240,368,293
1610000,Ельцовский муниципальный район,male,2022,120,202,211,143,140,106,112,176,198,202,334,199,285,229
1611000,Завьяловский муниципальный район,female,2022,370,491,534,450,429,271,178,479,626,696,1101,650,983,750
1611000,Завьяловский муниципальный район,male,2022,371,577,642,463,459,381,240,435,541,577,962,544,904,568
1613000,Заринский муниципальный район,female,2022,276,503,573,389,405,280,371,496,578,594,948,566,794,698
1613000,Заринский муниципальный район,male,2022,335,480,578,398,451,300,440,595,608,654,905,533,722,563
1614000,Змеиногорский муниципальный район,female,2022,436,607,657,462,445,347,376,627,682,606,1015,595,956,882
1614000,Змеиногорский муниципальный район,male,2022,427,670,743,462,352,490,494,636,660,642,894,543,776,622
1615000,Калманский муниципальный район,female,2022,332,434,375,299,270,202,224,374,377,448,738,458,628,593
1615000,Калманский муниципальный район,male,2022,337,475,379,299,256,191,419,432,473,454,719,414,496,386
1616000,Каменский муниципальный район,female,2022,974,1476,1595,1561,1373,1534,1455,1891,1911,1940,2975,1827,2428,2097
1616000,Каменский муниципальный район,male,2022,1029,1649,1652,1465,634,1483,2096,1668,1631,1528,2383,1376,1789,1313
1617000,Ключевский муниципальный район,female,2022,304,476,558,384,408,263,340,482,598,564,991,595,803,609
1617000,Ключевский муниципальный район,male,2022,326,540,538,441,432,367,313,517,563,540,924,566,608,455
1618000,Косихинский муниципальный район,female,2022,423,581,479,398,401,200,210,395,462,537,941,566,810,729
1618000,Косихинский муниципальный район,male,2022,443,563,522,412,372,336,316,460,458,477,863,534,672,453
1619000,Красногорский муниципальный район,female,2022,417,501,613,396,343,268,219,501,543,548,801,501,756,657
1619000,Красногорский муниципальный район,male,2022,351,507,644,483,387,286,274,491,446,551,759,433,659,508
1620000,Краснощёковский муниципальный район,female,2022,309,448,444,396,392,174,241,517,599,597,1022,645,877,782
1620000,Краснощёковский муниципальный район,male,2022,301,432,501,385,414,316,339,515,569,528,888,530,822,592
1621000,Крутихинский муниципальный район,female,2022,206,354,364,284,272,205,168,302,357,391,670,417,546,527
1621000,Крутихинский муниципальный район,male,2022,210,363,441,304,266,237,175,289,357,315,589,361,506,356
1622000,Кулундинский муниципальный район,female,2022,512,716,772,523,543,447,554,807,819,755,1393,835,1023,879
