oktmo,name,gender,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69
1601000,Алейский муниципальный район,female,2019,383,464,376,308,347,97,251,417,441,468,1225,835,785,588
1601000,Алейский муниципальный район,male,2019,420,517,454,328,348,205,372,380,457,441,1092,725,694,463
1602000,Алтайский муниципальный район,female,2019,804,829,796,697,711,652,816,1008,942,791,1733,1078,1210,991
1602000,Алтайский муниципальный район,male,2019,801,961,875,712,644,748,901,942,878,723,1448,938,959,717
1603000,Баевский муниципальный район,female,2019,251,327,245,239,193,105,180,280,293,291,777,514,530,365
1603000,Баевский муниципальный район,male,2019,291,326,279,200,172,122,201,280,273,292,713,439,430,260
1604000,Бийский муниципальный район,female,2019,984,1128,883,682,729,645,817,1023,1108,1028,2193,1385,1609,1325
1604000,Бийский муниципальный район,male,2019,1053,1192,955,713,721,878,1036,983,1041,873,1823,1159,1341,969
1605000,Благовещенский муниципальный район,female,2019,792,977,846,698,760,647,900,1052,1065,890,1999,1293,1357,1012
1605000,Благовещенский муниципальный район,male,2019,824,1097,903,615,558,904,1013,939,977,882,1741,1137,1032,667
1606000,Бурлинский муниципальный район,female,2019,270,363,346,261,237,114,228,320,414,350,807,524,534,359
1606000,Бурлинский муниципальный район,male,2019,274,367,316,269,295,146,273,341,313,364,749,478,436,283
1607000,Быстроистокский муниципальный район,female,2019,257,296,269,225,157,80,171,265,268,310,613,402,452,433
1607000,Быстроистокский муниципальный район,male,2019,248,305,305,242,215,149,170,267,261,277,549,348,390,334
1608000,Волчихинский муниципальный район,female,2019,503,614,566,433,409,366,479,587,662,610,1194,787,768,618
1608000,Волчихинский муниципальный район,male,2019,550,631,586,482,383,402,542,588,580,546,1078,669,643,422
1609000,Егорьевский муниципальный район,female,2019,404,456,415,371,308,169,322,409,437,427,958,602,630,451
1609000,Егорьевский муниципальный район,male,2019,408,455,372,465,296,314,344,397,454,375,851,549,535,348
1610000,Ельцовский муниципальный район,female,2019,174,187,188,134,103,66,165,190,211,180,506,334,337,288
1610000,Ельцовский муниципальный район,male,2019,170,239,174,144,124,100,147,203,202,177,420,280,297,213
1611000,Завьяловский муниципальный район,female,2019,441,536,547,417,412,128,436,603,702,636,1407,979,934,670
1611000,Завьяловский муниципальный район,male,2019,481,632,589,483,466,265,411,547,588,596,1254,833,830,483
1612000,Залесовский муниципальный район,female,2019,402,504,403,369,285,165,324,436,507,448,1056,662,700,521
1612000,Залесовский муниципальный район,male,2019,442,516,411,429,294,296,420,477,451,444,1022,638,579,420
1613000,Заринский муниципальный район,female,2019,418,616,511,416,399,366,495,581,653,544,1186,747,833,671
1613000,Заринский муниципальный район,male,2019,461,612,507,431,359,410,628,630,668,581,1151,733,772,523
1614000,Змеиногорский муниципальный район,female,2019,542,671,581,452,443,275,583,708,683,567,1336,887,1039,775
1614000,Змеиногорский муниципальный район,male,2019,587,736,611,405,411,509,574,761,649,549,1148,750,852,567
1615000,Калманский муниципальный район,female,2019,397,422,353,284,286,200,331,389,440,386,880,562,678,586
1615000,Калманский муниципальный район,male,2019,416,452,352,291,204,291,487,484,482,459,810,498,521,376
