oktmo,name,gender,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69
19730000,город Череповец,female,2011,9292,8020,6575,7316,12435,15015,14179,12741,10517,12184,23957,12748,10594,5166
19730000,город Череповец,male,2011,9851,8484,7073,8127,12235,14763,13307,11844,9554,10171,17165,8789,6736,2679
29602000,Бабынинский муниципальный район,female,2011,582,507,552,613,885,752,703,711,808,918,1573,809,674,402
29602000,Бабынинский муниципальный район,male,2011,567,469,498,637,960,844,662,665,724,858,1297,613,475,211
29604000,Барятинский муниципальный район,female,2011,156,138,158,195,237,241,189,190,169,218,447,227,177,117
29604000,Барятинский муниципальный район,male,2011,170,144,155,160,222,248,244,240,215,252,450,202,163,52
29606000,Боровский муниципальный район,female,2011,1498,1374,1250,1419,2355,2484,2288,2233,1950,2256,4324,2361,2026,1094
29606000,Боровский муниципальный район,male,2011,1636,1508,1311,1934,3336,2901,2691,2379,2152,2203,3395,1722,1458,650
29608000,Дзержинский муниципальный район,female,2011,1460,1405,1152,1428,2240,2461,2151,1920,1698,2367,4925,2529,1815,1112
29608000,Дзержинский муниципальный район,male,2011,1545,1370,1288,1469,2422,2920,2675,2154,1853,2261,4100,2089,1404,559
29610000,Думиничский муниципальный район,female,2011,356,340,332,341,503,519,516,511,464,591,1233,656,541,258
29610000,Думиничский муниципальный район,male,2011,375,350,372,447,637,520,526,501,487,557,1036,536,416,140
29612000,Жиздринский муниципальный район,female,2011,278,278,259,275,369,316,346,333,383,379,755,424,365,213
29612000,Жиздринский муниципальный район,male,2011,315,246,275,280,360,328,309,363,340,400,723,363,241,97
29613000,Жуковский муниципальный район,female,2011,1306,1196,986,1151,1943,2096,1819,1618,1525,2023,3860,2056,1530,938
29613000,Жуковский муниципальный район,male,2011,1378,1230,1156,1248,2122,2265,1940,1619,1508,1760,3261,1710,1122,579
29614000,Кировский муниципальный район,female,2011,1064,999,922,925,1529,1561,1622,1578,1430,1822,3342,1634,1324,681
29614000,Кировский муниципальный район,male,2011,1109,1065,1021,1133,1791,1565,1449,1407,1403,1605,2769,1333,885,405
29615000,Износковский муниципальный район,female,2011,163,159,153,187,294,234,211,222,224,250,439,230,204,145
29615000,Износковский муниципальный район,male,2011,179,169,147,187,258,250,224,231,234,281,449,227,155,82
29616000,Козельский муниципальный район,female,2011,1105,954,899,972,1388,1410,1384,1318,1308,1615,3297,1737,1341,782
29616000,Козельский муниципальный район,male,2011,1114,1060,1026,1498,2360,1693,1421,1364,1276,1424,2817,1385,968,422
