oktmo,name,gender,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69
1601000,Алейский муниципальный район,female,2020,0.0489,0.07263,0.05637,0.0426,0.05396,0.0166,0.0272,0.05832,0.0634,0.06964,0.1648,0.1115,0.122,0.0921
1601000,Алейский муниципальный район,male,2020,0.0568,0.0776,0.0713,0.04745,0.05273,0.0315,0.0538,0.04956,0.0633,0.0702,0.149,0.09717,0.1097,0.0699
1602000,Алтайский муниципальный район,female,2020,0.05777,0.06525,0.06177,0.05585,0.0516,0.04892,0.06207,0.0777,0.0724,0.06665,0.1283,0.0793,0.094,0.07855
1602000,Алтайский муниципальный район,male,2020,0.0643,0.078,0.074,0.06122,0.049,0.0671,0.06683,0.0774,0.0729,0.0629,0.11304,0.07184,0.0791,0.06247
1603000,Баевский муниципальный район,female,2020,0.0555,0.0726,0.0612,0.0471,0.04504,0.02048,0.03595,0.0596,0.0639,0.0671,0.1572,0.1026,0.1217,0.0901
1603000,Баевский муниципальный район,male,2020,0.066,0.07513,0.06696,0.05057,0.04767,0.02408,0.045,0.0609,0.065,0.07513,0.1548,0.09827,0.10834,0.06213
1604000,Бийский муниципальный район,female,2020,0.05673,0.07733,0.06125,0.04443,0.04532,0.04028,0.05167,0.0642,0.0738,0.067,0.1373,0.08514,0.1035,0.09204
1604000,Бийский муниципальный район,male,2020,0.0649,0.0842,0.06506,0.04538,0.05377,0.0582,0.06866,0.07104,0.0696,0.06174,0.12146,0.0777,0.0889,0.0694
1605000,Благовещенский муниципальный район,female,2020,0.05145,0.0688,0.06238,0.0508,0.05402,0.04715,0.05667,0.0745,0.0756,0.0652,0.1335,0.0867,0.0964,0.07684
1605000,Благовещенский муниципальный район,male,2020,0.0568,0.0818,0.0735,0.05325,0.03943,0.06415,0.0774,0.0736,0.07086,0.07294,0.12177,0.07733,0.08276,0.05457
1606000,Бурлинский муниципальный район,female,2020,0.04526,0.07104,0.07,0.05154,0.05377,0.01765,0.0418,0.06354,0.0771,0.07184,0.1538,0.09985,0.1098,0.07306
1606000,Бурлинский муниципальный район,male,2020,0.05237,0.0739,0.06696,0.05975,0.0629,0.03293,0.0494,0.0657,0.0703,0.0693,0.1472,0.09735,0.09143,0.0606
1607000,Быстроистокский муниципальный район,female,2020,0.0503,0.0794,0.0653,0.05646,0.0402,0.02095,0.0333,0.06088,0.07025,0.0737,0.1403,0.09076,0.1102,0.108
1607000,Быстроистокский муниципальный район,male,2020,0.05695,0.07855,0.073,0.0572,0.05545,0.0469,0.03662,0.0647,0.06445,0.0715,0.1307,0.0823,0.0958,0.0858
1608000,Волчихинский муниципальный район,female,2020,0.05493,0.06976,0.0699,0.05228,0.04642,0.0413,0.05338,0.0676,0.0779,0.0737,0.1372,0.0878,0.0919,0.07587
1608000,Волчихинский муниципальный район,male,2020,0.06537,0.07715,0.075,0.0588,0.05078,0.04865,0.066,0.0691,0.07477,0.07275,0.1268,0.07605,0.08307,0.05566
1609000,Егорьевский муниципальный район,female,2020,0.05988,0.0734,0.0695,0.06085,0.04318,0.03043,0.04678,0.06366,0.06934,0.0733,0.1405,0.0839,0.10876,0.0764
1609000,Егорьевский муниципальный район,male,2020,0.06186,0.07587,0.06287,0.07556,0.05206,0.0507,0.05374,0.06305,0.07556,0.06168,0.1283,0.0808,0.096,0.062
1610000,Ельцовский муниципальный район,female,2020,0.0503,0.0635,0.0679,0.04355,0.03513,0.01924,0.0466,0.06177,0.0672,0.07025,0.158,0.09924,0.1158,0.1016
1610000,Ельцовский муниципальный район,male,2020,0.06027,0.07733,0.06775,0.05035,0.0429,0.0397,0.04398,0.0713,0.067,0.06775,0.1404,0.094,0.0982,0.0791
1611000,Завьяловский муниципальный район,female,2020,0.04684,0.0611,0.06192,0.05148,0.051,0.01924,0.04022,0.06934,0.0749,0.0798,0.1525,0.1039,0.1106,0.07733
1611000,Завьяловский муниципальный район,male,2020,0.05313,0.0778,0.0699,0.0591,0.06046,0.03317,0.04346,0.05997,0.0715,0.07367,0.1399,0.0912,0.10394,0.0628
1612000,Залесовский муниципальный район,female,2020,0.053,0.078,0.06104,0.0527,0.0462,0.02408,0.04242,0.0647,0.0735,0.0721,0.1503,0.0925,0.10846,0.08105
1612000,Залесовский муниципальный район,male,2020,0.0625,0.075,0.0636,0.06464,0.0434,0.04248,0.0571,0.07007,0.06476,0.0714,0.1416,0.0869,0.0928,0.0637
1613000,Заринский муниципальный район,female,2020,0.03955,0.0748,0.06793,0.0483,0.05295,0.03693,0.06046,0.0667,0.07996,0.0671,0.1332,0.08246,0.10876,0.081
1613000,Заринский муниципальный район,male,2020,0.04843,0.07043,0.0663,0.0509,0.05066,0.03983,0.07104,0.07404,0.0816,0.07465,0.1294,0.08203,0.0944,0.0664
1614000,Змеиногорский муниципальный район,female,2020,0.0536,0.0708,0.06537,0.0496,0.0496,0.0275,0.05682,0.07385,0.07385,0.06476,0.1306,0.0848,0.1104,0.08856
1614000,Змеиногорский муниципальный район,male,2020,0.063,0.08215,0.0727,0.0496,0.04147,0.05478,0.065,0.079,0.0719,0.0682,0.1152,0.0727,0.09814,0.06616
1615000,Калманский муниципальный район,female,2020,0.0628,0.07104,0.05823,0.04633,0.0465,0.03134,0.05295,0.0597,0.0719,0.06714,0.1372,0.08875,0.11017,0.09595
1615000,Калманский муниципальный район,male,2020,0.0673,0.0764,0.05887,0.0491,0.03802,0.03754,0.08185,0.0771,0.0792,0.0777,0.1296,0.07806,0.0855,0.06366
1616000,Каменский муниципальный район,female,2020,0.04556,0.05804,0.06046,0.06042,0.04987,0.05972,0.06104,0.0762,0.074,0.06744,0.13,0.0847,0.09534,0.0773
1616000,Каменский муниципальный район,male,2020,0.05347,0.0761,0.0689,0.05673,0.02757,0.0888,0.08527,0.0747,0.073,0.0679,0.11786,0.07355,0.0799,0.05627
1617000,Ключевский муниципальный район,female,2020,0.0446,0.0731,0.0632,0.0493,0.0494,0.03275,0.0545,0.0735,0.0727,0.07715,0.1466,0.0918,0.1009,0.07056
1617000,Ключевский муниципальный район,male,2020,0.05084,0.0785,0.0695,0.05734,0.0552,0.04037,0.06104,0.07574,0.07465,0.069,0.1394,0.0855,0.0821,0.06076
1618000,Косихинский муниципальный район,female,2020,0.0647,0.076,0.05655,0.05823,0.0468,0.02089,0.03775,0.06174,0.06354,0.0755,0.1426,0.09406,0.1087,0.093
