oktmo,name,gender,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69
29627000,Мещовский муниципальный район,female,2011,0.05704,0.05002,0.04947,0.0563,0.0795,0.0775,0.07214,0.068,0.0712,0.08075,0.1477,0.08203,0.06384,0.04443
29627000,Мещовский муниципальный район,male,2011,0.05753,0.05267,0.0523,0.05032,0.08606,0.09106,0.0893,0.0853,0.0799,0.0929,0.1321,0.0606,0.04727,0.02272
29629000,Мосальский муниципальный район,female,2011,0.0525,0.0434,0.05173,0.05615,0.0807,0.06107,0.0618,0.0745,0.07874,0.0792,0.1589,0.0792,0.076,0.0461
29629000,Мосальский муниципальный район,male,2011,0.05313,0.05087,0.05136,0.064,0.0782,0.07794,0.07007,0.0645,0.07263,0.10175,0.1589,0.0663,0.05743,0.0329
29632000,Перемышльский муниципальный район,female,2011,0.05255,0.04062,0.0447,0.0529,0.07947,0.07446,0.0683,0.0741,0.064,0.0842,0.1566,0.08673,0.0719,0.0494
29632000,Перемышльский муниципальный район,male,2011,0.05368,0.0403,0.0437,0.062,0.0843,0.09064,0.076,0.07355,0.0685,0.08093,0.1565,0.0797,0.0637,0.02661
29634000,Спас-Деменский муниципальный район,female,2011,0.04645,0.04218,0.04272,0.04913,0.0732,0.067,0.0681,0.0689,0.07025,0.08813,0.1711,0.08734,0.0694,0.05606
29634000,Спас-Деменский муниципальный район,male,2011,0.0509,0.04465,0.0472,0.05914,0.09894,0.08215,0.06256,0.06287,0.0785,0.0904,0.1647,0.077,0.05942,0.0216
29636000,Сухиничский муниципальный район,female,2011,0.0529,0.04135,0.044,0.05032,0.0734,0.06824,0.07294,0.07654,0.0664,0.0795,0.163,0.0856,0.081,0.04477
29636000,Сухиничский муниципальный район,male,2011,0.05673,0.0455,0.04626,0.06213,0.1077,0.0962,0.0775,0.0786,0.068,0.0767,0.1373,0.06696,0.05365,0.02669
29638000,Тарусский муниципальный район,female,2011,0.04825,0.05365,0.0395,0.0474,0.07715,0.0776,0.072,0.06018,0.06366,0.0863,0.1631,0.0878,0.07837,0.04504
29638000,Тарусский муниципальный район,male,2011,0.05942,0.0507,0.04507,0.05734,0.09314,0.0865,0.085,0.0612,0.0662,0.07214,0.1533,0.0819,0.05884,0.02927
29642000,Ульяновский муниципальный район,female,2011,0.0487,0.0473,0.05585,0.05212,0.07263,0.0769,0.0704,0.06726,0.06866,0.07635,0.1602,0.08435,0.0812,0.03818
29642000,Ульяновский муниципальный район,male,2011,0.05087,0.05295,0.0673,0.05896,0.073,0.0898,0.0673,0.0706,0.0754,0.0856,0.1583,0.0733,0.05954,0.01706
29644000,Ферзиковский муниципальный район,female,2011,0.058,0.05075,0.04404,0.05588,0.0863,0.07916,0.07294,0.0662,0.0672,0.0747,0.1515,0.0805,0.0755,0.0373
29644000,Ферзиковский муниципальный район,male,2011,0.06186,0.05927,0.05063,0.0568,0.09076,0.092,0.0809,0.0758,0.0642,0.0757,0.1401,0.0713,0.05597,0.02477
29646000,Хвастовичский муниципальный район,female,2011,0.06232,0.04935,0.04935,0.0637,0.08636,0.0691,0.06537,0.06683,0.0802,0.08203,0.1489,0.07544,0.06354,0.0374
29646000,Хвастовичский муниципальный район,male,2011,0.06586,0.0511,0.06305,0.06305,0.0829,0.0628,0.06665,0.06995,0.0786,0.1013,0.1522,0.0723,0.04944,0.02068
29650000,Юхновский муниципальный район,female,2011,0.05075,0.0497,0.04562,0.0429,0.06537,0.0765,0.0722,0.0698,0.0644,0.0903,0.1707,0.0839,0.0707,0.04733
29650000,Юхновский муниципальный район,male,2011,0.05307,0.05273,0.04916,0.05484,0.0854,0.0891,0.0815,0.0786,0.06586,0.0879,0.1492,0.0744,0.05325,0.02502
29701000,город Калуга,female,2011,0.04218,0.0384,0.03265,0.05005,0.07996,0.08,0.07526,0.07306,0.0662,0.0807,0.1697,0.09216,0.0788,0.0409
29701000,город Калуга,male,2011,0.05286,0.0458,0.04047,0.05722,0.091,0.0943,0.085,0.0773,0.0681,0.0776,0.1444,0.07654,0.06244,0.02696
29715000,город Обнинск,female,2011,0.047,0.0422,0.03732,0.04938,0.0819,0.0809,0.0724,0.071,0.0716,0.0905,0.1542,0.0812,0.07654,0.04388
29715000,город Обнинск,male,2011,0.05347,0.0497,0.04477,0.0597,0.0972,0.09656,0.08026,0.0749,0.0712,0.0843,0.1322,0.06555,0.0588,0.0314
47605000,Кольский муниципальный район,female,2011,0.05212,0.04935,0.04474,0.04593,0.07086,0.07806,0.0739,0.0766,0.0667,0.0836,0.1667,0.0915,0.0651,0.0347
47605000,Кольский муниципальный район,male,2011,0.0504,0.04968,0.04248,0.0528,0.0897,0.10364,0.10913,0.095,0.078,0.08057,0.1295,0.0656,0.03772,0.01573
47608000,Кандалакшский муниципальный район,female,2011,0.04987,0.05035,0.04453,0.03995,0.0576,0.07416,0.0758,0.07764,0.06696,0.07904,0.1796,0.1017,0.0675,0.03534
47608000,Кандалакшский муниципальный район,male,2011,0.05826,0.05765,0.05014,0.05103,0.08093,0.0943,0.0892,0.08344,0.07416,0.07635,0.1407,0.0754,0.0489,0.01967
47610000,Ловозерский муниципальный район,female,2011,0.05457,0.04935,0.0531,0.04178,0.05402,0.0648,0.0666,0.076,0.06195,0.07904,0.1847,0.1073,0.076,0.03079
47610000,Ловозерский муниципальный район,male,2011,0.04855,0.04178,0.04822,0.04837,0.081,0.1089,0.11475,0.1017,0.0733,0.0753,0.133,0.06934,0.0424,0.0134
47615000,Печенгский муниципальный район,female,2011,0.06635,0.0574,0.0482,0.03824,0.0704,0.0874,0.0863,0.0864,0.07184,0.0851,0.142,0.07227,0.05768,0.03062
47615000,Печенгский муниципальный район,male,2011,0.05887,0.04807,0.04172,0.11017,0.1857,0.1004,0.0784,0.0768,0.066,0.06445,0.0912,0.04105,0.02628,0.01092
47620000,Терский муниципальный район,female,2011,0.05298,0.0514,0.04214,0.04468,0.0428,0.04022,0.0616,0.0702,0.0673,0.0881,0.2042,0.1127,0.08716,0.0345
47620000,Терский муниципальный район,male,2011,0.0565,0.04425,0.05118,0.04556,0.06537,0.0591,0.0674,0.07,0.0759,0.09216,0.182,0.10004,0.0704,0.02014
47703000,Ковдорский район,female,2011,0.047,0.04733,0.04938,0.0416,0.0517,0.06995,0.0766,0.0754,0.0634,0.0766,0.1912,0.10126,0.0715,0.03723
47703000,Ковдорский район,male,2011,0.05832,0.053,0.05362,0.04782,0.0719,0.08984,0.086,0.0783,0.0739,0.0774,0.1522,0.08246,0.0534,0.02177
47705000,город Апатиты,female,2011,0.0488,0.0466,0.0404,0.05048,0.07837,0.0762,0.0738,0.0715,0.0655,0.0768,0.1664,0.0931,0.0739,0.03833
47705000,город Апатиты,male,2011,0.0608,0.0529,0.04947,0.05743,0.0932,0.0925,0.0827,0.07715,0.073,0.08124,0.1356,0.0705,0.05127,0.02225
47712000,город Кировск,female,2011,0.04962,0.04507,0.0425,0.0442,0.0665,0.07526,0.0704,0.07324,0.07416,0.0841,0.1682,0.0926,0.0759,0.0382
47712000,город Кировск,male,2011,0.06213,0.05765,0.05264,0.05643,0.08746,0.08844,0.0806,0.07605,0.0736,0.08344,0.1384,0.07196,0.0472,0.02403
47715000,город Мончегорск,female,2011,0.0502,0.04865,0.05008,0.04236,0.0561,0.0755,0.08545,0.0774,0.06775,0.08685,0.1733,0.093,0.0648,0.02844
47715000,город Мончегорск,male,2011,0.05875,0.06052,0.0565,0.06445,0.08026,0.08594,0.0901,0.0813,0.0679,0.0842,0.1414,0.0706,0.04413,0.01398
47717000,город Оленегорск,female,2011,0.0555,0.0573,0.0499,0.04315,0.0671,0.07886,0.0843,0.0798,0.0696,0.08545,0.1553,0.0816,0.06207,0.0301
47717000,город Оленегорск,male,2011,0.06143,0.05502,0.05252,0.0678,0.1301,0.09125,0.0902,0.085,0.0679,0.0781,0.11346,0.05618,0.0363,0.01461
47719000,город Полярные Зори,female,2011,0.05228,0.0516,0.0475,0.03955,0.05292,0.0762,0.0851,0.0883,0.06335,0.08575,0.1604,0.0914,0.0769,0.0288
47719000,город Полярные Зори,male,2011,0.0689,0.0583,0.05267,0.04507,0.06647,0.09357,0.0939,0.10126,0.0703,0.07764,0.1296,0.0696,0.0528,0.01997
60601000,Азовский муниципальный район,female,2011,0.05853,0.05573,0.04874,0.05972,0.08136,0.08484,0.07263,0.0668,0.0632,0.0831,0.1488,0.0782,0.05832,0.03998
60601000,Азовский муниципальный район,male,2011,0.0659,0.0623,0.05478,0.0642,0.0875,0.0956,0.0778,0.0698,0.06604,0.0776,0.1364,0.07245,0.045,0.02454
60602000,Аксайский муниципальный район,female,2011,0.05603,0.04944,0.04584,0.05362,0.0857,0.0912,0.08185,0.07245,0.06885,0.08044,0.1405,0.07434,0.063,0.03674
60602000,Аксайский муниципальный район,male,2011,0.05917,0.05176,0.0487,0.0694,0.11456,0.093,0.0829,0.0732,0.0704,0.0784,0.12354,0.0641,0.0487,0.02223
60605000,Багаевский муниципальный район,female,2011,0.06396,0.0555,0.05762,0.06082,0.0774,0.07,0.06854,0.07104,0.0682,0.0848,0.1469,0.0762,0.05945,0.03976
60605000,Багаевский муниципальный район,male,2011,0.07324,0.0619,0.05878,0.06213,0.0841,0.0823,0.0688,0.0732,0.0689,0.08734,0.137,0.06946,0.04883,0.0241
60606000,Белокалитвинский муниципальный район,female,2011,0.05542,0.04724,0.0443,0.04932,0.0656,0.07623,0.07324,0.06854,0.0651,0.0809,0.1682,0.09,0.0771,0.0387
60606000,Белокалитвинский муниципальный район,male,2011,0.0619,0.05612,0.0508,0.0566,0.07477,0.08636,0.07574,0.0712,0.06635,0.0785,0.1537,0.0797,0.06256,0.0257
60607000,Боковский муниципальный район,female,2011,0.05972,0.05252,0.04974,0.05792,0.0781,0.0768,0.0679,0.06635,0.0662,0.09467,0.154,0.0815,0.05972,0.0348
60607000,Боковский муниципальный район,male,2011,0.06647,0.0587,0.05365,0.0591,0.0828,0.0859,0.07104,0.0686,0.06744,0.08875,0.1431,0.0758,0.05292,0.02574
60608000,Верхнедонской муниципальный район,female,2011,0.05002,0.04834,0.04938,0.05548,0.0672,0.0719,0.0636,0.0687,0.0717,0.08405,0.1704,0.08856,0.0696,0.04105
