oktmo,name,gender,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69
1601000,Алейский муниципальный район,female,2016,0.0698,0.05493,0.04813,0.0431,0.02713,0.02795,0.05304,0.0593,0.06232,0.06464,0.2046,0.12256,0.09937,0.0631
1601000,Алейский муниципальный район,male,2016,0.0747,0.062,0.0553,0.0433,0.0374,0.04752,0.05353,0.05817,0.0654,0.05695,0.1904,0.11707,0.08386,0.05435
1602000,Алтайский муниципальный район,female,2016,0.06854,0.06128,0.05453,0.05222,0.05453,0.05624,0.0716,0.07074,0.06616,0.05603,0.1489,0.0922,0.0841,0.06287
1602000,Алтайский муниципальный район,male,2016,0.0784,0.07214,0.064,0.05087,0.06476,0.063,0.0794,0.0706,0.06238,0.05167,0.1384,0.0865,0.06964,0.0481
1603000,Баевский муниципальный район,female,2016,0.0679,0.065,0.0522,0.04688,0.02792,0.0322,0.05463,0.0585,0.0656,0.0591,0.192,0.1231,0.0911,0.0638
1603000,Баевский муниципальный район,male,2016,0.0758,0.06635,0.05753,0.04166,0.02777,0.04584,0.05994,0.0615,0.0721,0.05862,0.1909,0.11725,0.0747,0.05002
1604000,Бийский муниципальный район,female,2016,0.0742,0.0584,0.0505,0.04114,0.04,0.05527,0.061,0.07043,0.0652,0.06177,0.1602,0.0989,0.0939,0.06915
1604000,Бийский муниципальный район,male,2016,0.08203,0.0651,0.05875,0.04913,0.05157,0.0696,0.0705,0.06586,0.0647,0.05527,0.1471,0.0886,0.08124,0.05057
1605000,Благовещенский муниципальный район,female,2016,0.0643,0.06177,0.05255,0.05032,0.05066,0.05283,0.0727,0.0715,0.0652,0.05444,0.1624,0.1001,0.0789,0.0625
1605000,Благовещенский муниципальный район,male,2016,0.0727,0.07336,0.0614,0.04858,0.04465,0.0816,0.07196,0.06866,0.0719,0.05594,0.1492,0.08875,0.0659,0.04538
1606000,Бурлинский муниципальный район,female,2016,0.0658,0.0679,0.0636,0.04633,0.0272,0.04138,0.05957,0.0695,0.071,0.06158,0.1791,0.10736,0.0809,0.05884
1606000,Бурлинский муниципальный район,male,2016,0.06757,0.06836,0.0703,0.05258,0.03214,0.0481,0.06055,0.06854,0.06793,0.0658,0.1758,0.09985,0.073,0.04947
1607000,Быстроистокский муниципальный район,female,2016,0.0715,0.06113,0.05807,0.0398,0.03056,0.03035,0.05585,0.05783,0.0734,0.0583,0.1711,0.1058,0.1071,0.07916
1607000,Быстроистокский муниципальный район,male,2016,0.06934,0.0709,0.0632,0.05637,0.04022,0.04205,0.05273,0.0634,0.06476,0.06116,0.1605,0.10254,0.0907,0.06207
1608000,Волчихинский муниципальный район,female,2016,0.06854,0.06647,0.06015,0.04492,0.04745,0.05475,0.06137,0.0747,0.0703,0.06256,0.1571,0.09406,0.0797,0.05783
1608000,Волчихинский муниципальный район,male,2016,0.0714,0.07666,0.0693,0.04834,0.04868,0.06396,0.0683,0.07196,0.07196,0.05588,0.1471,0.0882,0.07056,0.04764
1609000,Егорьевский муниципальный район,female,2016,0.06647,0.06335,0.05667,0.0537,0.04254,0.04074,0.06305,0.0653,0.0684,0.062,0.1676,0.10504,0.07855,0.06647
1609000,Егорьевский муниципальный район,male,2016,0.0698,0.06046,0.06445,0.06384,0.05612,0.04953,0.06168,0.0681,0.0668,0.05875,0.1561,0.0989,0.0757,0.04984
1610000,Ельцовский муниципальный район,female,2016,0.06665,0.05865,0.051,0.03824,0.01912,0.04016,0.0558,0.06216,0.0679,0.0593,0.1846,0.117,0.10394,0.07556
1610000,Ельцовский муниципальный район,male,2016,0.0756,0.06232,0.0538,0.047,0.02861,0.05484,0.06064,0.0681,0.0644,0.05994,0.1727,0.1073,0.0882,0.05655
1611000,Завьяловский муниципальный район,female,2016,0.05905,0.05627,0.057,0.0498,0.02748,0.0344,0.0625,0.0721,0.07666,0.05972,0.185,0.1123,0.0854,0.0623
1611000,Завьяловский муниципальный район,male,2016,0.0699,0.06836,0.06247,0.0546,0.0342,0.04288,0.0554,0.06824,0.0709,0.06146,0.1772,0.1112,0.07385,0.0492
1612000,Залесовский муниципальный район,female,2016,0.07355,0.05994,0.05655,0.0432,0.0289,0.0425,0.0588,0.0668,0.07086,0.0622,0.1799,0.1094,0.08374,0.0636
1612000,Залесовский муниципальный район,male,2016,0.0746,0.0644,0.05963,0.0458,0.04337,0.05444,0.0648,0.0647,0.07056,0.06137,0.1704,0.0982,0.0782,0.04956
