oktmo,name,year,saldo,popsize,avgemployers,avgsalary,shoparea,foodseats,retailturnover,livarea,sportsvenue,servicesnum,roadslen,livestock,harvest,agrprod,hospitals,beforeschool,factoriescap
1512000,Залесовский муниципальный округ,2022,-0.12896825396825398,0.0866798009817344,0.20009798229130205,0.31331084212021854,0.48797350278810586,0.22992227926294803,0.2025414949222392,0.4613143412107478,0.28266656316420913,0.4598242409684422,0.3542163769163562,0.041716228484843174,0.13931770412919753,0.10619570641891271,0.3237229370521612,0.3591377407092068,0.010659531876663493
1602000,Алтайский муниципальный район,2014,0.21726190476190477,0.1732994957758707,0.28011274644757944,0.3331215790255639,0.32330499877044316,0.6039714807541313,0.18522452514761142,0.33667853674328263,0.48276883198013915,0.3497792899193667,0.39328600021438853,0.16368987069517024,0.28112926883804384,0.14222762049051416,0.2125168599946048,0.3592623019511191,0.03440740077333136
1602000,Алтайский муниципальный район,2015,-0.05257936507936508,0.17478211506995692,0.2526454043946319,0.2987331974841441,0.3558882884377624,0.6451442551408524,0.154703326725363,0.34315312398834574,0.4718354673125824,0.38481904645240467,0.38994988420630344,0.1562234199734673,0.27398221568847725,0.14218070611666808,0.21071414924916892,0.3612950424035965,0.03147843750164008
1602000,Алтайский муниципальный район,2016,-0.013888888888888888,0.1742411593815741,0.25085995508960685,0.297685019964851,0.3580849086703952,0.6750970732037265,0.17531157632007846,0.3496277112334089,0.3806981040181904,0.352654555497937,0.39116053735389683,0.1604199687084268,0.3259634833578623,0.14702790920706654,0.20130318129551553,0.33663688235062444,0.03272179830159689
1602000,Алтайский муниципальный район,2017,-0.041666666666666664,0.1737870237419441,0.24568039679347484,0.30350709145805765,0.373225258958053,0.6091750970677389,0.19882554097917154,0.35610229847847197,0.3816929342031583,0.38702249115002235,0.290948166519618,0.16403257028143373,0.2860867919594691,0.12966699355502917,0.19173776035662132,0.35374622112822857,0.0312191234500445
1602000,Алтайский муниципальный район,2018,0.06944444444444445,0.17287875246268408,0.2238128468994325,0.33532947246848205,0.3301996529025227,0.7753290306875827,0.18294806428626706,0.3625768857235351,0.390611756928441,0.3074021387895342,0.3073087150083292,0.1548658884597527,0.27260175760262845,0.126989826185481,0.19274511318859613,0.3353621543568368,0.037874151492717854
1602000,Алтайский муниципальный район,2019,0.15079365079365079,0.1726984338998898,0.21398045537466645,0.35033329166788146,0.34478038133754546,0.777006248930923,0.24344118607205367,0.36905147296859825,0.24568488392953455,0.2644495431104883,0.30762958338317836,0.1527783239604826,0.28986011935882766,0.13226730509521892,0.19294636296840556,0.3357123139982628,0.02573326104095441
1602000,Алтайский муниципальный район,2020,0.3869047619047619,0.17323271112298394,0.21780586194925547,0.3592741514438589,0.3518468948410383,0.7650948094035654,0.26548865313319026,0.3722887665911298,0.24492715268645032,0.2444605613169359,0.30668080483849064,0.15010350064857453,0.258755045315951,0.1363205644100714,0.19235128570877827,0.32683764455020037,0.024376142830484535
1602000,Алтайский муниципальный район,2021,0.32341269841269843,0.17466190269476076,0.20961456153372707,0.34324131094136506,0.3598279046902621,0.4512683529178067,0.2574010495314606,0.37714470702492714,0.24292300743829903,0.24246023400757083,0.30526055454712253,0.14955598838493037,0.3538264179576864,0.14757323105333578,0.17069552250219858,0.32535943144403573,0.023860510910530413
1602000,Алтайский муниципальный район,2022,0.2490079365079365,0.1750425752162153,0.2037416438898267,0.31683799178457805,0.3403476762635287,0.45456725476876153,0.24741203077472354,0.3868565878925218,0.2492227325276182,0.26565186166034516,0.30388788748926115,0.14550798594884012,0.32110884645828836,0.13115535804340953,0.1502861503243037,0.3168936339131032,0.033457154311576816
1603000,Баевский муниципальный район,2014,-0.17956349206349206,0.06642401576117808,0.284909204493346,0.32461301585802266,0.33927348039174443,0.07444510254946293,0.08170344150548142,0.4273227581741664,0.5128120421705783,0.687552858967838,0.4806630647671434,0.25680520264228857,0.15377252291797816,0.20043593452602498,0.34323346068771365,0.29880727065965307,0.03369468789086516
1603000,Баевский муниципальный район,2015,-0.15476190476190477,0.06476775636958627,0.275724702389329,0.29563997094410965,0.31567036159378964,0.07634883377572267,0.0876885621685789,0.4370346390417611,0.43365812965079226,0.705135155216964,0.4929547166605494,0.2427106270508488,0.11540318335874387,0.3157559778101068,0.29785522788203755,0.3064484547309661,0.020034037534549395
1603000,Баевский муниципальный район,2016,-0.10813492063492064,0.06351888336060374,0.23470287636126175,0.30551608971725996,0.3238262962041826,0.07784996214456508,0.09347396277973877,0.44189057947555843,0.44218447496092766,0.5882720163031041,0.5026469185336987,0.23503521685485873,0.1522099592735558,0.37846378016952936,0.30371149195668173,0.37825760544057524,0.013898484223654715
1603000,Баевский муниципальный район,2017,-0.0625,0.06252379203259091,0.2276959070589464,0.3104163259653245,0.346086399616798,0.023966356255039987,0.10707940729206732,0.44836516672062154,0.31541120479044227,0.5179499886901995,0.510646746653921,0.23348857533142303,0.19248003142620682,0.2870167247549706,0.2524460585345012,0.3700761593602196,0.01190237592776648
1603000,Баевский муниципальный район,2018,-0.13988095238095238,0.06169566233679501,0.2119675877551832,0.35625765937045,0.3411273051010209,0.03400327323701647,0.09421006691635474,0.459695694399482,0.34870354062250236,0.4306890974618901,0.5175010654009534,0.22639786166935433,0.1302166738385477,0.2864701375545664,0.25583459623295085,0.37589022419056406,0.018770542338959167
