oktmo,name,year,saldo,popsize,avgemployers,avgsalary,shoparea,foodseats,retailturnover,livarea,sportsvenue,servicesnum,roadslen,livestock,harvest,agrprod,hospitals,beforeschool,factoriescap
1512000,Залесовский муниципальный округ,2022,-0.15776699029126215,0.11405196882222164,0.27322137616729425,0.3559342205456235,0.5578468341419093,0.23925250008585552,0.2390661650466016,0.4446177847113885,0.2751400149103264,0.4994735084880705,0.34405444288745674,0.03790733774605722,0.1304834591401613,0.10030654140208387,0.3237229370521612,0.3595244710615926,0.01354237757671836
1602000,Алтайский муниципальный район,2014,0.2657766990291262,0.2280248508334871,0.3824765706782181,0.3784400462333694,0.36959931019996695,0.6284805770637145,0.21862639513260157,0.32449297971918883,0.46991417075422587,0.37993971080024497,0.38200321757327954,0.14874420434015848,0.26330264120283137,0.13434027781664526,0.2125168599946048,0.3596491664348075,0.04371280259746009
1602000,Алтайский муниципальный район,2015,-0.06432038834951456,0.22997565883707238,0.3449716198065054,0.3393734065443598,0.40684822819036787,0.6713241381099595,0.1826012543967012,0.3307332293291732,0.4592719282336486,0.41800084062511944,0.37876280970574416,0.14195947620073138,0.25660878830421335,0.13429596511567804,0.21071414924916892,0.3616840958035206,0.03999170799475798
1602000,Алтайский муниципальный район,2016,-0.01699029126213592,0.22926387753846694,0.3425336995905698,0.33818263304351853,0.4093593842994289,0.7024924382378638,0.2069258265088173,0.33697347893915763,0.370561274893516,0.38306290192070186,0.37993873103905834,0.14577286000942583,0.3052938829832213,0.13887436281052845,0.20130318129551553,0.3369993831000039,0.04157133284244652
1602000,Алтайский муниципальный район,2017,-0.050970873786407765,0.22866633274457596,0.335461334195362,0.34479674976182934,0.42666769392589843,0.6338953555554253,0.23468010648117013,0.343213728549142,0.37152961578555954,0.42039428176158633,0.28260130209810147,0.14905561381876567,0.2679458038912648,0.12247621016055428,0.19173776035662132,0.3541271457296974,0.03966226305868681
1602000,Алтайский муниципальный район,2018,0.08495145631067962,0.22747124315679398,0.30560255197756186,0.3809483055273498,0.37748121558644476,0.8067917975404326,0.21593941601156158,0.3494539781591264,0.3802109574700774,0.33390850481169576,0.2984924911069765,0.14072589379262865,0.25531586614930535,0.11994750717764283,0.19274511318859613,0.335723282440661,0.048117128017141374
1602000,Алтайский муниципальный район,2019,0.18446601941747573,0.22723398272392553,0.29217703157675473,0.3979932716568545,0.39414977064217355,0.8085370771157531,0.2873413706706664,0.3556942277691108,0.23914304497467032,0.2872522354134172,0.2988041542517187,0.13882893389441395,0.27147986163801074,0.12493231941355425,0.19294636296840556,0.33607381914455126,0.03269276187069678
1602000,Алтайский муниципальный район,2020,0.4733009708737864,0.22793697659909137,0.2974003868387136,0.40815046230443874,0.40222814408626667,0.7961422726815008,0.31336469690967134,0.358814352574103,0.23840548980299933,0.265539663569657,0.2978825947336133,0.13639833471567064,0.24234718475897235,0.1287608020988601,0.19235128570877827,0.3271895931847277,0.03096861418437493
1602000,Алтайский муниципальный район,2021,0.39563106796116504,0.22981748521516007,0.2862156744967757,0.38993648493688315,0.4113519613677517,0.46958077308261237,0.3038186412817868,0.3634945397815913,0.23645470882881503,0.26336685402566945,0.29650308928270414,0.13590081293453438,0.3313900070265057,0.13938944341213483,0.17069552250219858,0.32570978829410085,0.030313530806284537
1602000,Алтайский муниципальный район,2022,0.30461165048543687,0.23031836835121575,0.27819656994404884,0.3599412100836678,0.38908234284517945,0.47301354400811346,0.2920282849023766,0.37285491419656785,0.24258669145740525,0.2885582262919157,0.29516980197404313,0.13222241243873,0.3007470824205416,0.12388203624533209,0.1502861503243037,0.317234874537021,0.04250556418165372
1603000,Баевский муниципальный район,2014,-0.2196601941747573,0.08739971352999587,0.38902583645784605,0.36877396261332046,0.3878543319738937,0.0774660766290393,0.09643716927893621,0.4118564742589704,0.4991574219092961,0.7468384833657304,0.4668735658263709,0.23335766211566467,0.1440216865219102,0.18932060478689497,0.34323346068771365,0.29912903534205443,0.04280733816714313
1603000,Баевский муниципальный район,2015,-0.18932038834951456,0.08522043251698169,0.37648496885120647,0.33585937182392794,0.3608714629818616,0.07944706105923127,0.10350159745854072,0.421216848673947,0.42211113660722843,0.7659368483765266,0.4788125887511946,0.22054998853783475,0.10808537690565756,0.2982454858977643,0.29785522788203755,0.30677844767086754,0.025452196570937707
1603000,Баевский муниципальный район,2016,-0.13228155339805825,0.08357718433378149,0.3204722113414019,0.3470790558085263,0.37019525264642417,0.08100910505229997,0.11033028971194418,0.4258970358814353,0.43041045135284417,0.6389969508989591,0.4882267359593192,0.213575379921319,0.14255820626485824,0.35747577858762875,0.30371149195668173,0.37866492464004387,0.01765729708195302
1603000,Баевский муниципальный район,2017,-0.07645631067961164,0.08226785824128507,0.31090462963158977,0.35264592913356435,0.39564279876408953,0.02493890835784975,0.126389228373207,0.43213728549141966,0.3070127666232387,0.5626112653991313,0.49599706106698194,0.21216995414985323,0.18027472152862475,0.27109999034384435,0.2524460585345012,0.37047466853176014,0.015121345922022763
1603000,Баевский муниципальный район,2018,-0.17111650485436894,0.08117821773477799,0.2894285857666557,0.40472360114743205,0.38997360738375747,0.03538312232784857,0.11119913682440025,0.4430577223088924,0.33941862911611254,0.46782612879170576,0.502654739739022,0.20572665648342398,0.12195953232492966,0.2705837145592951,0.25583459623295085,0.3762949941224919,0.02384699202696403
