oktmo,name,year,saldo,popsize,avgemployers,avgsalary,shoparea,foodseats,retailturnover,livarea,sportsvenue,servicesnum,roadslen,livestock,harvest,agrprod,hospitals,beforeschool
1703000,город Алейск,2014,-0.04466608846487424,0.06290178729115892,0.3782889319643961,0.2945401052735872,0.32752659153979374,0.19948963231927022,0.22604873576096426,0.45588235294117646,0.14169896365523363,0.49131919751296255,0.26152076110866807,0.17498323885988976,0.15826986277785612,0.11014765703086196,0.06533935653368496,0.4674988686184639
1703000,город Алейск,2015,0.10060711188204684,0.0626346649712126,0.36666658516832107,0.26475631178423503,0.32690183878400086,0.21309239518958184,0.20619252405745547,0.45588235294117646,0.14230327687257055,0.43559254120073904,0.26263608650321724,0.1643731514136395,0.14725455367410778,0.0833693890555584,0.02187267124529214,0.47812982684007205
1703000,город Алейск,2016,0.10407632263660017,0.06297905407792025,0.33993218730932556,0.2703980735213644,0.3261827673455234,0.2119271395232339,0.18768516454811043,0.453781512605042,0.1524116657319125,0.4293768633586209,0.2611999104833595,0.15932865353206635,0.16159550111434823,0.07152287281360409,0.021753064658280585,0.4914680339918372
1703000,город Алейск,2017,0.1196877710320902,0.06343603193105153,0.32720360551228833,0.27741059501386733,0.29063455702982044,0.3233871753888528,0.3107770946690198,0.45168067226890757,0.15131372890203584,0.45673257443242704,0.259318289412538,0.1752244800700163,0.14054692793470802,0.06334834668444364,0.021596360834224067,0.4891459131452164
1703000,город Алейск,2018,0.14570685169124023,0.06395923845854969,0.30852840531517356,0.29675446137584344,0.2895238141714103,0.25863091284351164,0.3298355159553753,0.44957983193277307,0.16615549989152087,0.5284957527049711,0.41988903114803977,0.17097808875956555,0.16370813727622188,0.06168964931177494,0.042839391727973804,0.503873663955269
1703000,город Алейск,2019,-0.0836947094535993,0.06457074988520363,0.30737923697212904,0.3126779423516011,0.29413483024792336,0.34830277295225565,0.34082383186148374,0.45588235294117646,0.36101844751713125,0.4262709836233718,0.41591251018568187,0.15608800620769353,0.15521106075512653,0.05534476703450181,0.04243368515651329,0.49999943921137646
1703000,город Алейск,2020,-0.18473547267996532,0.06396365370350747,0.3139842077057339,0.3153441184615987,0.3495223247461944,0.3555518820347191,0.3522773797148773,0.4642857142857143,0.39124239465925115,0.41521799944051474,0.41986004729830223,0.14375402180951397,0.1593251487533661,0.05203075938083945,0.04283643463597906,0.4836007502792837
1703000,город Алейск,2021,-0.10190806591500434,0.0627715375649041,0.3163553833361546,0.29957540310069564,0.37900502429496263,0.37234969719552363,0.3631640710592936,0.4747899159663866,0.3986726152794944,0.43848913272842377,0.42783375572979565,0.1428046712425746,0.15541706058243987,0.054841335702074556,0.04364995628975372,0.4980175506701055
1703000,город Алейск,2022,-0.1261925411968777,0.06176044646957013,0.30878543952115944,0.2866575078828833,0.4030751361703221,0.37844549935864735,0.34592707219740915,0.5357142857142857,0.416300706728216,0.46521454479779667,0.43483789714115706,0.1296418907032122,0.14741149358351674,0.05046182441561706,0.044364557375709796,0.5027294734542093
1705000,город Бийск,2014,0.23980919340849957,0.4718196990569037,0.3518365721975652,0.301227086439117,0.41447314373770644,0.2451502993890167,0.3076556176775119,0.42016806722689076,0.14022890777849298,0.4805142514770102,0.2231377563300318,0.0319817663304191,0.2010963813023669,0.0772951026487387,0.08420512265208437,0.3046262938990382
1705000,город Бийск,2015,-0.05160450997398092,0.4720912366218078,0.32187703526610967,0.2671350205297669,0.43307903027697675,0.248036848194253,0.2814540622952194,0.4264705882352941,0.14305287783865825,0.4817721754513947,0.22300941189511791,0.03056302371529792,0.19051221655618894,0.06444636406948642,0.08705864433818195,0.3550769673657112
1705000,город Бийск,2016,-0.03165654813529922,0.4714421956130126,0.3202159045134643,0.2697511684451547,0.43849846128528097,0.25390675910416965,0.2837239079477578,0.4327731092436975,0.1439769771698295,0.4921660889693328,0.22331643204523202,0.029689183786497497,0.2017691405002639,0.055002434971563784,0.09008444915390297,0.3667130980645318
1705000,город Бийск,2017,-0.07632263660017347,0.46985712267316593,0.31193529546888266,0.2808422832297125,0.44099275365649554,0.25816314548194996,0.32752877064436475,0.4390756302521008,0.14446268654712793,0.49125708545775487,0.22406979475141842,0.028702918662887728,0.21862570503356532,0.058041915980943,0.09621985746101254,0.36943056646238315
1705000,город Бийск,2018,-0.047267996530789246,0.46715940800395606,0.3105290273895433,0.2979267121034256,0.4542420073789302,0.26208358133506493,0.3231737009262761,0.4411764705882353,0.1805204133711024,0.4966781308790567,0.22536373502506182,0.028281121963351433,0.20445376710818636,0.05306345875382438,0.0967755001741732,0.37950473851610794
1705000,город Бийск,2019,0.07415437987857762,0.4643159902511391,0.30459413149539455,0.3138418550467482,0.4789109969434246,0.2668573405163973,0.349604395266416,0.4453781512605042,0.3610368492692906,0.482039740190323,0.22674383663359096,0.0255057909626478,0.1717597553282323,0.04728783458575056,0.10031869197727589,0.36909560762422733
1705000,город Бийск,2020,0.3165654813529922,0.4618544911871711,0.30327345803415784,0.3093060660601522,0.48510125860573283,0.23082511368004363,0.3766026808441574,0.45168067226890757,0.36741454034687115,0.42867230981056215,0.22795229027490874,0.032331187768102704,0.16997007969016997,0.04713870693930867,0.10381962535072584,0.3947823076208998
1705000,город Бийск,2021,0.28274067649609713,0.4593554625410618,0.29506909213183813,0.29738442417697764,0.4892161339177913,0.24201019754755554,0.392858659494184,0.46008403361344535,0.33359147952783963,0.4310044130930276,0.20770562853348434,0.03143225396754134,0.1734373326552888,0.05509828875592038,0.11631408427786692,0.3994957628080851
