oktmo,name,year,saldo,popsize,avgemployers,avgsalary,shoparea,foodseats,retailturnover,livarea,sportsvenue,servicesnum,roadslen,livestock,harvest,agrprod,hospitals,beforeschool
1512000,Залесовский муниципальный округ,2022,-0.16331658291457288,0.12467460111620222,0.06512708930867372,0.3500355641049497,0.18195713932806323,0.09159779614325068,0.10827328282637486,0.4398148148148148,0.12538226299694188,0.19123505976095617,0.22062407132243683,0.023221301335411747,0.06953061781820147,0.05884764334182491,0.1839080459770115,0.13984045049272642
1602000,Алтайский муниципальный район,2014,0.2751256281407035,0.24926274939242865,0.18227672831569577,0.3721684160071399,0.2410264328063241,0.4810606060606061,0.1979635244979775,0.3209876543209877,0.42813455657492355,0.2908366533864542,0.48974739970282316,0.18217245707605095,0.2805144489334099,0.1575743248707043,0.2413793103448276,0.27968090098545284
1602000,Алтайский муниципальный район,2015,-0.06658291457286432,0.2513952527784982,0.16580951439026803,0.33374920124249924,0.2675873888339921,0.5182506887052342,0.1667577518153357,0.3271604938271605,0.42201834862385323,0.32270916334661354,0.48974739970282316,0.17535039264821167,0.27572188435408496,0.15886999028655183,0.2413793103448276,0.28366963866729233
1602000,Алтайский муниципальный район,2016,-0.017587939698492462,0.25061717721871607,0.16412817723271683,0.3325781616232986,0.26840569416996046,0.540633608815427,0.1883869153381701,0.33333333333333337,0.3394495412844037,0.2948207171314741,0.48974739970282316,0.17950344615077873,0.3270179383587977,0.1637776915135888,0.22988505747126436,0.2634913186297513
1602000,Алтайский муниципальный район,2017,-0.052763819095477386,0.2499639779833434,0.1603204430817921,0.33908266707096507,0.27902513586956523,0.4865702479338843,0.21309777073898228,0.3395061728395062,0.3394495412844037,0.32270916334661354,0.36332838038632986,0.1830674140501448,0.286264192381396,0.1440625171531614,0.21839080459770116,0.27616142656030035
1602000,Алтайский муниципальный район,2018,0.08793969849246232,0.2486575795125981,0.14528731084956978,0.37463510762095564,0.24556879940711462,0.6160468319559229,0.19505578118441927,0.345679012345679,0.345565749235474,0.2549800796812749,0.3817533432392273,0.17193369614964588,0.271345201234428,0.1403507573203134,0.21839080459770116,0.2604411074612858
1602000,Алтайский муниципальный район,2019,0.19095477386934673,0.24839822099267073,0.13875976659084166,0.3913975990867802,0.2561450098814229,0.6167355371900827,0.2592816863256551,0.35185185185185186,0.21712538226299694,0.21912350597609562,0.3817533432392273,0.1694391451914755,0.28822307006609815,0.14603101908605964,0.21839080459770116,0.2604411074612858
1602000,Алтайский муниципальный район,2020,0.4899497487437186,0.24916669068134445,0.14167738107012165,0.4013864615024212,0.262203557312253,0.6091597796143251,0.28363854872960287,0.3549382716049383,0.21712538226299694,0.20318725099601595,0.3817533432392273,0.16698764279661593,0.2580896583652477,0.15097168056346313,0.21839080459770116,0.25434068512435476
1602000,Алтайский муниципальный район,2021,0.40954773869346733,0.25122234709854663,0.1374740381762437,0.38347433202896447,0.27036345108695653,0.3622589531680441,0.2772668116150986,0.35956790123456794,0.21712538226299694,0.20318725099601595,0.38312035661218424,0.16775118836691877,0.3558281613796902,0.1647820815681373,0.19540229885057472,0.25527921163772876
1602000,Алтайский муниципальный район,2022,0.31532663316582915,0.25176988175172665,0.1339135594896647,0.35397614852294096,0.2562839673913043,0.365702479338843,0.2670877048632039,0.36882716049382713,0.22324159021406728,0.22310756972111553,0.3822288261515602,0.1635664148703332,0.32362930333960876,0.14676886748971515,0.1724137931034483,0.24917878930079776
1603000,Баевский муниципальный район,2014,-0.22738693467336685,0.09553999404435991,0.07106122045297202,0.36266252183533815,0.09694602272727272,0.022727272727272728,0.033469934796600265,0.4074074074074074,0.1743119266055046,0.21912350597609562,0.22942050520059434,0.10954499934294298,0.058810617805791734,0.08511476903259685,0.14942528735632185,0.08916001877053027
1603000,Баевский муниципальный район,2015,-0.19597989949748743,0.09315773800947139,0.06705568193057067,0.3302934022362526,0.08795238389328064,0.022727272727272728,0.035026052149549486,0.4166666666666667,0.1437308868501529,0.21912350597609562,0.22942050520059434,0.10095114667778377,0.04303566474369967,0.13074185598364366,0.12643678160919541,0.08916001877053027
1603000,Баевский муниципальный район,2016,-0.13693467336683418,0.09136144011219657,0.05597863712788052,0.3413271500074219,0.08848505434782608,0.022727272727272728,0.0366170115992249,0.42129629629629634,0.1437308868501529,0.17928286852589642,0.22942050520059434,0.09587368192096284,0.05566699761895842,0.15368496740199694,0.12643678160919541,0.10793054903801032
1603000,Баевский муниципальный район,2017,-0.07914572864321608,0.08993016531704177,0.05345663139155375,0.34680176731632634,0.0930860918972332,0.006887052341597796,0.041289598191370756,0.42746913580246915,0.10091743119266056,0.1553784860557769,0.22942050520059434,0.09375070803558078,0.06929196297832863,0.1147246458796177,0.10344827586206896,0.10394181135617081
1603000,Баевский муниципальный район,2018,-0.1771356783919598,0.08873903729959752,0.04910493521906834,0.3980163913912546,0.09053699357707509,0.009641873278236915,0.03584605207330037,0.4382716049382716,0.11009174311926606,0.12749003984063745,0.22942050520059434,0.08969961165664465,0.04625653557093381,0.11298952926524784,0.10344827586206896,0.10417644298451431
1603000,Баевский муниципальный район,2019,-0.14824120603015076,0.0866257456557448,0.05063791909801207,0.40332941379307774,0.09155601531620552,0.013774104683195593,0.032699182453412655,0.4490740740740741,0.11009174311926606,0.11952191235059761,0.22942050520059434,0.07917537078407294,0.05349707676906487,0.11509929640410863,0.10344827586206896,0.10089160018770531
