oktmo,name,year,docsnum
1605157,Степноозёрский поссовет,2008,28.0
1605157,Степноозёрский поссовет,2009,24.0
1605157,Степноозёрский поссовет,2010,21.0
1605157,Степноозёрский поссовет,2011,21.0
1605157,Степноозёрский поссовет,2012,22.0
1605157,Степноозёрский поссовет,2013,18.0
1605420,Гляденьский сельсовет,2008,1.0
1605420,Гляденьский сельсовет,2009,1.0
1605420,Гляденьский сельсовет,2010,1.0
1605420,Гляденьский сельсовет,2011,1.0
1605420,Гляденьский сельсовет,2012,1.0
1605436,Леньковский сельсовет,2008,2.0
1605436,Леньковский сельсовет,2009,2.0
1605436,Леньковский сельсовет,2010,2.0
1605436,Леньковский сельсовет,2011,2.0
1605436,Леньковский сельсовет,2012,2.0
1605436,Леньковский сельсовет,2013,2.0
1605452,Николаевский сельсовет,2008,1.0
1605452,Николаевский сельсовет,2009,1.0
1605452,Николаевский сельсовет,2010,1.0
1605456,Новокулундинский сельсовет,2008,1.0
1605456,Новокулундинский сельсовет,2009,1.0
1605456,Новокулундинский сельсовет,2010,1.0
1605456,Новокулундинский сельсовет,2011,1.0
1605456,Новокулундинский сельсовет,2012,1.0
1606000,Бурлинский муниципальный район,2008,29.0
1606000,Бурлинский муниципальный район,2009,27.0
1606000,Бурлинский муниципальный район,2010,26.0
1606000,Бурлинский муниципальный район,2011,26.0
1606000,Бурлинский муниципальный район,2012,26.0
1606000,Бурлинский муниципальный район,2013,22.0
1606411,Бурлинский сельсовет,2008,28.0
1606411,Бурлинский сельсовет,2009,26.0
1606411,Бурлинский сельсовет,2010,25.0
1606411,Бурлинский сельсовет,2011,25.0
1606411,Бурлинский сельсовет,2012,25.0
1606411,Бурлинский сельсовет,2013,22.0
1606477,Устьянский сельсовет,2008,1.0
1606477,Устьянский сельсовет,2009,1.0
1606477,Устьянский сельсовет,2010,1.0
1606477,Устьянский сельсовет,2011,1.0
1606477,Устьянский сельсовет,2012,1.0
1607000,Быстроистокский муниципальный район,2008,22.0
1607000,Быстроистокский муниципальный район,2009,23.0
1607000,Быстроистокский муниципальный район,2010,20.0
1607000,Быстроистокский муниципальный район,2011,18.0
1607000,Быстроистокский муниципальный район,2012,20.0
1607000,Быстроистокский муниципальный район,2013,19.0
1607403,Акутихинский сельсовет,2008,1.0
1607403,Акутихинский сельсовет,2009,1.0
1607405,Быстроистокский сельсовет,2008,18.0
1607405,Быстроистокский сельсовет,2009,19.0
1607405,Быстроистокский сельсовет,2010,17.0
1607405,Быстроистокский сельсовет,2011,15.0
1607405,Быстроистокский сельсовет,2012,17.0
1607405,Быстроистокский сельсовет,2013,18.0
1607411,Верх-Ануйский сельсовет,2008,1.0
1607411,Верх-Ануйский сельсовет,2009,1.0
1607411,Верх-Ануйский сельсовет,2010,1.0
1607411,Верх-Ануйский сельсовет,2011,1.0
1607411,Верх-Ануйский сельсовет,2012,1.0
1607411,Верх-Ануйский сельсовет,2013,1.0
1607433,Новопокровский сельсовет,2008,1.0
1607433,Новопокровский сельсовет,2009,1.0
1607433,Новопокровский сельсовет,2010,1.0
1607433,Новопокровский сельсовет,2011,1.0
1607433,Новопокровский сельсовет,2012,1.0
1607455,Хлеборобный сельсовет,2008,1.0
1607455,Хлеборобный сельсовет,2009,1.0
1607455,Хлеборобный сельсовет,2010,1.0
1607455,Хлеборобный сельсовет,2011,1.0
1607455,Хлеборобный сельсовет,2012,1.0
1608000,Волчихинский муниципальный район,2008,37.0
1608000,Волчихинский муниципальный район,2009,40.0
1608000,Волчихинский муниципальный район,2010,39.0
1608000,Волчихинский муниципальный район,2011,37.0
1608000,Волчихинский муниципальный район,2012,36.0
1608000,Волчихинский муниципальный район,2013,35.0
1608421,Волчихинский сельсовет,2008,35.0
1608421,Волчихинский сельсовет,2009,39.0
1608421,Волчихинский сельсовет,2010,38.0
1608421,Волчихинский сельсовет,2011,36.0
1608421,Волчихинский сельсовет,2012,35.0
1608421,Волчихинский сельсовет,2013,34.0
1608423,Востровский сельсовет,2008,1.0
1608423,Востровский сельсовет,2009,1.0
1608423,Востровский сельсовет,2010,1.0
1608423,Востровский сельсовет,2011,1.0
1608423,Востровский сельсовет,2012,1.0
1608423,Востровский сельсовет,2013,1.0
1608478,Солоновский сельсовет,2008,1.0
1609000,Егорьевский муниципальный район,2008,42.0
1609000,Егорьевский муниципальный район,2009,34.0
1609000,Егорьевский муниципальный район,2010,34.0
1609000,Егорьевский муниципальный район,2011,33.0
1609000,Егорьевский муниципальный район,2012,34.0
1609000,Егорьевский муниципальный район,2013,31.0
1609422,Лебяжинский сельсовет,2008,11.0
1609422,Лебяжинский сельсовет,2009,7.0
1609422,Лебяжинский сельсовет,2010,7.0
1609422,Лебяжинский сельсовет,2011,6.0
1609422,Лебяжинский сельсовет,2012,5.0
1609422,Лебяжинский сельсовет,2013,4.0
1609433,Новоегорьевский сельсовет,2008,29.0
1609433,Новоегорьевский сельсовет,2009,25.0
1609433,Новоегорьевский сельсовет,2010,25.0
1609433,Новоегорьевский сельсовет,2011,25.0
1609433,Новоегорьевский сельсовет,2012,27.0
1609433,Новоегорьевский сельсовет,2013,25.0
1609444,Первомайский сельсовет,2008,1.0
1609444,Первомайский сельсовет,2009,1.0
1609444,Первомайский сельсовет,2010,1.0
1609444,Первомайский сельсовет,2011,1.0
1609444,Первомайский сельсовет,2012,1.0
1609444,Первомайский сельсовет,2013,1.0
1609455,Сростинский сельсовет,2008,1.0
1609455,Сростинский сельсовет,2009,1.0
1609455,Сростинский сельсовет,2010,1.0
1609455,Сростинский сельсовет,2011,1.0
1609455,Сростинский сельсовет,2012,1.0
1609455,Сростинский сельсовет,2013,1.0
1610000,Ельцовский муниципальный район,2008,13.0
1610000,Ельцовский муниципальный район,2009,10.0
1610000,Ельцовский муниципальный район,2010,8.0
1610000,Ельцовский муниципальный район,2011,7.0
1610000,Ельцовский муниципальный район,2012,8.0
1610000,Ельцовский муниципальный район,2013,9.0
1610422,Ельцовский сельсовет,2008,12.0
1610422,Ельцовский сельсовет,2009,9.0
1610422,Ельцовский сельсовет,2010,7.0
1610422,Ельцовский сельсовет,2011,7.0
1610422,Ельцовский сельсовет,2012,8.0
1610422,Ельцовский сельсовет,2013,9.0
1610433,Мартыновский сельсовет,2009,1.0
1610433,Мартыновский сельсовет,2010,1.0
1610466,Пуштулимский сельсовет,2008,1.0
1611000,Завьяловский муниципальный район,2008,48.0
1611000,Завьяловский муниципальный район,2009,45.0
1611000,Завьяловский муниципальный район,2010,46.0
1611000,Завьяловский муниципальный район,2011,48.0
1611000,Завьяловский муниципальный район,2012,53.0
1611000,Завьяловский муниципальный район,2013,56.0
1611416,Глубоковский сельсовет,2011,1.0
1611416,Глубоковский сельсовет,2012,1.0
1611416,Глубоковский сельсовет,2013,1.0
1611423,Гоноховский сельсовет,2008,1.0
1611423,Гоноховский сельсовет,2009,1.0
1611423,Гоноховский сельсовет,2010,1.0
1611423,Гоноховский сельсовет,2011,1.0
1611423,Гоноховский сельсовет,2012,1.0
1611423,Гоноховский сельсовет,2013,1.0
1611434,Завьяловский сельсовет,2008,46.0
1611434,Завьяловский сельсовет,2009,43.0
1611434,Завьяловский сельсовет,2010,44.0
1611434,Завьяловский сельсовет,2011,45.0
1611434,Завьяловский сельсовет,2012,50.0
1611434,Завьяловский сельсовет,2013,53.0
1611478,Харитоновский сельсовет,2008,1.0
1611478,Харитоновский сельсовет,2009,1.0
1611478,Харитоновский сельсовет,2010,1.0
1611478,Харитоновский сельсовет,2011,1.0
1611478,Харитоновский сельсовет,2012,1.0
1611478,Харитоновский сельсовет,2013,1.0
1612000,Залесовский муниципальный район,2008,36.0
1612000,Залесовский муниципальный район,2009,37.0
1612000,Залесовский муниципальный район,2010,31.0
1612000,Залесовский муниципальный район,2011,35.0
1612000,Залесовский муниципальный район,2012,35.0
1612000,Залесовский муниципальный район,2013,35.0
1612426,Залесовский сельсовет,2008,34.0
1612426,Залесовский сельсовет,2009,36.0
1612426,Залесовский сельсовет,2010,30.0
1612426,Залесовский сельсовет,2011,30.0
1612426,Залесовский сельсовет,2012,30.0
1612426,Залесовский сельсовет,2013,30.0
1612459,Пещерский сельсовет,2011,4.0
1612459,Пещерский сельсовет,2012,4.0
1612459,Пещерский сельсовет,2013,4.0
1612481,Черёмушкинский сельсовет,2008,1.0
1612492,Шатуновский сельсовет,2008,1.0
1612492,Шатуновский сельсовет,2009,1.0
1612492,Шатуновский сельсовет,2010,1.0
1612492,Шатуновский сельсовет,2011,1.0
1612492,Шатуновский сельсовет,2012,1.0
1612492,Шатуновский сельсовет,2013,1.0
1613000,Заринский муниципальный район,2008,5.0
1613000,Заринский муниципальный район,2009,4.0
1613000,Заринский муниципальный район,2010,4.0
1613000,Заринский муниципальный район,2011,3.0
1613000,Заринский муниципальный район,2012,4.0
1613000,Заринский муниципальный район,2013,4.0
1613428,Голухинский сельсовет,2008,1.0
1613428,Голухинский сельсовет,2009,1.0
1613428,Голухинский сельсовет,2010,1.0
1613428,Голухинский сельсовет,2011,1.0
1613428,Голухинский сельсовет,2012,1.0
1613428,Голухинский сельсовет,2013,1.0
1613468,Новомоношкинский сельсовет,2008,1.0
1613468,Новомоношкинский сельсовет,2009,1.0
1613468,Новомоношкинский сельсовет,2010,1.0
1613468,Новомоношкинский сельсовет,2011,1.0
1613468,Новомоношкинский сельсовет,2012,1.0
1613468,Новомоношкинский сельсовет,2013,1.0
1613474,Смазневский сельсовет,2008,1.0
1613488,Тягунский сельсовет,2008,2.0
1613488,Тягунский сельсовет,2009,2.0
1613488,Тягунский сельсовет,2010,2.0
1613488,Тягунский сельсовет,2011,1.0
1613488,Тягунский сельсовет,2012,2.0
1613488,Тягунский сельсовет,2013,2.0
1614000,Змеиногорский муниципальный район,2008,6.0
1614000,Змеиногорский муниципальный район,2009,48.0
1614000,Змеиногорский муниципальный район,2010,44.0
1614000,Змеиногорский муниципальный район,2011,44.0
1614000,Змеиногорский муниципальный район,2012,43.0
1614000,Змеиногорский муниципальный район,2013,38.0
1614101,город Змеиногорск,2009,42.0
1614101,город Змеиногорск,2010,38.0
1614101,город Змеиногорск,2011,39.0
1614101,город Змеиногорск,2012,39.0
1614101,город Змеиногорск,2013,35.0
1614422,Барановский сельсовет,2008,2.0
1614422,Барановский сельсовет,2009,2.0
1614422,Барановский сельсовет,2010,1.0
1614422,Барановский сельсовет,2011,1.0
1614422,Барановский сельсовет,2012,1.0
1614422,Барановский сельсовет,2013,1.0
1614433,Карамышевский сельсовет,2008,1.0
1614433,Карамышевский сельсовет,2009,1.0
1614433,Карамышевский сельсовет,2010,1.0
1614433,Карамышевский сельсовет,2011,1.0
1614433,Карамышевский сельсовет,2012,1.0
1614433,Карамышевский сельсовет,2013,1.0
1614444,Кузьминский сельсовет,2008,1.0
1614444,Кузьминский сельсовет,2009,1.0
1614444,Кузьминский сельсовет,2010,1.0
1614444,Кузьминский сельсовет,2011,1.0
1614444,Кузьминский сельсовет,2012,1.0
1614455,Октябрьский сельсовет,2010,1.0
1614466,Саввушинский сельсовет,2008,1.0
1614466,Саввушинский сельсовет,2009,1.0
1614466,Саввушинский сельсовет,2010,1.0
1614466,Саввушинский сельсовет,2011,1.0
1614466,Саввушинский сельсовет,2012,1.0
1614466,Саввушинский сельсовет,2013,1.0
1614488,Черепановский сельсовет,2008,1.0
1614488,Черепановский сельсовет,2009,1.0
1614488,Черепановский сельсовет,2010,1.0
1614488,Черепановский сельсовет,2011,1.0
1615000,Калманский муниципальный район,2008,29.0
1615000,Калманский муниципальный район,2009,28.0
1615000,Калманский муниципальный район,2010,29.0
1615000,Калманский муниципальный район,2011,29.0
1615000,Калманский муниципальный район,2012,34.0
1615000,Калманский муниципальный район,2013,34.0
1615409,Бурановский сельсовет,2008,1.0
1615409,Бурановский сельсовет,2009,1.0
1615409,Бурановский сельсовет,2010,1.0
1615409,Бурановский сельсовет,2011,1.0
1615409,Бурановский сельсовет,2012,1.0
1615409,Бурановский сельсовет,2013,1.0
1615414,Зимарёвский сельсовет,2008,1.0
1615414,Зимарёвский сельсовет,2009,1.0
1615414,Зимарёвский сельсовет,2010,1.0
1615414,Зимарёвский сельсовет,2011,1.0
1615414,Зимарёвский сельсовет,2012,1.0
1615414,Зимарёвский сельсовет,2013,1.0
1615427,Калманский сельсовет,2008,22.0
1615427,Калманский сельсовет,2009,21.0
1615427,Калманский сельсовет,2010,23.0
1615427,Калманский сельсовет,2011,23.0
1615427,Калманский сельсовет,2012,28.0
1615427,Калманский сельсовет,2013,28.0
1615457,Новоромановский сельсовет,2008,4.0
1615457,Новоромановский сельсовет,2009,4.0
1615457,Новоромановский сельсовет,2010,3.0
1615457,Новоромановский сельсовет,2011,3.0
