oktmo,name,year,goodcompincome
1613000,Заринский муниципальный район,2015,52428.0
1613000,Заринский муниципальный район,2016,89817.0
1613000,Заринский муниципальный район,2020,362009.0
1613000,Заринский муниципальный район,2021,479570.0
1613000,Заринский муниципальный район,2022,558976.0
1614000,Змеиногорский муниципальный район,2009,104692.0
1614000,Змеиногорский муниципальный район,2010,171400.0
1614000,Змеиногорский муниципальный район,2011,55372.0
1614000,Змеиногорский муниципальный район,2012,151313.0
1614000,Змеиногорский муниципальный район,2013,119416.0
1614000,Змеиногорский муниципальный район,2014,136209.0
1614000,Змеиногорский муниципальный район,2015,290494.0
1614000,Змеиногорский муниципальный район,2016,177060.0
1614000,Змеиногорский муниципальный район,2017,24029.0
1614000,Змеиногорский муниципальный район,2019,91585.0
1614000,Змеиногорский муниципальный район,2020,179205.0
1614000,Змеиногорский муниципальный район,2021,463477.0
1615000,Калманский муниципальный район,2009,733.0
1615000,Калманский муниципальный район,2010,1062.0
1615000,Калманский муниципальный район,2011,4427.0
1615000,Калманский муниципальный район,2013,3611.0
1615000,Калманский муниципальный район,2014,35098.0
1615000,Калманский муниципальный район,2015,477962.0
1615000,Калманский муниципальный район,2016,545667.0
1616000,Каменский муниципальный район,2009,27868.0
1616000,Каменский муниципальный район,2010,21691.0
1616000,Каменский муниципальный район,2011,34544.0
1616000,Каменский муниципальный район,2012,105044.0
1616000,Каменский муниципальный район,2013,53136.0
1616000,Каменский муниципальный район,2014,225766.0
1616000,Каменский муниципальный район,2015,278476.0
1616000,Каменский муниципальный район,2016,462137.0
1616000,Каменский муниципальный район,2017,438714.0
1616000,Каменский муниципальный район,2018,622200.0
1616000,Каменский муниципальный район,2019,501560.0
1616000,Каменский муниципальный район,2020,265219.0
1616000,Каменский муниципальный район,2021,615920.0
1616000,Каменский муниципальный район,2022,110148.0
1616101,г Камень-на-Оби,2016,101294.0
1617000,Ключевский муниципальный район,2009,90467.0
1617000,Ключевский муниципальный район,2010,147037.0
1617000,Ключевский муниципальный район,2011,288730.0
1617000,Ключевский муниципальный район,2012,312225.0
1617000,Ключевский муниципальный район,2013,130178.0
1617000,Ключевский муниципальный район,2014,150900.0
1617000,Ключевский муниципальный район,2015,52229.0
1617000,Ключевский муниципальный район,2016,37600.0
1617424,Ключевский сельсовет,2016,37600.0
1618000,Косихинский муниципальный район,2009,528.0
1618000,Косихинский муниципальный район,2010,275.0
1618000,Косихинский муниципальный район,2011,0.0
1618000,Косихинский муниципальный район,2012,3619.0
1618000,Косихинский муниципальный район,2013,6249.0
1618000,Косихинский муниципальный район,2014,1247.0
1618000,Косихинский муниципальный район,2015,2162.0
1619000,Красногорский муниципальный район,2009,3296.0
1619000,Красногорский муниципальный район,2010,26182.0
1619000,Красногорский муниципальный район,2011,32353.0
1619000,Красногорский муниципальный район,2012,8153.0
1619000,Красногорский муниципальный район,2013,3928.0
1619000,Красногорский муниципальный район,2014,16381.0
1620000,Краснощёковский муниципальный район,2009,24477.0
1620000,Краснощёковский муниципальный район,2010,79261.0
1620000,Краснощёковский муниципальный район,2011,78675.0
1620000,Краснощёковский муниципальный район,2012,94630.0
1620000,Краснощёковский муниципальный район,2013,180242.0
1620000,Краснощёковский муниципальный район,2014,55833.0
1620000,Краснощёковский муниципальный район,2015,63942.0
1620000,Краснощёковский муниципальный район,2016,400603.0
1620000,Краснощёковский муниципальный район,2017,47467.0
1620000,Краснощёковский муниципальный район,2018,431230.0
1620000,Краснощёковский муниципальный район,2019,556941.0
1620000,Краснощёковский муниципальный район,2020,674880.0
1620000,Краснощёковский муниципальный район,2021,564171.0
1620000,Краснощёковский муниципальный район,2022,62931.0
1621000,Крутихинский муниципальный район,2009,1935.0
1621000,Крутихинский муниципальный район,2010,7119.0
1621000,Крутихинский муниципальный район,2011,11098.0
1621000,Крутихинский муниципальный район,2012,1838.0
1621000,Крутихинский муниципальный район,2013,2488.0
1621000,Крутихинский муниципальный район,2014,9894.0
1622000,Кулундинский муниципальный район,2009,20423.0
1622000,Кулундинский муниципальный район,2010,28199.0
1622000,Кулундинский муниципальный район,2011,27586.0
1622000,Кулундинский муниципальный район,2012,16567.0
1622000,Кулундинский муниципальный район,2013,37367.0
1622000,Кулундинский муниципальный район,2014,14839.0
1622000,Кулундинский муниципальный район,2015,2832.0
1622000,Кулундинский муниципальный район,2016,45980.0
1622000,Кулундинский муниципальный район,2018,5408.0
1622000,Кулундинский муниципальный район,2019,5944.0
1622460,Кулундинский сельсовет,2016,16804.0
1623000,Курьинский муниципальный район,2009,3609.0
1623000,Курьинский муниципальный район,2010,11637.0
1623000,Курьинский муниципальный район,2011,19508.0
1623000,Курьинский муниципальный район,2012,117572.0
1623000,Курьинский муниципальный район,2013,68125.0
1623000,Курьинский муниципальный район,2014,66066.0
1623000,Курьинский муниципальный район,2022,8905.0
1624000,Кытмановский муниципальный район,2009,28456.0
1624000,Кытмановский муниципальный район,2010,57173.0
1624000,Кытмановский муниципальный район,2011,67962.0
1624000,Кытмановский муниципальный район,2012,13796.0
1624000,Кытмановский муниципальный район,2013,70995.0
1624000,Кытмановский муниципальный район,2014,46871.0
1624000,Кытмановский муниципальный район,2015,104327.0
1624000,Кытмановский муниципальный район,2016,137602.0
1624000,Кытмановский муниципальный район,2017,70016.0
1624000,Кытмановский муниципальный район,2021,239889.0
1624000,Кытмановский муниципальный район,2022,106875.0
1625000,Локтевский муниципальный район,2009,20803.0
1625000,Локтевский муниципальный район,2010,59274.0
1625000,Локтевский муниципальный район,2011,56781.0
1625000,Локтевский муниципальный район,2012,38309.0
1625000,Локтевский муниципальный район,2013,46445.0
1625000,Локтевский муниципальный район,2014,55803.0
1625000,Локтевский муниципальный район,2015,51001.0
1625000,Локтевский муниципальный район,2016,202538.0
1625000,Локтевский муниципальный район,2020,114078.0
1625000,Локтевский муниципальный район,2021,320482.0
1625000,Локтевский муниципальный район,2022,747265.0
1625101,город Горняк,2016,78394.0
1626000,Мамонтовский муниципальный район,2009,36216.0
1626000,Мамонтовский муниципальный район,2010,66526.0
1626000,Мамонтовский муниципальный район,2011,70185.0
1626000,Мамонтовский муниципальный район,2012,29530.0
1626000,Мамонтовский муниципальный район,2013,22631.0
1626000,Мамонтовский муниципальный район,2014,6928.0
1626000,Мамонтовский муниципальный район,2015,30311.0
1626000,Мамонтовский муниципальный район,2016,80705.0
1626000,Мамонтовский муниципальный район,2017,14707.0
1626000,Мамонтовский муниципальный район,2020,27670.0
1627000,Михайловский муниципальный район,2009,18887.0
1627000,Михайловский муниципальный район,2010,41261.0
1627000,Михайловский муниципальный район,2011,30363.0
1627000,Михайловский муниципальный район,2012,21275.0
1627000,Михайловский муниципальный район,2013,121834.0
1627000,Михайловский муниципальный район,2014,99957.0
1627000,Михайловский муниципальный район,2015,52026.0
1627000,Михайловский муниципальный район,2016,154131.0
1627000,Михайловский муниципальный район,2017,58491.0
1627000,Михайловский муниципальный район,2022,197375.0
1628000,Новичихинский муниципальный район,2009,39032.0
1628000,Новичихинский муниципальный район,2010,44754.0
1628000,Новичихинский муниципальный район,2011,59194.0
1628000,Новичихинский муниципальный район,2012,95249.0
1628000,Новичихинский муниципальный район,2013,104949.0
1628000,Новичихинский муниципальный район,2014,97597.0
1628000,Новичихинский муниципальный район,2015,182476.0
1628000,Новичихинский муниципальный район,2016,220628.0
1628000,Новичихинский муниципальный район,2017,146167.0
1628000,Новичихинский муниципальный район,2018,118035.0
1628000,Новичихинский муниципальный район,2019,193370.0
1628000,Новичихинский муниципальный район,2020,269539.0
1628000,Новичихинский муниципальный район,2021,882581.0
1628000,Новичихинский муниципальный район,2022,785671.0
1629000,Зональный муниципальный район,2009,174735.0
1629000,Зональный муниципальный район,2010,176063.0
1629000,Зональный муниципальный район,2011,309080.0
1629000,Зональный муниципальный район,2012,257791.0
1629000,Зональный муниципальный район,2013,375821.0
1629000,Зональный муниципальный район,2014,329543.0
1629000,Зональный муниципальный район,2015,335321.0
1629000,Зональный муниципальный район,2016,516236.0
1629000,Зональный муниципальный район,2017,496542.0
1629000,Зональный муниципальный район,2018,259164.0
1629000,Зональный муниципальный район,2019,446229.0
1629000,Зональный муниципальный район,2020,966106.0
1629000,Зональный муниципальный район,2021,1297424.0
1629000,Зональный муниципальный район,2022,1229786.0
1629480,Соколовский сельсовет,2016,200526.0
1630000,Павловский муниципальный район,2009,313602.0
1630000,Павловский муниципальный район,2010,392543.0
1630000,Павловский муниципальный район,2011,461281.0
1630000,Павловский муниципальный район,2012,362349.0
1630000,Павловский муниципальный район,2013,191565.0
1630000,Павловский муниципальный район,2014,419335.0
1630000,Павловский муниципальный район,2015,2504418.0
1630000,Павловский муниципальный район,2016,2053109.0
1630000,Павловский муниципальный район,2017,1060127.0
1630000,Павловский муниципальный район,2018,2040928.0
1630000,Павловский муниципальный район,2019,1656999.0
1630000,Павловский муниципальный район,2020,3338390.0
1630000,Павловский муниципальный район,2021,4833005.0
1630000,Павловский муниципальный район,2022,5863042.0
1630460,Павловский сельсовет,2016,437.0
1630482,Черемновский сельсовет,2016,1798879.0
1631000,Панкрушихинский муниципальный район,2009,71531.0
1631000,Панкрушихинский муниципальный район,2010,65598.0
1631000,Панкрушихинский муниципальный район,2011,53294.0
