oktmo,name,year,visiblecompanies
1612000,Залесовский муниципальный район,2013,8.0
1612000,Залесовский муниципальный район,2014,5.0
1612000,Залесовский муниципальный район,2015,3.0
1613000,Заринский муниципальный район,2009,8.0
1613000,Заринский муниципальный район,2010,8.0
1613000,Заринский муниципальный район,2011,6.0
1613000,Заринский муниципальный район,2012,6.0
1613000,Заринский муниципальный район,2013,6.0
1613000,Заринский муниципальный район,2014,4.0
1613000,Заринский муниципальный район,2015,5.0
1613000,Заринский муниципальный район,2016,4.0
1613000,Заринский муниципальный район,2018,3.0
1613000,Заринский муниципальный район,2019,3.0
1613000,Заринский муниципальный район,2020,5.0
1613000,Заринский муниципальный район,2021,4.0
1613000,Заринский муниципальный район,2022,5.0
1614000,Змеиногорский муниципальный район,2009,10.0
1614000,Змеиногорский муниципальный район,2010,9.0
1614000,Змеиногорский муниципальный район,2011,10.0
1614000,Змеиногорский муниципальный район,2012,9.0
1614000,Змеиногорский муниципальный район,2013,8.0
1614000,Змеиногорский муниципальный район,2014,7.0
1614000,Змеиногорский муниципальный район,2015,4.0
1614000,Змеиногорский муниципальный район,2016,5.0
1614000,Змеиногорский муниципальный район,2017,5.0
1614000,Змеиногорский муниципальный район,2018,5.0
1614000,Змеиногорский муниципальный район,2019,4.0
1614000,Змеиногорский муниципальный район,2020,5.0
1614000,Змеиногорский муниципальный район,2021,6.0
1614000,Змеиногорский муниципальный район,2022,6.0
1615000,Калманский муниципальный район,2009,2.0
1615000,Калманский муниципальный район,2010,2.0
1615000,Калманский муниципальный район,2011,1.0
1615000,Калманский муниципальный район,2012,3.0
1615000,Калманский муниципальный район,2013,4.0
1615000,Калманский муниципальный район,2014,3.0
1615000,Калманский муниципальный район,2015,5.0
1615000,Калманский муниципальный район,2016,4.0
1615000,Калманский муниципальный район,2017,3.0
1615000,Калманский муниципальный район,2018,3.0
1615000,Калманский муниципальный район,2019,3.0
1615000,Калманский муниципальный район,2022,4.0
1616000,Каменский муниципальный район,2009,6.0
1616000,Каменский муниципальный район,2010,7.0
1616000,Каменский муниципальный район,2011,6.0
1616000,Каменский муниципальный район,2012,7.0
1616000,Каменский муниципальный район,2013,6.0
1616000,Каменский муниципальный район,2014,5.0
1616000,Каменский муниципальный район,2015,3.0
1616000,Каменский муниципальный район,2016,11.0
1616000,Каменский муниципальный район,2017,10.0
1616000,Каменский муниципальный район,2018,11.0
1616000,Каменский муниципальный район,2019,9.0
1616000,Каменский муниципальный район,2020,12.0
1616000,Каменский муниципальный район,2021,10.0
1616000,Каменский муниципальный район,2022,9.0
1616101,г Камень-на-Оби,2016,10.0
1617000,Ключевский муниципальный район,2009,12.0
1617000,Ключевский муниципальный район,2010,14.0
1617000,Ключевский муниципальный район,2011,10.0
1617000,Ключевский муниципальный район,2012,9.0
1617000,Ключевский муниципальный район,2013,9.0
1617000,Ключевский муниципальный район,2014,8.0
1617000,Ключевский муниципальный район,2015,6.0
1617000,Ключевский муниципальный район,2016,5.0
1617424,Ключевский сельсовет,2016,4.0
1618000,Косихинский муниципальный район,2009,3.0
1618000,Косихинский муниципальный район,2010,3.0
1618000,Косихинский муниципальный район,2011,5.0
1618000,Косихинский муниципальный район,2012,5.0
1618000,Косихинский муниципальный район,2013,5.0
1618000,Косихинский муниципальный район,2014,5.0
1618000,Косихинский муниципальный район,2015,4.0
1618000,Косихинский муниципальный район,2016,4.0
1618000,Косихинский муниципальный район,2017,3.0
1618000,Косихинский муниципальный район,2018,3.0
1619000,Красногорский муниципальный район,2009,9.0
1619000,Красногорский муниципальный район,2010,8.0
1619000,Красногорский муниципальный район,2011,8.0
1619000,Красногорский муниципальный район,2012,7.0
1619000,Красногорский муниципальный район,2013,3.0
1619000,Красногорский муниципальный район,2014,3.0
1619000,Красногорский муниципальный район,2022,4.0
1620000,Краснощёковский муниципальный район,2009,16.0
1620000,Краснощёковский муниципальный район,2010,13.0
1620000,Краснощёковский муниципальный район,2011,14.0
1620000,Краснощёковский муниципальный район,2012,13.0
1620000,Краснощёковский муниципальный район,2013,13.0
1620000,Краснощёковский муниципальный район,2014,9.0
1620000,Краснощёковский муниципальный район,2015,7.0
1620000,Краснощёковский муниципальный район,2016,6.0
1620000,Краснощёковский муниципальный район,2017,5.0
1620000,Краснощёковский муниципальный район,2018,6.0
1620000,Краснощёковский муниципальный район,2019,7.0
1620000,Краснощёковский муниципальный район,2020,7.0
1620000,Краснощёковский муниципальный район,2021,6.0
1620000,Краснощёковский муниципальный район,2022,6.0
1621000,Крутихинский муниципальный район,2009,5.0
1621000,Крутихинский муниципальный район,2010,3.0
1621000,Крутихинский муниципальный район,2011,3.0
1621000,Крутихинский муниципальный район,2012,3.0
1621000,Крутихинский муниципальный район,2013,3.0
1621000,Крутихинский муниципальный район,2014,3.0
1621000,Крутихинский муниципальный район,2022,3.0
1622000,Кулундинский муниципальный район,2009,9.0
1622000,Кулундинский муниципальный район,2010,9.0
1622000,Кулундинский муниципальный район,2011,11.0
1622000,Кулундинский муниципальный район,2012,7.0
1622000,Кулундинский муниципальный район,2013,7.0
1622000,Кулундинский муниципальный район,2014,4.0
1622000,Кулундинский муниципальный район,2015,4.0
1622000,Кулундинский муниципальный район,2016,4.0
1622000,Кулундинский муниципальный район,2017,4.0
1622000,Кулундинский муниципальный район,2018,5.0
1622000,Кулундинский муниципальный район,2019,3.0
1622000,Кулундинский муниципальный район,2020,6.0
1622000,Кулундинский муниципальный район,2021,5.0
1622000,Кулундинский муниципальный район,2022,5.0
1622460,Кулундинский сельсовет,2016,3.0
1623000,Курьинский муниципальный район,2009,8.0
1623000,Курьинский муниципальный район,2010,7.0
1623000,Курьинский муниципальный район,2011,7.0
1623000,Курьинский муниципальный район,2012,7.0
1623000,Курьинский муниципальный район,2013,6.0
1623000,Курьинский муниципальный район,2014,5.0
1623000,Курьинский муниципальный район,2021,4.0
1623000,Курьинский муниципальный район,2022,3.0
1624000,Кытмановский муниципальный район,2009,9.0
1624000,Кытмановский муниципальный район,2010,8.0
1624000,Кытмановский муниципальный район,2011,7.0
1624000,Кытмановский муниципальный район,2012,7.0
1624000,Кытмановский муниципальный район,2013,7.0
1624000,Кытмановский муниципальный район,2014,7.0
1624000,Кытмановский муниципальный район,2015,5.0
1624000,Кытмановский муниципальный район,2016,4.0
1624000,Кытмановский муниципальный район,2017,5.0
1624000,Кытмановский муниципальный район,2018,3.0
1624000,Кытмановский муниципальный район,2019,3.0
1624000,Кытмановский муниципальный район,2020,3.0
1624000,Кытмановский муниципальный район,2021,4.0
1624000,Кытмановский муниципальный район,2022,4.0
1625000,Локтевский муниципальный район,2009,19.0
1625000,Локтевский муниципальный район,2010,13.0
1625000,Локтевский муниципальный район,2011,11.0
