oktmo,name,year,badcompanies
1616000,Каменский муниципальный район,2015,2.0
1616000,Каменский муниципальный район,2016,5.0
1616000,Каменский муниципальный район,2017,3.0
1616000,Каменский муниципальный район,2018,5.0
1616000,Каменский муниципальный район,2019,3.0
1616000,Каменский муниципальный район,2020,6.0
1616000,Каменский муниципальный район,2021,4.0
1616000,Каменский муниципальный район,2022,3.0
1616101,г Камень-на-Оби,2016,5.0
1617000,Ключевский муниципальный район,2009,3.0
1617000,Ключевский муниципальный район,2010,3.0
1617000,Ключевский муниципальный район,2011,1.0
1617000,Ключевский муниципальный район,2012,3.0
1617000,Ключевский муниципальный район,2013,3.0
1617000,Ключевский муниципальный район,2014,2.0
1617000,Ключевский муниципальный район,2015,4.0
1617000,Ключевский муниципальный район,2016,4.0
1617424,Ключевский сельсовет,2016,3.0
1618000,Косихинский муниципальный район,2010,1.0
1618000,Косихинский муниципальный район,2011,4.0
1618000,Косихинский муниципальный район,2012,2.0
1618000,Косихинский муниципальный район,2013,3.0
1618000,Косихинский муниципальный район,2014,3.0
1618000,Косихинский муниципальный район,2015,3.0
1618000,Косихинский муниципальный район,2016,4.0
1619000,Красногорский муниципальный район,2009,6.0
1619000,Красногорский муниципальный район,2010,1.0
1619000,Красногорский муниципальный район,2011,1.0
1619000,Красногорский муниципальный район,2012,3.0
1619000,Красногорский муниципальный район,2022,3.0
1620000,Краснощёковский муниципальный район,2009,3.0
1620000,Краснощёковский муниципальный район,2010,1.0
1620000,Краснощёковский муниципальный район,2011,5.0
1620000,Краснощёковский муниципальный район,2012,4.0
1620000,Краснощёковский муниципальный район,2013,3.0
1620000,Краснощёковский муниципальный район,2014,4.0
1620000,Краснощёковский муниципальный район,2015,1.0
1620000,Краснощёковский муниципальный район,2016,1.0
1621000,Крутихинский муниципальный район,2009,1.0
1621000,Крутихинский муниципальный район,2014,1.0
1622000,Кулундинский муниципальный район,2009,3.0
1622000,Кулундинский муниципальный район,2010,2.0
1622000,Кулундинский муниципальный район,2011,6.0
1622000,Кулундинский муниципальный район,2012,4.0
1622000,Кулундинский муниципальный район,2013,2.0
1622000,Кулундинский муниципальный район,2015,2.0
1622000,Кулундинский муниципальный район,2016,1.0
1622000,Кулундинский муниципальный район,2020,4.0
1622000,Кулундинский муниципальный район,2021,3.0
1622000,Кулундинский муниципальный район,2022,4.0
1622460,Кулундинский сельсовет,2016,1.0
1623000,Курьинский муниципальный район,2009,3.0
1623000,Курьинский муниципальный район,2013,2.0
1623000,Курьинский муниципальный район,2014,1.0
1623000,Курьинский муниципальный район,2021,3.0
1624000,Кытмановский муниципальный район,2009,2.0
1624000,Кытмановский муниципальный район,2010,1.0
1624000,Кытмановский муниципальный район,2011,2.0
1624000,Кытмановский муниципальный район,2012,1.0
1624000,Кытмановский муниципальный район,2013,1.0
1624000,Кытмановский муниципальный район,2014,3.0
1624000,Кытмановский муниципальный район,2015,2.0
1624000,Кытмановский муниципальный район,2016,2.0
1625000,Локтевский муниципальный район,2009,8.0
1625000,Локтевский муниципальный район,2010,5.0
1625000,Локтевский муниципальный район,2011,6.0
1625000,Локтевский муниципальный район,2012,5.0
1625000,Локтевский муниципальный район,2013,3.0
1625000,Локтевский муниципальный район,2014,1.0
1625000,Локтевский муниципальный район,2015,5.0
1625000,Локтевский муниципальный район,2016,1.0
1625101,город Горняк,2016,1.0
1626000,Мамонтовский муниципальный район,2009,6.0
1626000,Мамонтовский муниципальный район,2010,2.0
1626000,Мамонтовский муниципальный район,2011,3.0
1626000,Мамонтовский муниципальный район,2012,5.0
1626000,Мамонтовский муниципальный район,2013,2.0
1626000,Мамонтовский муниципальный район,2014,2.0
1626000,Мамонтовский муниципальный район,2019,3.0
1627000,Михайловский муниципальный район,2009,2.0
1627000,Михайловский муниципальный район,2010,3.0
1627000,Михайловский муниципальный район,2011,1.0
1627000,Михайловский муниципальный район,2012,3.0
1627000,Михайловский муниципальный район,2013,2.0
1627000,Михайловский муниципальный район,2014,2.0
1627000,Михайловский муниципальный район,2018,5.0
1627000,Михайловский муниципальный район,2020,5.0
1627000,Михайловский муниципальный район,2021,7.0
1627000,Михайловский муниципальный район,2022,7.0
1628000,Новичихинский муниципальный район,2009,5.0
1628000,Новичихинский муниципальный район,2010,2.0
1628000,Новичихинский муниципальный район,2012,1.0
1628000,Новичихинский муниципальный район,2013,1.0
1628000,Новичихинский муниципальный район,2014,1.0
1628000,Новичихинский муниципальный район,2016,1.0
1629000,Зональный муниципальный район,2009,3.0
1629000,Зональный муниципальный район,2010,2.0
1629000,Зональный муниципальный район,2011,1.0
1629000,Зональный муниципальный район,2014,2.0
1629000,Зональный муниципальный район,2015,2.0
1629000,Зональный муниципальный район,2016,2.0
1629480,Соколовский сельсовет,2016,1.0
1630000,Павловский муниципальный район,2009,5.0
1630000,Павловский муниципальный район,2010,3.0
1630000,Павловский муниципальный район,2011,1.0
1630000,Павловский муниципальный район,2012,3.0
1630000,Павловский муниципальный район,2013,3.0
1630000,Павловский муниципальный район,2014,3.0
1630000,Павловский муниципальный район,2015,1.0
1630000,Павловский муниципальный район,2016,3.0
1630000,Павловский муниципальный район,2017,4.0
1630000,Павловский муниципальный район,2018,5.0
1630000,Павловский муниципальный район,2019,5.0
1630000,Павловский муниципальный район,2020,3.0
1630000,Павловский муниципальный район,2021,5.0
1630000,Павловский муниципальный район,2022,7.0
1630460,Павловский сельсовет,2016,2.0
1631000,Панкрушихинский муниципальный район,2011,3.0
1631000,Панкрушихинский муниципальный район,2012,1.0
1631000,Панкрушихинский муниципальный район,2013,2.0
1631000,Панкрушихинский муниципальный район,2014,3.0
1631000,Панкрушихинский муниципальный район,2015,3.0
1631000,Панкрушихинский муниципальный район,2020,3.0
1631000,Панкрушихинский муниципальный район,2022,3.0
1632000,Первомайский муниципальный район,2009,1.0
1632000,Первомайский муниципальный район,2011,2.0
1632000,Первомайский муниципальный район,2012,4.0
1632000,Первомайский муниципальный район,2013,3.0
1632000,Первомайский муниципальный район,2014,3.0
1632000,Первомайский муниципальный район,2015,3.0
1632000,Первомайский муниципальный район,2016,3.0
1632000,Первомайский муниципальный район,2017,4.0
1632000,Первомайский муниципальный район,2018,4.0
1632000,Первомайский муниципальный район,2020,4.0
1632000,Первомайский муниципальный район,2022,3.0
1633000,Петропавловский муниципальный район,2009,1.0
1633000,Петропавловский муниципальный район,2010,1.0
1633000,Петропавловский муниципальный район,2012,1.0
1633000,Петропавловский муниципальный район,2014,2.0
1634000,Поспелихинский муниципальный район,2009,8.0
1634000,Поспелихинский муниципальный район,2010,5.0
1634000,Поспелихинский муниципальный район,2011,7.0
1634000,Поспелихинский муниципальный район,2012,4.0
1634000,Поспелихинский муниципальный район,2013,4.0
1634000,Поспелихинский муниципальный район,2014,6.0
1634000,Поспелихинский муниципальный район,2015,6.0
1634000,Поспелихинский муниципальный район,2016,4.0
1634000,Поспелихинский муниципальный район,2017,3.0
1634000,Поспелихинский муниципальный район,2018,5.0
1634000,Поспелихинский муниципальный район,2019,5.0
1634000,Поспелихинский муниципальный район,2020,3.0
1634000,Поспелихинский муниципальный район,2021,3.0
1634495,Поспелихинский Центральный сельсовет,2016,4.0
1635000,Ребрихинский муниципальный район,2009,1.0
1635000,Ребрихинский муниципальный район,2011,2.0
1635000,Ребрихинский муниципальный район,2012,2.0
1635000,Ребрихинский муниципальный район,2013,2.0
1635000,Ребрихинский муниципальный район,2014,6.0
1635000,Ребрихинский муниципальный район,2015,3.0
